,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,300833,浩洋股份,49.35,7.33,3.37,-0.02,10.99,3.15,12.05,4.36亿,0.81亿,40.10亿,18.12
1,2,300496,中科创达,66.18,5.05,3.18,0.03,19.08,2.23,13.11,46.84亿,3.67亿,242.91亿,150.25
2,3,688213,思特威,77.92,3.22,2.43,-0.29,3.26,1.56,8.21,8.10亿,3.21亿,250.06亿,85.49
3,4,002403,爱仕达,23.41,10.01,2.13,0.0,24.91,1.29,4.28,17.24亿,2.97亿,69.57亿,3601.65
4,5,301360,荣旗科技,60.05,3.62,2.1,-0.07,16.16,2.08,6.51,2.66亿,0.28亿,16.69亿,130.37
5,6,002402,和而泰,21.9,9.99,1.99,0.0,37.27,1.82,14.01,63.04亿,8.01亿,175.50亿,42.76
6,7,301213,观想科技,44.65,4.08,1.75,0.0,12.42,1.79,7.18,2.83亿,0.52亿,23.09亿,486.45
7,8,300556,丝路视觉,26.95,4.58,1.18,-0.15,36.37,1.38,16.57,10.34亿,1.03亿,27.71亿,--
8,9,603095,越剑智能,25.21,3.53,0.86,-0.08,3.25,1.45,6.74,1.52亿,1.85亿,46.59亿,48.35
9,10,688165,埃夫特,35.2,2.33,0.8,-0.03,11.91,0.78,9.59,22.34亿,5.22亿,183.67亿,--
10,11,300458,全志科技,39.93,1.71,0.67,-0.13,12.4,1.5,8.41,25.64亿,5.18亿,206.78亿,125.63
11,12,300612,宣亚国际,20.09,2.92,0.57,0.05,23.85,1.33,8.96,8.73亿,1.80亿,36.14亿,--
12,13,688648,中邮科技,26.74,1.87,0.49,-0.11,4.24,1.68,6.44,0.75亿,0.66亿,17.68亿,--
13,14,002139,拓邦股份,14.2,3.2,0.44,-0.07,15.71,1.41,7.34,24.25亿,10.71亿,152.14亿,24.05
14,15,603893,瑞芯微,92.31,0.45,0.41,-0.52,3.23,1.44,4.01,12.54亿,4.18亿,385.94亿,82.34
15,16,300793,佳禾智能,20.02,2.04,0.4,0.0,18.44,1.44,10.65,13.57亿,3.64亿,72.91亿,77.59
16,17,603337,杰克股份,29.32,1.14,0.33,0.38,1.72,2.67,2.76,2.38亿,4.76亿,139.66亿,17.15
17,18,300822,贝仕达克,26.3,1.11,0.29,-0.15,8.11,0.94,7.5,6.21亿,2.89亿,76.00亿,103.01
18,19,002373,千方科技,11.0,1.85,0.2,-0.09,4.61,1.64,5.37,6.98亿,13.78亿,151.53亿,827.27
19,20,300213,佳讯飞鸿,9.41,2.17,0.2,0.11,14.87,1.55,6.51,7.68亿,5.51亿,51.86亿,114.01
20,21,871263,莱赛激光,18.77,1.08,0.2,0.0,10.33,0.74,7.05,0.54亿,0.27亿,5.13亿,1384.81
21,22,688090,瑞松科技,43.98,0.43,0.19,-0.45,5.55,0.58,5.05,2.32亿,0.94亿,41.43亿,729.73
22,23,835579,机科股份,22.15,0.86,0.19,0.0,8.06,0.71,8.11,0.80亿,0.45亿,9.87亿,266.30
23,24,300790,宇瞳光学,19.67,0.87,0.17,0.05,9.97,1.0,5.74,5.65亿,2.84亿,55.96亿,39.81
24,25,300403,汉宇集团,13.46,1.2,0.16,-0.07,31.56,1.12,10.98,18.40亿,4.23亿,56.93亿,34.13
25,26,300613,富瀚微,52.3,0.29,0.15,0.0,4.25,0.62,4.14,4.85亿,2.18亿,114.17亿,48.91
26,27,000925,众合科技,8.49,1.07,0.09,0.0,8.85,1.14,5.36,4.06亿,5.44亿,46.20亿,--
27,28,300270,中威电子,9.66,0.94,0.09,0.1,23.22,1.58,7.63,5.83亿,2.56亿,24.77亿,--
28,29,301377,鼎泰高科,21.27,0.42,0.09,-0.09,6.98,1.46,4.53,1.06亿,0.71亿,15.11亿,37.98
29,30,688343,云天励飞,45.26,0.18,0.08,-0.26,9.35,1.24,7.88,11.27亿,2.58亿,116.71亿,--
30,31,600728,佳都科技,5.57,1.09,0.06,-0.18,6.76,1.28,5.26,8.12亿,21.43亿,119.35亿,--
31,32,603203,快克智能,26.14,0.23,0.06,0.0,1.62,1.05,1.8,1.06亿,2.49亿,65.13亿,29.99
32,33,688307,中润光学,26.94,0.15,0.04,0.3,3.48,0.71,3.23,0.54亿,0.57亿,15.37亿,47.22
33,34,002689,远大智能,5.08,0.0,0.0,0.99,18.34,1.42,13.98,9.85亿,10.43亿,52.98亿,--
34,35,600100,同方股份,7.68,-0.13,-0.01,-0.13,3.65,1.94,4.55,9.58亿,33.50亿,257.30亿,258.47
35,36,600636,国新文化,11.26,-0.53,-0.06,-0.09,3.01,0.85,3.53,1.50亿,4.39亿,49.39亿,--
36,37,605118,力鼎光电,17.19,-0.35,-0.06,0.0,1.09,0.88,2.55,0.77亿,4.07亿,69.98亿,45.36
37,38,688387,信科移动,6.58,-0.9,-0.06,0.31,4.5,2.04,3.31,4.10亿,13.79亿,90.72亿,--
38,39,830879,基康仪器,13.6,-0.44,-0.06,0.0,0.64,0.46,3.95,0.10亿,1.13亿,15.33亿,30.42
39,40,002362,汉王科技,27.65,-0.29,-0.08,-0.11,20.94,0.69,6.13,12.24亿,2.08亿,57.40亿,--
40,41,600355,精伦电子,5.0,-1.57,-0.08,-0.2,7.14,0.59,2.76,1.78亿,4.92亿,24.60亿,--
41,42,300096,ST易联众,3.85,-2.28,-0.09,0.0,2.86,0.62,3.05,0.48亿,4.29亿,16.51亿,--
42,43,688646,逸飞激光,36.97,-0.27,-0.1,-0.05,3.12,1.02,5.85,0.65亿,0.56亿,20.76亿,47.48
43,44,300509,新美星,8.08,-1.34,-0.11,0.12,8.31,0.58,2.93,1.66亿,2.47亿,19.97亿,65.97
44,45,600741,华域汽车,17.23,-0.69,-0.12,0.0,0.6,0.9,2.13,3.29亿,31.53亿,543.21亿,9.11
45,46,000584,*ST工智,3.85,-3.51,-0.14,-0.52,2.87,0.57,4.76,0.85亿,7.59亿,29.22亿,116.65
46,47,002528,ST英飞拓,3.2,-4.19,-0.14,0.0,2.71,1.05,4.79,0.92亿,10.50亿,33.61亿,--
47,48,002131,利欧股份,4.11,-3.52,-0.15,0.0,17.81,0.49,3.99,43.21亿,58.51亿,240.49亿,--
48,49,002917,金奥博,9.97,-1.48,-0.15,-0.1,3.53,0.51,2.27,0.93亿,2.61亿,25.98亿,24.14
49,50,835305,云创数据,22.0,-0.68,-0.15,0.0,4.29,0.63,4.88,0.78亿,0.81亿,17.84亿,--
50,51,002414,高德红外,7.97,-2.09,-0.17,0.0,0.84,0.95,1.84,2.28亿,33.99亿,270.87亿,508.41
51,52,002690,美亚光电,15.58,-1.33,-0.21,-0.06,2.06,0.67,1.84,1.39亿,4.33亿,67.42亿,22.91
52,53,300024,机器人,21.78,-0.95,-0.21,-0.05,12.11,0.85,5.96,40.90亿,15.33亿,333.84亿,--
53,54,300227,光韵达,10.01,-2.06,-0.21,0.1,7.44,0.95,3.13,3.13亿,4.13亿,41.30亿,114.53
54,55,002845,同兴达,15.91,-1.36,-0.22,0.0,3.49,0.81,2.23,1.40亿,2.50亿,39.81亿,53.94
55,56,300195,长荣股份,6.81,-3.13,-0.22,0.0,7.66,0.55,2.85,1.65亿,3.14亿,21.38亿,639.54
56,57,002559,亚威股份,9.99,-2.25,-0.23,-0.1,7.64,0.46,2.35,3.86亿,5.01亿,50.00亿,40.44
57,58,300307,慈星股份,8.05,-2.78,-0.23,0.0,3.31,0.57,3.26,2.10亿,7.77亿,62.58亿,15.36
58,59,688312,燕麦科技,34.72,-0.69,-0.24,-0.09,1.58,1.1,3.55,0.81亿,1.45亿,50.29亿,54.80
59,60,002036,联创电子,10.58,-2.31,-0.25,0.0,4.79,0.73,2.86,5.36亿,10.54亿,111.46亿,--
60,61,002236,大华股份,16.67,-1.48,-0.25,0.0,2.26,0.78,2.19,7.95亿,21.04亿,350.68亿,16.19
61,62,002376,新北洋,7.5,-3.35,-0.26,0.0,6.81,0.92,2.71,3.60亿,6.99亿,52.41亿,104.01
62,63,300913,兆龙互连,37.05,-0.72,-0.27,0.14,7.62,1.65,8.04,6.22亿,2.12亿,78.64亿,80.27
63,64,688022,瀚川智能,13.93,-1.9,-0.27,0.0,4.99,0.7,6.76,1.24亿,1.76亿,24.50亿,--
64,65,603656,泰禾智能,19.53,-1.46,-0.29,0.05,3.34,0.49,2.93,1.22亿,1.83亿,35.81亿,136.53
65,66,001360,南矿集团,14.71,-2.0,-0.3,0.0,1.81,0.55,1.86,0.22亿,0.82亿,12.03亿,35.08
66,67,300044,赛为智能,7.68,-3.76,-0.3,0.0,9.19,0.62,3.63,5.47亿,7.64亿,58.66亿,--
67,68,300638,广和通,18.79,-1.57,-0.3,-0.11,6.19,0.69,3.09,6.24亿,5.32亿,100.03亿,16.55
68,69,300560,中富通,16.31,-1.92,-0.32,0.12,7.55,1.29,3.97,2.33亿,1.87亿,30.49亿,213.30
69,70,603528,多伦科技,9.64,-3.21,-0.32,0.0,10.26,1.02,11.04,7.29亿,7.06亿,68.05亿,121.53
70,71,688218,江苏北人,25.74,-1.23,-0.32,0.0,9.29,0.61,5.18,2.88亿,1.19亿,30.51亿,313.57
71,72,688272,富吉瑞,19.06,-1.65,-0.32,0.11,1.53,0.85,2.53,0.22亿,0.76亿,14.49亿,99.02
72,73,301298,东利机械,14.82,-2.18,-0.33,0.0,2.27,0.53,2.51,0.33亿,0.96亿,14.27亿,30.57
73,74,300691,联合光电,21.42,-1.56,-0.34,0.09,7.57,0.67,3.49,3.15亿,1.93亿,41.42亿,120.86
74,75,688619,罗普特,9.96,-3.3,-0.34,0.1,2.47,1.1,4.76,0.46亿,1.85亿,18.47亿,--
75,76,603280,南方路机,22.5,-1.53,-0.35,-0.57,8.2,0.37,1.79,0.52亿,0.28亿,6.29亿,21.71
76,77,688191,智洋创新,18.2,-1.89,-0.35,0.0,1.05,1.1,2.91,0.30亿,1.54亿,28.05亿,57.23
77,78,603011,合锻智能,7.95,-4.33,-0.36,0.0,5.16,0.94,4.09,2.06亿,4.94亿,39.31亿,383.89
78,79,002599,盛通股份,8.45,-4.2,-0.37,-0.12,9.84,0.54,4.54,3.41亿,4.03亿,34.05亿,7533.73
79,80,603035,常熟汽饰,14.59,-2.54,-0.38,0.0,2.42,1.14,2.14,1.35亿,3.80亿,55.45亿,10.79
80,81,002184,海得控制,11.91,-3.17,-0.39,0.0,5.4,0.65,3.17,1.56亿,2.40亿,28.59亿,--
81,82,002298,中电兴发,6.48,-5.81,-0.4,0.0,13.29,0.79,4.94,5.72亿,6.54亿,42.36亿,--
82,83,002527,新时达,11.06,-3.49,-0.4,0.0,11.35,0.51,6.11,6.84亿,5.29亿,58.53亿,--
83,84,688092,爱科科技,23.38,-1.68,-0.4,0.43,1.7,0.85,2.23,0.33亿,0.83亿,19.33亿,28.97
84,85,300479,神思电子,23.76,-1.7,-0.41,-0.5,17.9,0.85,9.81,8.49亿,1.97亿,46.82亿,--
85,86,603660,苏州科达,8.57,-4.57,-0.41,0.0,12.57,0.91,3.45,5.78亿,5.31亿,45.53亿,--
86,87,688067,爱威科技,19.63,-2.05,-0.41,-0.05,1.26,1.03,2.5,0.17亿,0.68亿,13.35亿,39.84
87,88,002456,欧菲光,13.38,-3.04,-0.42,0.0,5.7,0.72,2.46,25.04亿,32.53亿,435.20亿,705.26
88,89,300112,万讯自控,10.38,-3.89,-0.42,-0.1,10.57,0.76,7.22,2.67亿,2.38亿,24.67亿,141.06
89,90,002960,青鸟消防,11.74,-3.69,-0.45,0.0,1.7,0.89,3.53,1.25亿,6.20亿,72.78亿,19.54
90,91,300486,东杰智能,8.32,-5.13,-0.45,0.12,8.04,0.81,5.36,2.68亿,3.96亿,32.94亿,--
91,92,300588,熙菱信息,16.82,-2.61,-0.45,0.0,12.05,0.63,3.3,2.72亿,1.34亿,22.48亿,--
92,93,688211,中科微至,31.82,-1.4,-0.45,0.0,0.77,1.05,1.49,0.16亿,0.65亿,20.69亿,--
93,94,300166,东方国信,11.43,-3.87,-0.46,0.09,12.57,0.92,7.07,13.43亿,9.06亿,103.51亿,464.33
94,95,300789,唐源电气,16.5,-2.71,-0.46,-0.3,2.46,0.81,2.65,0.40亿,0.99亿,16.31亿,32.78
95,96,002957,科瑞技术,16.89,-2.71,-0.47,0.0,2.53,0.77,3.69,1.78亿,4.10亿,69.25亿,31.57
96,97,300532,今天国际,12.77,-3.55,-0.47,-0.08,5.54,0.8,3.4,3.10亿,4.31亿,55.03亿,16.01
97,98,603018,华设集团,9.18,-4.87,-0.47,-0.11,3.88,1.09,4.25,2.43亿,6.76亿,62.08亿,20.29
98,99,002152,广电运通,12.62,-3.66,-0.48,-0.08,2.47,0.9,3.82,7.83亿,24.82亿,313.25亿,34.93
99,100,688038,中科通达,13.7,-3.45,-0.49,0.07,2.12,0.81,3.73,0.34亿,1.16亿,15.94亿,680.01
100,101,688291,金橙子,21.9,-2.19,-0.49,-0.05,2.46,0.85,3.62,0.18亿,0.34亿,7.37亿,61.36
101,102,688400,凌云光,24.86,-1.93,-0.49,0.0,4.69,0.78,5.29,2.87亿,2.40亿,59.59亿,77.17
102,103,001287,中电港,22.67,-2.16,-0.5,0.0,6.0,0.43,3.15,6.04亿,4.37亿,99.16亿,86.81
103,104,300971,博亚精工,22.6,-2.21,-0.51,0.13,5.19,0.76,2.29,0.78亿,0.66亿,14.86亿,39.38
104,105,002380,科远智慧,19.8,-2.61,-0.53,0.15,3.57,0.71,3.15,1.02亿,1.42亿,28.16亿,22.47
105,106,300448,浩云科技,8.65,-5.77,-0.53,-0.12,16.26,0.91,5.99,7.07亿,4.92亿,42.53亿,517.08
106,107,300446,航天智造,18.36,-2.86,-0.54,0.27,6.83,0.89,4.34,3.96亿,3.12亿,57.20亿,21.72
107,108,002747,埃斯顿,19.62,-2.73,-0.55,-0.1,5.64,0.55,3.32,8.82亿,7.87亿,154.40亿,--
108,109,603508,思维列控,23.17,-2.32,-0.55,-0.09,1.55,1.15,1.77,1.38亿,3.81亿,88.34亿,20.22
109,110,300222,科大智能,12.26,-4.37,-0.56,-0.16,8.8,0.6,3.59,6.97亿,6.36亿,77.94亿,237.12
110,111,002189,中光学,22.53,-2.47,-0.57,0.04,2.95,0.61,3.07,1.75亿,2.61亿,58.84亿,--
111,112,300353,东土科技,12.93,-4.22,-0.57,-0.08,5.35,1.1,3.93,3.66亿,5.22亿,67.52亿,--
112,113,688556,高测股份,12.36,-4.41,-0.57,0.24,2.21,1.39,4.33,1.43亿,5.18亿,63.98亿,24.69
113,114,301338,凯格精机,35.44,-1.61,-0.58,0.09,4.4,0.77,2.44,0.54亿,0.34亿,12.16亿,64.22
114,115,300278,华昌达,7.54,-7.26,-0.59,0.0,11.5,0.88,6.4,12.41亿,13.90亿,104.81亿,103.62
115,116,300508,维宏股份,29.28,-1.98,-0.59,0.14,3.03,0.65,1.91,0.51亿,0.57亿,16.76亿,29.03
116,117,600288,大恒科技,10.7,-5.23,-0.59,0.0,15.35,1.47,4.52,7.28亿,4.37亿,46.74亿,--
117,118,688327,云从科技,14.08,-4.02,-0.59,0.0,7.62,0.67,6.34,8.33亿,7.52亿,105.88亿,--
118,119,300701,森霸传感,11.54,-4.94,-0.6,0.17,7.87,0.69,5.19,2.23亿,2.41亿,27.79亿,66.38
119,120,002401,中远海科,16.88,-3.54,-0.62,0.0,3.17,1.12,3.03,2.00亿,3.70亿,62.49亿,33.15
120,121,301013,利和兴,13.7,-4.33,-0.62,0.0,5.19,0.72,5.17,1.38亿,1.89亿,25.93亿,156.73
121,122,301112,信邦智能,27.46,-2.21,-0.62,0.18,6.34,0.64,3.7,0.64亿,0.36亿,9.96亿,263.61
122,123,688420,美腾科技,24.53,-2.46,-0.62,0.04,1.49,0.75,3.22,0.13亿,0.34亿,8.37亿,47.05
123,124,002777,久远银海,19.86,-3.08,-0.63,-0.1,2.92,0.94,3.12,2.37亿,4.05亿,80.34亿,323.20
124,125,300605,恒锋信息,14.21,-4.25,-0.63,0.07,8.25,1.25,4.11,1.35亿,1.14亿,16.15亿,--
125,126,000948,南天信息,18.83,-3.29,-0.64,-0.05,4.53,1.05,3.44,3.33亿,3.86亿,72.67亿,99.43
126,127,300730,科创信息,14.2,-4.31,-0.64,-0.14,6.23,0.95,4.25,1.77亿,1.97亿,27.93亿,--
127,128,300400,劲拓股份,17.93,-3.55,-0.66,0.0,3.54,0.81,4.14,1.56亿,2.40亿,43.06亿,54.08
128,129,300780,德恩精工,17.76,-3.58,-0.66,0.0,7.83,0.58,3.85,1.48亿,1.05亿,18.63亿,--
129,130,300457,赢合科技,21.44,-3.03,-0.67,0.0,1.9,0.93,3.48,2.60亿,6.34亿,135.88亿,21.05
130,131,300450,先导智能,21.74,-3.03,-0.68,0.05,2.76,1.04,2.59,9.44亿,15.59亿,339.00亿,41.97
131,132,600071,凤凰光学,22.32,-2.96,-0.68,-0.09,1.67,0.51,2.96,1.07亿,2.82亿,62.85亿,--
132,133,300531,优博讯,16.39,-4.04,-0.69,-0.06,4.84,0.91,3.4,2.54亿,3.15亿,51.65亿,230.84
133,134,837092,汉鑫科技,41.19,-1.67,-0.7,0.0,5.65,0.75,5.78,0.76亿,0.32亿,13.15亿,437.67
134,135,002970,锐明技术,46.22,-1.51,-0.71,-0.07,2.32,0.67,2.71,1.25亿,1.15亿,53.35亿,27.78
135,136,301138,华研精机,29.9,-2.32,-0.71,-0.03,8.16,0.67,3.2,0.74亿,0.30亿,8.97亿,49.85
136,137,301218,华是科技,25.04,-2.79,-0.72,-0.04,5.74,0.64,3.77,0.83亿,0.57亿,14.28亿,--
137,138,300802,矩子科技,19.84,-3.6,-0.74,0.0,3.77,0.63,5.83,1.48亿,1.95亿,38.60亿,69.83
138,139,300124,汇川技术,60.5,-1.23,-0.75,0.0,1.48,1.32,2.12,20.54亿,22.81亿,1379.90亿,36.42
139,140,603416,信捷电气,41.5,-1.77,-0.75,-0.02,2.07,0.51,3.31,1.22亿,1.41亿,58.33亿,25.11
140,141,688328,深科达,17.93,-4.01,-0.75,0.28,2.79,0.93,4.66,0.48亿,0.94亿,16.94亿,--
141,142,002415,海康威视,30.81,-2.44,-0.77,-0.1,0.59,0.84,1.93,16.77亿,91.06亿,2805.46亿,26.32
142,143,688097,博众精工,27.75,-2.73,-0.78,0.0,1.47,0.66,4.14,1.82亿,4.44亿,123.11亿,36.62
143,144,688115,思林杰,43.0,-1.78,-0.78,0.0,2.74,0.63,3.24,0.50亿,0.42亿,18.12亿,435.86
144,145,002475,立讯精密,40.58,-1.91,-0.79,0.0,0.92,0.77,1.64,26.96亿,72.14亿,2927.56亿,24.25
145,146,301568,思泰克,36.0,-2.17,-0.8,-0.06,7.04,0.61,2.72,1.22亿,0.48亿,17.15亿,53.23
146,147,300656,民德电子,28.6,-2.75,-0.81,-0.04,3.06,0.88,2.69,1.11亿,1.25亿,35.80亿,--
