,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,832110,雷特科技,36.88,6.71,2.32,0.0,8.24,1.2,10.59,0.46亿,0.15亿,5.68亿,36.42
1,2,002888,惠威科技,23.31,10.01,2.12,0.0,12.1,0.89,9.39,2.15亿,0.77亿,17.92亿,883.57
2,3,002400,省广集团,12.23,9.98,1.11,0.0,32.39,1.19,11.96,65.58亿,17.26亿,211.11亿,175.28
3,4,300458,全志科技,39.93,1.71,0.67,-0.13,12.4,1.5,8.41,25.64亿,5.18亿,206.78亿,125.63
4,5,603598,引力传媒,22.45,2.37,0.52,-0.22,34.08,1.84,15.14,21.06亿,2.68亿,60.14亿,231.73
5,6,002717,岭南股份,4.53,9.95,0.41,0.0,24.29,0.82,11.65,17.06亿,16.01亿,72.51亿,--
6,7,300381,溢多利,8.72,3.81,0.32,0.12,10.89,4.61,15.48,4.68亿,4.88亿,42.59亿,74.89
7,8,600185,格力地产,8.28,2.86,0.23,0.0,4.81,1.67,5.96,7.41亿,18.85亿,156.08亿,--
8,9,300167,*ST迪威,2.77,6.95,0.18,0.0,9.02,1.09,12.36,0.87亿,3.57亿,9.88亿,--
9,10,000659,珠海中富,3.83,4.36,0.16,-1.03,16.49,3.32,8.72,8.13亿,12.86亿,49.24亿,--
10,11,300043,星辉娱乐,5.53,1.84,0.1,0.0,29.5,1.73,18.23,20.37亿,12.44亿,68.77亿,--
11,12,002898,赛隆药业,11.97,0.67,0.08,0.0,6.72,1.18,3.62,0.82亿,1.01亿,12.12亿,--
12,13,002319,乐通股份,12.82,0.31,0.04,0.31,3.12,1.52,5.32,0.81亿,2.00亿,25.64亿,--
13,14,002005,ST德豪,2.09,1.95,0.04,0.0,1.99,1.42,5.85,0.73亿,17.52亿,36.63亿,--
14,15,002141,*ST贤丰,1.91,1.6,0.03,0.0,2.01,0.68,5.85,0.39亿,10.33亿,19.73亿,926.35
15,16,002492,恒基达鑫,6.01,0.5,0.03,0.17,4.27,1.3,4.01,1.02亿,3.98亿,23.91亿,32.77
16,17,002047,宝鹰股份,3.48,-0.57,-0.02,0.0,5.51,0.73,7.14,2.60亿,13.41亿,46.67亿,--
17,18,000532,华金资本,16.21,-0.18,-0.03,0.0,6.39,0.93,5.05,3.54亿,3.44亿,55.69亿,115.60
18,19,002431,棕榈股份,2.64,-1.86,-0.05,-0.38,4.42,0.76,4.09,2.14亿,18.13亿,47.86亿,--
19,20,000507,珠海港,5.82,-1.19,-0.07,0.17,3.4,0.99,2.72,1.79亿,9.02亿,52.52亿,16.81
20,21,300050,世纪鼎利,7.41,-1.2,-0.09,0.14,16.97,1.6,9.87,7.17亿,5.45亿,40.35亿,--
21,22,002906,华阳集团,32.29,-0.34,-0.11,-0.03,1.31,0.87,2.81,2.22亿,5.25亿,169.41亿,27.35
22,23,600325,华发股份,6.64,-1.63,-0.11,0.3,2.75,1.58,3.56,4.65亿,25.71亿,170.73亿,10.30
23,24,002663,普邦股份,2.45,-4.3,-0.11,0.0,9.08,0.74,6.25,3.17亿,13.96亿,34.21亿,--
24,25,300569,天能重工,5.3,-3.11,-0.17,0.0,1.85,1.05,2.74,1.01亿,10.18亿,53.96亿,705.61
25,26,300359,全通教育,6.86,-2.83,-0.2,-0.29,4.99,0.79,4.11,2.20亿,6.33亿,43.44亿,--
26,27,002285,世联行,3.39,-5.83,-0.21,-0.29,5.79,0.68,5.28,3.94亿,19.75亿,66.96亿,--
27,28,300030,阳普医疗,7.03,-3.04,-0.22,-0.14,3.37,0.74,2.9,0.65亿,2.72亿,19.14亿,--
28,29,300246,宝莱特,7.92,-2.82,-0.23,0.13,3.69,0.83,3.93,0.63亿,2.11亿,16.73亿,--
29,30,300304,云意电气,8.88,-2.52,-0.23,0.0,2.99,0.69,2.52,2.30亿,8.56亿,75.98亿,19.03
30,31,002063,远光软件,6.45,-3.44,-0.23,0.0,3.86,1.21,3.89,4.44亿,17.59亿,113.44亿,83.50
31,32,300123,亚光科技,7.1,-3.66,-0.27,0.0,5.7,1.2,2.98,4.09亿,10.00亿,71.02亿,--
32,33,300053,航宇微,15.77,-2.23,-0.36,-0.13,4.91,0.83,2.54,4.95亿,6.35亿,100.21亿,--
33,34,002101,广东鸿图,12.88,-2.87,-0.38,-0.08,1.43,0.84,2.49,1.15亿,6.23亿,80.24亿,24.04
34,35,002017,东信和平,11.19,-3.54,-0.41,-0.09,3.24,0.87,3.54,2.14亿,5.80亿,64.91亿,40.96
35,36,300621,维业股份,11.43,-3.46,-0.41,0.18,3.44,0.88,3.21,0.77亿,1.96亿,22.42亿,133.97
36,37,300529,健帆生物,30.17,-1.66,-0.51,0.0,1.4,1.28,2.58,2.16亿,5.12亿,154.62亿,22.83
37,38,000513,丽珠集团,38.05,-1.55,-0.6,0.05,1.77,1.28,1.71,4.06亿,6.01亿,228.61亿,15.83
38,39,300147,香雪制药,13.26,-4.4,-0.61,0.08,11.25,1.28,5.19,9.85亿,6.57亿,87.18亿,--
39,40,603138,海量数据,16.48,-3.57,-0.61,0.0,2.94,0.94,4.8,1.40亿,2.83亿,46.66亿,--
40,41,002789,建艺集团,13.97,-8.15,-1.24,0.79,12.7,1.77,8.68,2.40亿,1.31亿,18.37亿,401.03
41,42,002975,博杰股份,33.32,-3.75,-1.3,0.0,4.61,0.6,4.13,1.12亿,0.72亿,23.92亿,2305.98
42,43,300620,光库科技,47.26,-2.9,-1.41,-0.09,3.47,0.97,3.72,4.09亿,2.47亿,116.69亿,158.26
