,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,603280,南方路机,24.61,2.2,0.53,0.94,24.88,1.29,10.42,1.71亿,0.28亿,6.88亿,23.75
1,2,001225,和泰机电,35.24,1.5,0.52,-0.03,3.31,0.8,2.65,0.25亿,0.21亿,7.41亿,40.24
2,3,600295,鄂尔多斯,10.25,3.54,0.35,0.0,1.34,2.08,5.46,2.70亿,19.76亿,202.50亿,12.50
3,4,600868,梅雁吉祥,3.33,9.9,0.3,0.0,3.07,0.49,0.0,1.94亿,18.98亿,63.21亿,407.75
4,5,600326,西藏天路,8.21,3.27,0.26,0.0,8.29,1.41,5.28,8.73亿,13.02亿,106.93亿,--
5,6,600724,宁波富达,6.32,3.44,0.21,0.32,3.12,1.08,5.89,2.85亿,14.45亿,91.32亿,42.81
6,7,601216,君正集团,5.78,2.66,0.15,0.0,5.84,2.03,11.19,28.69亿,84.38亿,487.72亿,16.33
7,8,600727,鲁北化工,8.23,1.6,0.13,0.0,4.29,1.56,2.84,1.86亿,5.29亿,43.50亿,13.76
8,9,600075,新疆天业,4.69,2.4,0.11,0.21,1.38,2.09,2.84,1.10亿,17.07亿,80.08亿,595.20
9,10,605122,四方新材,11.87,0.68,0.08,0.08,1.5,0.83,1.87,0.31亿,1.72亿,20.46亿,141.07
10,11,002386,天原股份,4.86,1.25,0.06,0.21,2.02,1.21,2.71,1.27亿,13.01亿,63.25亿,--
11,12,600063,皖维高新,4.45,0.45,0.02,0.0,1.38,1.03,2.94,1.18亿,19.26亿,85.70亿,35.08
12,13,601992,金隅集团,2.07,0.48,0.01,0.0,2.08,2.0,7.77,3.64亿,83.34亿,172.52亿,--
13,14,600449,宁夏建材,14.99,0.07,0.01,0.07,2.68,1.21,2.87,1.93亿,4.78亿,71.68亿,31.47
14,15,002470,金正大,2.29,0.0,0.0,-0.44,13.56,2.88,8.73,10.41亿,32.86亿,75.24亿,31.33
15,16,601868,中国能建,2.4,0.0,0.0,0.42,1.12,1.28,2.5,8.79亿,324.29亿,778.29亿,20.82
16,17,002092,ST中泰,4.6,-0.22,-0.01,0.22,0.78,0.88,1.74,0.92亿,25.76亿,118.48亿,--
17,18,600802,福建水泥,4.38,-0.46,-0.02,0.0,2.33,0.65,3.41,0.47亿,4.58亿,20.07亿,--
18,19,600668,尖峰集团,10.83,-0.18,-0.02,-0.09,0.93,0.78,1.75,0.35亿,3.44亿,37.26亿,39.61
19,20,600425,青松建化,4.11,-0.72,-0.03,0.24,1.72,0.94,2.66,0.98亿,13.79亿,56.67亿,12.20
20,21,000877,天山股份,6.48,-0.46,-0.03,0.0,0.64,0.95,2.3,0.76亿,18.22亿,118.08亿,--
21,22,000856,冀东装备,8.39,-0.47,-0.04,-0.12,1.88,0.64,2.25,0.36亿,2.27亿,19.05亿,127.13
22,23,601568,北元集团,4.52,-0.88,-0.04,0.22,0.45,1.0,1.75,0.82亿,39.72亿,179.54亿,56.15
23,24,000401,冀东水泥,5.88,-0.84,-0.05,0.0,1.22,1.14,3.54,1.12亿,15.47亿,90.98亿,--
24,25,000927,中国铁物,2.94,-1.67,-0.05,0.0,1.24,0.93,4.01,2.23亿,60.50亿,177.88亿,30.51
25,26,600935,华塑股份,2.97,-1.98,-0.06,0.0,1.55,0.67,4.62,1.63亿,35.07亿,104.17亿,--
26,27,600801,华新水泥,12.85,-0.54,-0.07,0.0,0.95,0.44,1.47,1.64亿,13.44亿,172.74亿,17.60
27,28,600881,亚泰集团,2.23,-3.04,-0.07,0.0,14.97,1.85,16.52,11.16亿,32.49亿,72.45亿,--
28,29,000672,上峰水泥,8.11,-0.98,-0.08,0.12,0.64,0.89,2.32,0.51亿,9.69亿,78.62亿,14.58
29,30,002742,ST三圣,4.13,-2.13,-0.09,0.0,1.61,0.71,3.08,0.29亿,4.32亿,17.84亿,--
30,31,000935,四川双马,16.49,-0.6,-0.1,-0.06,0.63,0.51,2.89,0.80亿,7.63亿,125.89亿,38.61
31,32,002233,塔牌集团,7.68,-1.28,-0.1,0.26,0.79,0.75,2.19,0.72亿,11.91亿,91.51亿,18.02
32,33,000789,万年青,5.6,-1.75,-0.1,0.18,1.68,0.73,3.68,0.75亿,7.97亿,44.65亿,479.94
33,34,002302,西部建设,7.19,-2.58,-0.19,-0.14,1.9,0.91,3.93,1.74亿,12.62亿,90.76亿,702.58
34,35,600970,中材国际,10.28,-2.0,-0.21,0.0,0.73,1.18,2.96,1.68亿,22.34亿,229.67亿,9.89
35,36,600585,海螺水泥,25.5,-1.35,-0.35,0.08,0.44,1.06,2.44,4.53亿,40.00亿,1019.92亿,19.5
