,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,301127,天源环保,18.82,12.83,2.14,0.11,9.63,1.89,14.27,6.89亿,3.93亿,73.97亿,47.62
1,2,688275,万润新能,63.41,2.6,1.61,0.05,3.81,0.87,6.21,2.00亿,0.85亿,53.64亿,--
2,3,002816,和科达,21.46,5.82,1.18,0.0,6.36,1.18,8.73,1.35亿,1.00亿,21.46亿,--
3,4,002209,达意隆,11.25,9.97,1.02,0.0,5.28,0.45,10.36,0.91亿,1.55亿,17.47亿,40.04
4,5,301151,冠龙节能,18.09,4.93,0.85,0.0,18.38,2.14,8.64,1.83亿,0.56亿,10.11亿,102.60
5,6,600796,钱江生化,8.55,10.04,0.78,0.0,6.31,0.43,5.02,1.62亿,3.01亿,25.77亿,43.12
6,7,688296,和达科技,13.93,5.29,0.7,0.0,4.43,3.01,14.66,0.68亿,1.07亿,14.96亿,437.25
7,8,603165,荣晟环保,12.96,4.85,0.6,-0.08,4.87,3.88,8.98,1.71亿,2.73亿,35.33亿,10.65
8,9,002521,齐峰新材,11.27,5.43,0.58,0.09,4.08,2.33,7.58,1.84亿,4.03亿,45.40亿,39.29
9,10,300275,梅安森,15.7,3.56,0.54,0.45,7.65,1.54,7.39,3.06亿,2.55亿,40.04亿,77.48
10,11,603867,新化股份,26.7,1.91,0.5,0.0,2.97,1.44,4.35,1.48亿,1.86亿,49.55亿,20.62
11,12,688350,富淼科技,15.0,3.45,0.5,-0.27,2.28,1.46,4.48,0.41亿,1.22亿,18.32亿,58.80
12,13,600388,龙净环保,12.96,3.43,0.43,-0.08,2.67,2.12,5.03,4.18亿,12.20亿,158.06亿,18.31
13,14,600292,远达环保,15.23,2.7,0.4,0.07,9.96,0.73,8.43,11.92亿,7.81亿,118.92亿,100.93
14,15,000532,华金资本,16.11,2.48,0.39,0.0,9.34,1.14,12.15,5.17亿,3.44亿,55.35亿,114.89
15,16,300948,冠中生态,11.75,3.16,0.36,0.17,5.36,1.74,4.48,0.82亿,1.31亿,15.37亿,--
16,17,002973,侨银股份,10.79,3.25,0.34,0.0,4.64,1.87,6.99,0.86亿,1.73亿,18.62亿,13.64
17,18,301092,争光股份,26.35,1.27,0.33,0.0,6.32,0.97,5.3,0.72亿,0.43亿,11.38亿,34.26
18,19,300801,泰和科技,18.17,1.68,0.3,-0.06,4.5,1.15,2.41,1.10亿,1.34亿,24.36亿,35.54
19,20,001230,劲旅环境,18.77,1.57,0.29,-0.11,3.69,1.8,3.19,0.37亿,0.54亿,10.15亿,16.46
20,21,301372,科净源,24.68,1.15,0.28,-0.04,5.51,0.76,3.07,0.55亿,0.41亿,10.09亿,--
21,22,002140,东华科技,10.86,2.55,0.27,-0.09,3.05,1.27,7.74,1.81亿,5.42亿,58.81亿,18.16
22,23,300786,国林科技,16.94,1.44,0.24,0.3,19.06,0.54,3.65,4.65亿,1.47亿,24.85亿,--
23,24,300490,华自科技,9.79,2.41,0.23,0.0,5.95,1.63,4.08,2.28亿,3.93亿,38.50亿,--
24,25,600257,大湖股份,5.72,3.62,0.2,0.0,14.11,2.21,8.15,3.86亿,4.81亿,27.53亿,--
25,26,688335,复洁环保,10.21,2.0,0.2,0.0,1.06,1.18,3.1,0.16亿,1.48亿,15.11亿,--
26,27,301518,长华化学,18.61,1.03,0.19,0.0,2.77,0.74,1.52,0.27亿,0.53亿,9.95亿,58.59
27,28,600470,六国化工,6.5,2.52,0.16,0.0,15.35,1.13,4.89,5.18亿,5.22亿,33.90亿,66.27
28,29,002761,浙江建投,10.8,1.31,0.14,0.09,7.49,1.43,7.13,8.72亿,10.81亿,116.78亿,62.86
29,30,603282,亚光股份,16.88,0.84,0.14,0.0,2.43,1.14,2.21,0.26亿,0.64亿,10.83亿,21.50
30,31,300961,深水海纳,12.42,0.98,0.12,-0.88,13.57,0.79,8.62,2.61亿,1.51亿,18.76亿,--
31,32,600283,钱江水利,10.12,1.2,0.12,-0.1,2.5,1.23,4.3,1.26亿,4.94亿,50.01亿,22.67
32,33,300402,宝色股份,16.6,0.67,0.11,0.06,2.82,1.4,3.88,1.14亿,2.44亿,40.44亿,52.06
33,34,600963,岳阳林纸,5.22,2.15,0.11,-0.19,2.51,1.23,5.28,2.31亿,17.58亿,91.75亿,--
34,35,000809,*ST和展,3.0,3.45,0.1,0.0,1.79,2.09,5.86,0.44亿,8.25亿,24.74亿,--
35,36,300897,山科智能,23.58,0.43,0.1,0.0,2.48,0.77,4.86,0.37亿,0.63亿,14.84亿,27.63
36,37,301081,严牌股份,9.5,0.96,0.09,-0.11,1.54,0.74,2.12,0.29亿,1.97亿,18.67亿,34.89
37,38,000890,法尔胜,4.29,1.66,0.07,0.0,8.5,0.69,5.21,1.52亿,4.19亿,18.00亿,--
38,39,301519,舜禹股份,14.72,0.48,0.07,0.0,6.81,1.13,3.21,0.77亿,0.78亿,11.47亿,133.21
