,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,11,301181,标榜股份,21.86,1.34,0.29,0.05,2.25,0.76,2.18,0.19亿,0.39亿,8.53亿,21.60
1,12,600523,贵航股份,12.34,2.07,0.25,0.08,1.41,1.41,1.99,0.70亿,4.04亿,49.86亿,31.93
2,13,600619,海立股份,11.69,2.01,0.23,0.09,3.59,0.92,4.89,3.32亿,7.89亿,92.25亿,414.36
3,14,688355,明志科技,17.62,1.32,0.23,0.11,0.89,1.09,4.25,0.20亿,1.24亿,21.84亿,30.96
4,15,603075,热威股份,19.3,1.15,0.22,0.0,2.72,0.84,1.73,0.21亿,0.40亿,7.72亿,25.47
5,16,603192,汇得科技,15.51,1.37,0.21,0.0,0.54,0.63,2.68,0.12亿,1.39亿,21.51亿,21.60
6,17,603949,雪龙集团,12.7,1.68,0.21,0.0,0.99,0.75,3.36,0.26亿,2.10亿,26.70亿,45.12
7,18,002806,华锋股份,11.91,1.71,0.2,-0.17,3.37,0.84,4.7,0.64亿,1.58亿,18.80亿,333.61
8,19,603266,天龙股份,16.82,0.96,0.16,0.0,1.22,0.84,2.34,0.41亿,1.99亿,33.45亿,30.38
9,20,300520,科大国创,24.95,0.6,0.15,0.04,6.5,0.67,3.31,4.56亿,2.77亿,69.20亿,--
10,41,300237,美晨科技,2.26,2.26,0.05,-0.44,4.12,0.94,5.88,1.35亿,14.39亿,32.52亿,--
11,42,603158,腾龙股份,8.34,0.6,0.05,0.0,2.12,0.99,1.57,0.86亿,4.91亿,40.93亿,12.98
12,43,603178,圣龙股份,20.49,0.24,0.05,-0.05,1.45,0.49,2.79,0.70亿,2.36亿,48.44亿,529.45
13,44,002824,和胜股份,16.99,0.24,0.04,0.0,1.93,0.46,2.48,0.62亿,1.89亿,32.14亿,63.97
14,45,002418,康盛股份,2.57,1.18,0.03,-0.39,4.91,0.58,8.27,1.47亿,11.36亿,29.21亿,--
15,46,300337,银邦股份,11.76,0.26,0.03,0.17,3.0,1.0,3.07,2.54亿,7.11亿,83.66亿,66.21
16,47,300375,鹏翎股份,4.85,0.62,0.03,0.0,3.01,0.55,2.08,0.74亿,5.05亿,24.50亿,35.52
17,48,300507,苏奥传感,7.16,0.42,0.03,0.0,2.63,0.99,2.67,1.46亿,7.72亿,55.31亿,38.93
18,49,301007,德迈仕,18.68,0.16,0.03,0.11,4.64,0.45,3.0,1.31亿,1.50亿,28.07亿,52.45
19,50,000530,冰山冷热,6.15,0.33,0.02,-0.16,8.54,0.55,3.75,3.14亿,6.00亿,36.90亿,41.12
20,31,002666,德联集团,4.54,1.79,0.08,-0.22,1.63,0.72,3.14,0.33亿,4.51亿,20.47亿,34.22
21,32,000030,富奥股份,5.29,1.34,0.07,0.0,0.64,1.04,2.49,0.57亿,16.92亿,89.52亿,15.56
22,33,600151,航天机电,8.34,0.85,0.07,0.0,1.1,0.82,3.14,1.32亿,14.34亿,119.62亿,--
23,34,603088,宁波精达,9.38,0.75,0.07,0.0,3.82,0.84,2.79,1.57亿,4.36亿,40.86亿,25.95
24,35,000622,*ST恒立,2.04,3.03,0.06,-0.49,1.37,1.05,7.58,0.12亿,4.25亿,8.67亿,--
25,36,002420,毅昌科技,5.47,1.11,0.06,0.0,1.81,0.71,2.77,0.39亿,3.95亿,21.59亿,23.41
26,37,300462,华铭智能,9.44,0.64,0.06,0.0,3.73,0.56,3.94,0.48亿,1.37亿,12.91亿,--
27,38,600698,湖南天雁,4.76,1.28,0.06,-0.21,1.78,0.61,2.98,0.71亿,8.30亿,39.52亿,3101.48
28,39,600960,渤海汽车,3.52,1.73,0.06,0.0,1.47,0.71,4.05,0.49亿,9.51亿,33.46亿,--
29,40,300217,东方电热,4.7,1.07,0.05,-0.21,2.59,0.76,3.66,1.51亿,12.27亿,57.67亿,18.64
30,21,300912,凯龙高科,12.18,1.08,0.13,0.16,2.56,0.58,4.48,0.27亿,0.86亿,10.45亿,--
31,22,603107,上海汽配,17.71,0.74,0.13,0.06,2.43,0.66,2.62,0.94亿,2.18亿,38.64亿,33.27
32,23,000404,长虹华意,7.78,1.57,0.12,0.0,2.14,1.18,1.96,1.15亿,6.93亿,53.91亿,10.80
33,24,002160,常铝股份,3.86,3.21,0.12,-0.26,2.53,1.21,5.35,0.77亿,7.94亿,30.63亿,58.22
34,25,003028,振邦智能,37.58,0.32,0.12,0.03,1.98,0.82,2.22,0.40亿,0.54亿,20.31亿,23.51
35,26,300011,鼎汉技术,7.76,1.57,0.12,0.0,1.79,0.69,2.62,0.69亿,5.02亿,38.93亿,206.85
36,27,603013,亚普股份,16.0,0.76,0.12,0.0,0.81,0.87,2.08,0.67亿,5.13亿,82.02亿,16.45
37,28,002454,松芝股份,6.78,1.5,0.1,0.44,0.88,0.69,2.25,0.37亿,6.27亿,42.51亿,22.56
38,29,300594,朗进科技,18.06,0.56,0.1,0.06,4.22,1.09,3.95,0.70亿,0.91亿,16.43亿,--
39,30,002592,ST八菱,4.87,1.88,0.09,0.0,1.48,0.9,5.02,0.19亿,2.63亿,12.79亿,20.24
40,71,300988,津荣天宇,18.92,-0.63,-0.12,-0.11,2.06,0.76,2.36,0.42亿,1.07亿,20.32亿,32.72
41,72,301225,恒勃股份,27.53,-0.43,-0.12,0.0,2.07,0.59,1.81,0.17亿,0.30亿,8.31亿,24.68
42,73,688128,中国电研,21.76,-0.64,-0.14,0.09,0.63,1.04,1.83,0.55亿,4.04亿,88.02亿,20.54
43,74,600081,东风科技,10.8,-1.55,-0.17,0.0,2.46,1.77,2.92,1.47亿,5.53亿,59.73亿,73.14
44,75,000581,威孚高科,18.99,-0.99,-0.19,-0.11,1.46,0.71,1.77,2.28亿,8.24亿,156.44亿,11.12
45,76,600480,凌云股份,11.34,-1.73,-0.2,0.09,3.52,1.15,2.95,3.68亿,9.17亿,103.98亿,15.97
46,77,002402,和而泰,19.42,-1.17,-0.23,0.0,10.88,0.73,2.95,17.17亿,8.01亿,155.63亿,37.92
47,78,600699,均胜电子,16.12,-1.41,-0.23,0.0,1.93,1.11,2.02,4.29亿,13.68亿,220.53亿,18.09
48,79,688306,均普智能,8.1,-2.88,-0.24,0.0,6.0,0.77,5.04,2.32亿,4.68亿,37.92亿,--
49,80,603390,通达电气,11.84,-2.15,-0.26,0.0,8.91,0.94,4.63,3.71亿,3.50亿,41.41亿,186.96
50,51,001319,铭科精技,25.66,0.08,0.02,0.0,7.84,0.73,2.73,1.23亿,0.61亿,15.64亿,35.56
51,52,838171,邦德股份,14.83,0.14,0.02,0.0,1.91,0.64,2.97,0.15亿,0.52亿,7.70亿,19.94
52,53,002239,奥特佳,3.19,0.32,0.01,0.0,4.47,0.49,3.15,4.66亿,32.43亿,103.46亿,86.10
53,54,300292,吴通控股,5.09,0.2,0.01,-0.2,3.82,0.68,3.15,2.18亿,11.16亿,56.80亿,64.24
54,55,301238,瑞泰新材,16.38,0.06,0.01,-0.12,1.93,0.97,2.2,0.68亿,2.13亿,34.94亿,60.26
55,56,688022,瀚川智能,11.54,0.09,0.01,0.0,1.75,0.71,4.25,0.36亿,1.76亿,20.30亿,--
56,57,301397,溯联股份,26.64,0.0,0.0,-0.08,2.11,0.97,3.64,0.31亿,0.54亿,14.51亿,22.07
