,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,002576,通达动力,16.3,9.99,1.48,0.0,11.8,2.08,11.27,3.06亿,1.62亿,26.41亿,45.67
1,2,300499,高澜股份,18.16,7.97,1.34,0.0,22.16,2.5,17.95,10.55亿,2.71亿,49.29亿,--
2,3,300617,安靠智电,28.25,3.21,0.88,0.04,4.0,2.72,8.07,1.58亿,1.41亿,39.72亿,26.07
3,4,300712,永福股份,28.95,2.77,0.78,0.0,4.62,2.06,6.85,2.49亿,1.87亿,54.02亿,121.22
4,5,301289,国缆检测,52.36,1.32,0.68,0.0,17.11,1.29,4.78,2.27亿,0.25亿,13.27亿,56.70
5,6,300831,派瑞股份,17.26,3.23,0.54,0.06,19.53,2.47,6.28,6.20亿,1.84亿,31.84亿,78.84
6,7,603333,尚纬股份,5.53,9.94,0.5,0.0,11.99,2.66,11.13,3.96亿,6.22亿,34.37亿,135.69
7,8,603016,新宏泰,34.13,1.16,0.39,0.0,2.05,0.98,5.1,1.04亿,1.48亿,50.57亿,72.69
8,9,002339,积成电子,7.82,2.62,0.2,-0.13,10.82,2.29,9.05,4.06亿,4.79亿,37.44亿,--
9,10,833394,民士达,22.29,0.91,0.2,0.0,5.13,0.92,4.57,0.55亿,0.48亿,10.69亿,34.56
10,11,002364,中恒电气,8.52,1.79,0.15,0.0,9.18,1.38,5.62,4.35亿,5.58亿,47.55亿,41.88
11,12,300933,中辰股份,7.51,1.9,0.14,-0.13,5.95,2.5,5.29,2.05亿,4.59亿,34.43亿,54.15
12,13,600487,亨通光电,18.03,0.78,0.14,0.45,4.59,3.5,3.86,20.55亿,24.67亿,444.75亿,14.41
13,14,002227,奥特迅,11.71,0.34,0.04,0.0,5.37,1.08,3.86,1.56亿,2.48亿,29.00亿,--
14,15,601609,金田股份,6.82,-0.15,-0.01,0.15,4.25,1.09,6.15,4.33亿,14.78亿,100.83亿,26.27
15,16,000973,佛塑科技,6.9,-0.29,-0.02,0.0,6.73,0.91,2.31,4.52亿,9.67亿,66.75亿,60.15
16,17,600312,平高电气,18.0,-0.11,-0.02,0.45,2.23,1.96,3.66,5.47亿,13.57亿,244.25亿,21.38
17,18,002358,森源电气,4.95,-0.8,-0.04,0.2,3.37,0.97,4.21,1.57亿,9.29亿,46.00亿,26.43
18,19,003008,开普检测,19.89,-0.2,-0.04,0.05,2.82,0.74,1.96,0.44亿,0.78亿,15.48亿,27.71
19,20,300510,金冠股份,5.01,-0.99,-0.05,0.0,5.81,1.47,5.53,2.45亿,8.25亿,41.32亿,--
20,21,601868,中国能建,2.36,-2.08,-0.05,0.0,1.05,0.97,2.49,8.09亿,324.29亿,765.32亿,20.47
21,22,688469,芯联集成,5.76,-0.86,-0.05,-0.17,10.05,3.31,4.13,25.73亿,43.96亿,253.21亿,--
22,23,002263,大东南,3.0,-2.28,-0.07,-0.33,2.72,0.74,2.28,1.54亿,18.78亿,56.35亿,--
23,24,002316,ST亚联,3.62,-1.9,-0.07,-0.82,7.07,1.34,4.34,0.82亿,3.15亿,11.40亿,98.73
24,25,001208,华菱线缆,9.66,-0.82,-0.08,0.0,3.75,1.48,2.36,0.99亿,2.70亿,26.09亿,44.89
25,26,002300,太阳电缆,5.85,-1.35,-0.08,0.0,2.5,1.14,3.04,1.07亿,7.22亿,42.25亿,33.27
26,27,002560,通达股份,6.77,-1.31,-0.09,0.0,2.91,1.09,3.5,0.90亿,4.53亿,30.66亿,37.08
27,28,600361,创新新材,4.28,-2.06,-0.09,-0.23,2.86,0.84,2.52,2.05亿,16.67亿,71.35亿,16.68
28,29,601179,中国西电,7.64,-1.16,-0.09,-0.39,1.1,1.17,1.81,4.35亿,51.26亿,391.62亿,37.33
29,30,601669,中国电建,5.48,-1.62,-0.09,0.0,1.5,1.76,1.62,10.81亿,130.72亿,716.32亿,8.04
30,31,870299,灿能电力,11.85,-0.75,-0.09,0.0,4.57,0.59,4.94,0.25亿,0.45亿,5.28亿,59.27
31,32,002132,恒星科技,3.12,-3.11,-0.1,0.0,2.37,0.81,3.42,1.05亿,13.99亿,43.66亿,176.22
32,33,002545,东方铁塔,7.56,-1.43,-0.11,0.0,1.57,0.65,2.61,1.35亿,11.30亿,85.44亿,15.13
33,34,002350,北京科锐,6.67,-1.77,-0.12,0.0,2.83,0.82,3.09,1.01亿,5.29亿,35.29亿,1420.28
34,35,002498,汉缆股份,3.56,-3.26,-0.12,-0.28,0.88,0.92,2.99,1.05亿,33.27亿,118.43亿,15.27
35,36,300140,节能环境,6.63,-1.78,-0.12,1.38,3.4,2.28,4.74,2.32亿,10.20亿,67.63亿,23.21
36,37,600869,远东股份,4.86,-2.41,-0.12,-0.21,1.4,1.19,3.81,1.53亿,22.19亿,107.86亿,--
37,38,601096,宏盛华源,4.56,-2.56,-0.12,0.0,3.42,0.85,2.35,1.05亿,6.69亿,30.50亿,51.25
38,39,601700,风范股份,4.95,-2.37,-0.12,-0.2,1.36,0.89,2.17,0.78亿,11.42亿,56.54亿,49.67
39,40,603530,神马电力,24.47,-0.49,-0.12,-0.16,0.46,0.62,1.71,0.48亿,4.28亿,104.65亿,36.80
40,41,000070,ST特信,5.98,-2.13,-0.13,-0.17,1.83,1.12,1.96,0.98亿,8.89亿,53.14亿,912.77
41,42,600517,国网英大,5.69,-2.23,-0.13,0.0,0.41,0.95,2.23,1.33亿,57.18亿,325.38亿,16.80
42,43,603577,汇金通,8.84,-1.56,-0.14,0.11,1.34,0.64,1.89,0.41亿,3.39亿,29.98亿,21.44
43,44,603861,白云电器,9.9,-1.39,-0.14,0.2,1.49,0.88,2.49,0.64亿,4.36亿,43.21亿,26.79
44,45,002169,智光电气,6.82,-2.15,-0.15,0.0,1.94,0.77,1.86,1.01亿,7.59亿,51.74亿,--
45,46,600268,国电南自,6.85,-2.14,-0.15,-0.29,1.05,0.85,2.57,0.73亿,10.06亿,68.92亿,49.78
46,47,600379,宝光股份,10.42,-1.42,-0.15,0.29,1.28,0.61,2.46,0.44亿,3.30亿,34.41亿,37.37
47,48,603618,杭电股份,5.8,-2.52,-0.15,0.0,1.12,0.74,2.52,0.45亿,6.91亿,40.10亿,24.84
48,49,000027,深圳能源,6.56,-2.38,-0.16,-0.15,0.58,1.29,2.38,1.82亿,47.57亿,312.08亿,11.01
49,50,002452,长高电新,7.82,-2.0,-0.16,0.0,2.88,0.77,2.0,1.17亿,5.16亿,40.34亿,20.10
50,51,300018,中元股份,7.49,-2.09,-0.16,-0.53,5.23,0.74,3.01,1.51亿,3.81亿,28.54亿,40.62
51,52,300069,金利华电,15.73,-1.13,-0.18,-0.13,2.2,1.41,4.59,0.41亿,1.17亿,18.40亿,85.74
52,53,300265,通光线缆,8.8,-2.11,-0.19,-0.11,3.14,0.74,3.23,1.28亿,4.58亿,40.30亿,58.18
53,54,300215,电科院,6.79,-3.0,-0.21,0.0,6.89,1.55,5.86,2.71亿,5.62亿,38.17亿,242.25
54,55,600089,特变电工,12.82,-1.61,-0.21,0.0,2.09,1.82,1.69,13.58亿,50.53亿,647.77亿,11.3
55,56,601208,东材科技,8.27,-2.48,-0.21,-0.24,1.97,1.07,2.48,1.47亿,8.97亿,74.16亿,23.55
56,57,300365,恒华科技,7.17,-2.98,-0.22,-0.14,5.99,0.73,2.71,2.10亿,4.84亿,34.68亿,347.32
