,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,002732,燕塘乳业,17.01,0.59,0.1,0.06,1.76,0.95,3.19,0.47亿,1.57亿,26.63亿,24.73
1,2,600313,农发种业,7.14,1.42,0.1,0.0,3.6,1.18,2.27,2.76亿,10.82亿,77.27亿,104.67
2,3,000638,万方发展,6.05,1.51,0.09,0.17,5.43,1.16,4.03,1.02亿,3.10亿,18.76亿,106.28
3,4,002539,云图控股,8.22,0.12,0.01,-0.12,1.56,0.86,1.71,1.14亿,8.83亿,72.59亿,11.13
4,5,600965,福成股份,4.58,0.22,0.01,0.0,2.07,1.2,6.35,0.78亿,8.19亿,37.50亿,97.19
5,6,600354,敦煌种业,6.22,0.16,0.01,0.0,3.86,0.73,2.42,1.26亿,5.28亿,32.83亿,136.91
6,7,002100,天康生物,6.76,-0.44,-0.03,-0.15,1.82,0.94,1.62,1.69亿,13.65亿,92.29亿,12.24
7,8,002385,大北农,4.58,-0.65,-0.03,-0.22,1.64,0.91,2.6,2.51亿,33.13亿,151.72亿,111.28
8,9,000713,丰乐种业,7.51,-0.53,-0.04,0.0,1.71,0.69,1.99,0.79亿,6.14亿,46.11亿,--
9,10,002588,史丹利,7.69,-0.65,-0.05,0.0,1.74,0.83,2.71,1.37亿,10.20亿,78.40亿,10.00
10,11,601952,苏垦农发,10.11,-0.59,-0.06,0.2,0.74,1.13,1.77,1.04亿,13.78亿,139.32亿,22.90
11,12,000998,隆平高科,10.99,-0.63,-0.07,-0.09,1.02,0.76,1.54,1.47亿,13.15亿,144.52亿,--
12,13,002133,广宇集团,2.97,-2.3,-0.07,0.34,6.65,1.28,3.62,1.53亿,7.70亿,22.87亿,--
13,14,600108,亚盛集团,3.14,-2.18,-0.07,0.0,2.31,0.88,3.43,1.42亿,19.47亿,61.13亿,125.88
14,15,600598,北大荒,14.56,-0.55,-0.08,0.14,0.72,0.87,1.5,1.87亿,17.78亿,258.83亿,14.41
15,16,600371,万向德农,9.18,-0.86,-0.08,-0.11,1.17,0.6,2.48,0.32亿,2.93亿,26.86亿,38.92
16,17,600057,厦门象屿,6.37,-1.24,-0.08,0.16,1.67,0.52,2.64,2.35亿,21.92亿,139.64亿,11.99
17,18,600127,金健米业,7.26,-1.23,-0.09,0.14,3.64,0.61,2.99,1.71亿,6.42亿,46.59亿,5382.89
18,19,300189,神农种业,4.43,-2.42,-0.11,0.23,13.42,0.46,3.75,5.26亿,8.86亿,39.26亿,--
19,20,002041,登海种业,10.16,-1.46,-0.15,0.0,1.03,0.79,2.42,0.93亿,8.80亿,89.41亿,114.46
20,21,300087,荃银高科,11.06,-3.32,-0.38,0.0,3.9,0.68,3.85,3.90亿,8.96亿,99.09亿,--
21,22,870866,绿亨科技,8.95,-9.14,-0.9,0.0,5.49,0.9,9.44,0.49亿,0.95亿,8.48亿,37.23
22,23,832786,骑士乳业,8.97,-9.48,-0.94,0.0,14.2,0.76,10.09,1.47亿,1.10亿,9.82亿,137.16
23,24,837403,康农种业,22.64,-3.99,-0.94,0.0,10.07,0.56,6.4,0.69亿,0.30亿,6.75亿,126.31
24,25,831087,秋乐种业,13.94,-7.74,-1.17,0.0,5.15,0.66,8.67,1.19亿,1.61亿,22.46亿,187.42
