,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,301556,托普云农,93.33,1.45,1.33,0.01,13.39,1.13,4.74,2.30亿,0.18亿,17.12亿,77.93
1,2,000998,隆平高科,11.55,10.0,1.05,0.0,6.65,4.73,10.48,9.84亿,13.15亿,151.89亿,--
2,3,002041,登海种业,10.79,9.99,0.98,0.0,3.29,2.94,10.5,3.04亿,8.80亿,94.95亿,121.56
3,4,600692,亚通股份,9.64,10.05,0.88,0.0,10.82,2.54,9.02,2.61亿,2.55亿,24.58亿,566.32
4,5,600598,北大荒,15.05,4.66,0.67,0.0,2.71,3.37,5.01,7.14亿,17.78亿,267.54亿,14.89
5,6,603717,天域生物,8.5,7.32,0.58,0.0,17.14,1.23,9.85,4.22亿,2.90亿,24.66亿,289.57
6,7,600354,敦煌种业,6.25,10.04,0.57,0.0,11.55,2.49,10.92,3.69亿,5.28亿,32.99亿,137.56
7,8,300189,神农种业,4.06,16.33,0.57,0.0,24.18,1.94,19.48,8.24亿,8.86亿,35.98亿,--
8,9,002783,凯龙股份,8.91,6.45,0.54,0.0,12.55,4.2,10.04,4.94亿,4.39亿,39.15亿,29.83
9,10,688526,科前生物,14.9,2.97,0.43,0.0,0.57,2.01,5.53,0.40亿,4.66亿,69.45亿,19.99
10,11,300387,富邦股份,8.47,4.31,0.35,-0.24,4.67,1.26,5.79,1.14亿,2.89亿,24.47亿,19.97
11,12,002513,蓝丰生化,5.03,7.25,0.34,0.0,15.96,2.28,10.02,2.12亿,2.64亿,13.27亿,--
12,13,002234,民和股份,9.27,3.46,0.31,-0.11,2.29,1.24,4.91,0.63亿,3.01亿,27.94亿,--
13,14,000735,罗牛山,6.89,4.24,0.28,-0.15,3.41,1.3,6.35,2.69亿,11.51亿,79.30亿,17.38
14,15,002910,庄园牧场,7.59,3.83,0.28,0.4,3.42,0.76,5.61,0.44亿,1.71亿,12.98亿,--
15,16,002758,浙农股份,9.06,3.19,0.28,-0.11,1.5,1.24,4.56,0.70亿,5.18亿,46.93亿,22.09
16,17,603789,星光农机,8.31,2.85,0.23,-0.12,4.01,0.6,5.57,0.87亿,2.60亿,21.61亿,--
17,18,603609,禾丰股份,8.9,2.65,0.23,0.0,0.69,1.45,4.84,0.56亿,9.19亿,81.83亿,21.23
18,19,000902,新洋丰,13.14,1.39,0.18,0.0,0.58,1.33,1.47,0.87亿,11.43亿,150.16亿,11.11
19,20,000626,远大控股,6.03,2.9,0.17,0.0,1.46,0.93,4.78,0.45亿,5.06亿,30.51亿,--
20,21,600965,福成股份,5.16,3.2,0.16,-0.19,6.82,1.09,7.0,2.84亿,8.19亿,42.24亿,109.49
21,22,002588,史丹利,7.7,2.12,0.16,0.0,2.24,1.81,2.52,1.75亿,10.20亿,78.51亿,10.02
22,23,002548,金新农,4.13,3.77,0.15,0.24,2.97,1.15,5.28,0.98亿,8.04亿,33.22亿,89.48
23,24,002538,司尔特,5.97,2.58,0.15,0.0,1.56,1.16,3.27,0.79亿,8.54亿,50.96亿,15.63
24,25,600251,冠农股份,7.54,1.89,0.14,0.0,1.29,1.73,3.51,0.75亿,7.77亿,58.59亿,13.24
25,26,603086,先达股份,4.49,3.22,0.14,0.22,1.51,0.99,4.6,0.29亿,4.35亿,19.52亿,236.54
26,27,300958,建工修复,11.95,1.19,0.14,-0.08,2.72,0.63,1.95,0.30亿,0.91亿,10.88亿,164.78
27,28,002215,诺普信,11.52,1.23,0.14,-0.09,1.83,0.72,3.6,1.67亿,7.94亿,91.47亿,17.81
28,29,002311,海大集团,48.28,0.27,0.13,-0.02,0.21,0.97,2.14,1.72亿,16.63亿,802.66亿,16.62
29,30,300335,迪森股份,5.05,2.64,0.13,0.0,2.64,0.62,3.25,0.51亿,3.85亿,19.43亿,27.93
30,31,301362,民爆光电,40.66,0.3,0.12,0.17,1.28,0.7,1.68,0.16亿,0.30亿,12.06亿,17.06
31,32,300021,大禹节水,4.29,2.88,0.12,0.0,2.91,0.88,5.04,0.87亿,7.01亿,30.06亿,91.98
