,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,300561,汇金科技,52.6,14.3,6.58,-0.13,37.62,1.44,21.1,33.72亿,1.80亿,94.86亿,--
1,2,002577,雷柏科技,21.79,9.99,1.98,0.0,10.67,3.79,14.74,6.24亿,2.83亿,61.64亿,135.26
2,3,300380,安硕信息,49.82,2.93,1.42,0.0,8.9,1.29,5.72,5.63亿,1.27亿,63.46亿,1030.98
3,4,301380,挖金客,48.6,2.97,1.4,0.0,14.18,1.13,6.78,2.07亿,0.30亿,14.66亿,73.10
4,5,002045,国光电器,22.74,6.01,1.29,-0.22,29.41,1.48,11.98,38.24亿,5.62亿,127.76亿,39.30
5,6,300496,中科创达,65.31,1.9,1.22,0.02,11.18,1.51,8.72,27.50亿,3.67亿,239.71亿,148.27
6,7,301383,天键股份,54.88,2.25,1.21,0.53,26.81,1.35,18.99,10.66亿,0.70亿,38.56亿,39.97
7,8,002364,中恒电气,11.48,9.96,1.04,0.0,32.56,2.23,14.27,19.92亿,5.58亿,64.07亿,56.44
8,9,301313,凡拓数创,23.74,4.54,1.03,0.17,15.58,1.42,12.33,2.48亿,0.67亿,15.83亿,--
9,10,605398,新炬网络,21.29,4.62,0.94,0.0,5.15,2.59,10.86,1.81亿,1.63亿,34.64亿,104.53
10,31,830799,艾融软件,53.5,0.56,0.3,0.0,4.8,1.2,5.66,3.14亿,1.21亿,64.58亿,196.10
11,32,688676,金盘科技,43.72,0.67,0.29,0.51,9.72,1.17,7.71,20.00亿,4.57亿,199.99亿,37.15
12,33,300627,华测导航,41.61,0.63,0.26,0.0,1.64,1.18,2.9,3.10亿,4.53亿,188.43亿,43.97
13,34,002354,天娱数科,6.11,3.91,0.23,0.0,19.28,0.86,7.99,19.14亿,16.18亿,98.88亿,--
14,35,002530,金财互联,9.32,2.31,0.21,0.11,9.95,0.8,4.83,6.42亿,6.95亿,64.79亿,1702.32
15,36,000550,江铃汽车,24.8,0.81,0.2,0.0,1.28,1.09,2.03,1.64亿,5.18亿,128.58亿,13.77
16,37,002806,华锋股份,11.91,1.71,0.2,-0.17,3.37,0.84,4.7,0.64亿,1.58亿,18.80亿,333.61
17,38,603893,瑞芯微,115.48,0.17,0.2,1.53,5.2,1.15,7.34,25.47亿,4.18亿,482.81亿,103.01
18,39,688588,凌志软件,14.63,1.39,0.2,0.0,2.97,1.38,6.38,1.76亿,4.00亿,58.52亿,35.45
19,40,000572,海马汽车,4.42,4.25,0.18,0.0,4.17,1.37,8.49,3.02亿,16.42亿,72.59亿,97.17
20,51,002591,恒大高新,5.22,2.96,0.15,0.0,5.84,0.63,4.14,0.68亿,2.24亿,11.67亿,82.68
21,52,002712,思美传媒,5.5,2.8,0.15,0.0,6.58,0.86,6.73,1.96亿,5.41亿,29.75亿,--
22,53,300542,新晨科技,22.06,0.69,0.15,0.0,3.12,0.77,3.56,1.71亿,2.46亿,54.35亿,--
23,54,300663,科蓝软件,18.22,0.83,0.15,0.0,4.37,0.8,4.48,3.46亿,4.31亿,78.55亿,--
24,55,300830,金现代,8.48,1.8,0.15,0.12,5.59,0.65,4.92,1.50亿,3.15亿,26.71亿,--
25,56,601777,力帆科技,7.26,2.11,0.15,0.0,1.33,1.19,5.77,4.36亿,45.21亿,328.23亿,616.25
26,57,300674,宇信科技,20.35,0.69,0.14,-0.05,2.22,0.94,4.11,3.21亿,7.03亿,143.10亿,40.99
27,58,300271,华宇软件,7.37,1.8,0.13,0.27,1.99,0.76,4.28,1.18亿,8.02亿,59.09亿,--
28,59,603107,上海汽配,17.71,0.74,0.13,0.06,2.43,0.66,2.62,0.94亿,2.18亿,38.64亿,33.27
29,60,002363,隆基机械,6.71,1.82,0.12,0.0,1.52,0.73,2.58,0.42亿,4.16亿,27.90亿,57.22
