,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,605179,一鸣食品,26.22,9.98,2.38,0.0,4.67,0.7,4.99,4.87亿,4.01亿,105.14亿,213.67
1,2,300892,品渥食品,41.09,2.83,1.13,0.22,11.06,0.83,8.18,2.89亿,0.65亿,26.53亿,--
2,3,600779,水井坊,58.55,1.49,0.86,0.0,2.21,1.09,4.35,6.30亿,4.88亿,285.43亿,19.03
3,4,000759,中百集团,5.42,9.94,0.49,0.0,7.27,0.35,7.1,2.55亿,6.56亿,35.54亿,--
4,5,603708,家家悦,11.27,3.68,0.4,-0.27,3.1,1.38,9.94,2.23亿,6.38亿,71.94亿,28.71
5,6,002991,甘源食品,75.69,0.37,0.28,-0.03,2.04,1.64,3.65,0.78亿,0.50亿,37.61亿,19.09
6,7,003030,祖名股份,16.5,1.23,0.2,0.0,4.07,0.93,4.23,0.55亿,0.81亿,13.36亿,--
7,8,002582,好想你,7.85,2.48,0.19,0.0,15.51,0.8,9.92,4.19亿,3.44亿,27.01亿,--
8,9,603711,香飘飘,16.07,1.07,0.17,0.5,2.41,0.61,3.77,1.58亿,4.11亿,66.01亿,279.18
9,10,300094,国联水产,5.05,2.85,0.14,0.0,15.4,1.13,7.13,8.36亿,11.05亿,55.80亿,--
10,11,002702,海欣食品,4.87,1.67,0.08,0.0,15.2,1.47,8.98,3.39亿,4.62亿,22.49亿,--
11,12,603336,宏辉果蔬,5.19,1.57,0.08,0.19,3.94,0.93,2.54,1.16亿,5.70亿,29.60亿,114.35
12,13,002494,华斯股份,4.57,0.0,0.0,0.0,4.23,1.01,4.38,0.55亿,2.87亿,13.11亿,466.96
13,14,600597,光明乳业,8.83,-0.34,-0.03,0.0,0.82,0.84,1.58,1.00亿,13.78亿,121.72亿,78.45
14,15,600697,欧亚集团,12.92,-0.23,-0.03,-0.08,2.65,0.98,1.39,0.53亿,1.55亿,20.07亿,87.20
15,16,000607,华媒控股,4.49,-0.88,-0.04,-0.44,3.88,1.15,4.42,1.50亿,8.70亿,39.05亿,306.68
16,17,601007,金陵饭店,7.46,-0.67,-0.05,0.13,2.64,0.83,2.66,0.77亿,3.90亿,29.09亿,52.18
17,18,603506,南都物业,9.68,-0.51,-0.05,0.0,1.7,1.16,2.47,0.31亿,1.88亿,18.18亿,22.60
18,19,002563,森马服饰,6.99,-0.85,-0.06,0.14,0.59,0.48,2.27,0.90亿,22.08亿,154.37亿,18.70
19,20,002695,煌上煌,9.45,-0.63,-0.06,-0.84,6.03,0.58,3.47,2.66亿,4.64亿,43.88亿,50.24
20,21,002515,金字火腿,5.05,-1.37,-0.07,0.0,2.54,0.81,2.73,1.45亿,11.29亿,56.99亿,153.62
21,22,003000,劲仔食品,12.88,-0.62,-0.08,0.08,2.22,0.61,3.09,0.87亿,3.04亿,39.17亿,20.29
22,23,600858,银座股份,5.23,-1.51,-0.08,0.0,2.33,0.66,2.83,0.63亿,5.18亿,27.07亿,17.44
23,24,600113,浙江东日,14.26,-0.63,-0.09,0.07,1.47,0.74,2.44,0.85亿,4.11亿,58.67亿,42.80
24,25,600327,大东方,6.55,-1.95,-0.13,0.0,14.42,0.65,6.29,8.42亿,8.85亿,57.95亿,43.11
25,26,601933,永辉超市,5.48,-2.49,-0.14,0.0,5.73,0.53,6.58,28.91亿,90.75亿,497.31亿,--
26,27,601366,利群股份,5.56,-2.8,-0.16,0.0,4.22,1.12,2.8,2.12亿,8.99亿,50.00亿,145.28
27,28,300805,电声股份,9.99,-1.67,-0.17,0.2,5.09,0.81,5.02,1.45亿,2.87亿,28.69亿,519.10
28,29,000501,武商集团,8.97,-1.97,-0.18,0.0,1.37,0.49,3.83,0.95亿,7.68亿,68.92亿,41.68
29,30,603777,来伊份,11.39,-1.64,-0.19,0.18,2.45,0.49,2.33,0.94亿,3.35亿,38.21亿,--
30,31,600882,妙可蓝多,18.5,-1.07,-0.2,0.0,1.16,0.61,2.46,1.10亿,5.12亿,94.73亿,83.54
31,32,000721,西安饮食,9.99,-1.96,-0.2,0.0,9.08,0.64,4.42,4.01亿,4.38亿,43.71亿,--
32,33,000610,西安旅游,13.11,-1.72,-0.23,-0.08,3.72,0.67,2.55,1.16亿,2.35亿,30.87亿,--
33,34,601116,三江购物,11.02,-2.22,-0.25,0.0,1.58,0.47,4.26,0.96亿,5.48亿,60.35亿,37.39
34,35,000564,供销大集,3.47,-7.47,-0.28,-0.29,7.4,0.6,5.87,37.53亿,142.76亿,495.39亿,--
35,36,002561,徐家汇,9.8,-2.97,-0.3,0.1,4.81,0.56,3.66,1.96亿,4.14亿,40.62亿,--
36,37,002299,圣农发展,15.0,-2.15,-0.33,0.07,0.84,0.37,3.07,1.54亿,12.25亿,183.78亿,36.55
37,38,003010,若羽臣,22.13,-2.64,-0.6,0.0,5.31,0.49,5.32,1.42亿,1.21亿,26.76亿,47.18
