,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,11,002657,中科金财,19.15,1.59,0.3,0.0,7.08,0.74,6.1,4.56亿,3.36亿,64.41亿,--
1,12,300081,恒信东方,7.41,4.07,0.29,0.0,7.63,1.07,7.58,3.40亿,6.05亿,44.81亿,--
2,13,300933,中辰股份,7.06,3.98,0.27,0.14,3.48,1.11,6.48,1.13亿,4.59亿,32.37亿,50.90
3,14,002354,天娱数科,6.11,3.91,0.23,0.0,19.28,0.86,7.99,19.14亿,16.18亿,98.88亿,--
4,15,300397,天和防务,11.56,2.03,0.23,-0.09,3.69,1.3,2.47,1.74亿,4.06亿,46.88亿,--
5,16,000032,深桑达A,17.69,1.26,0.22,-0.06,2.76,1.12,5.04,3.18亿,6.45亿,114.06亿,--
6,17,002575,群兴玩具,7.45,2.9,0.21,0.0,3.58,1.0,6.22,1.55亿,5.78亿,43.08亿,--
7,18,000938,紫光股份,28.96,0.69,0.2,0.04,9.55,1.93,7.06,81.03亿,28.60亿,828.28亿,39.28
8,19,300175,朗源股份,5.77,3.59,0.2,0.17,3.22,0.86,5.21,0.87亿,4.71亿,27.17亿,--
9,20,603322,超讯通信,39.4,0.46,0.18,0.0,5.53,1.14,3.08,3.46亿,1.58亿,62.09亿,183.15
10,1,300857,协创数据,100.6,2.55,2.5,-0.33,3.94,0.69,4.09,9.69亿,2.45亿,246.03亿,33.22
11,2,002730,电光科技,14.36,10.04,1.31,0.0,18.33,1.67,2.53,9.10亿,3.46亿,49.69亿,58.03
12,3,301396,宏景科技,27.71,2.82,0.76,0.04,6.95,1.08,6.31,0.98亿,0.51亿,14.12亿,--
13,4,600449,宁夏建材,15.01,4.89,0.7,0.0,5.3,1.1,5.94,3.77亿,4.78亿,71.78亿,31.51
14,5,603602,纵横通信,16.94,3.86,0.63,-0.06,10.17,2.1,7.66,3.99亿,2.29亿,38.83亿,137.46
15,6,300113,顺网科技,17.2,3.18,0.53,0.18,9.41,1.01,7.62,8.55亿,5.29亿,90.97亿,42.21
16,7,301259,艾布鲁,49.05,0.86,0.42,0.1,3.27,1.03,2.88,1.31亿,0.81亿,39.91亿,--
17,8,002232,启明信息,20.28,2.06,0.41,-0.05,4.08,0.79,4.38,3.37亿,4.09亿,82.85亿,--
18,9,600633,浙数文化,10.86,3.13,0.33,0.0,2.63,1.65,8.26,3.66亿,12.68亿,137.71亿,21.76
19,10,002015,协鑫能科,8.24,3.91,0.31,0.12,2.44,1.69,5.55,3.25亿,16.23亿,133.76亿,16.56
20,21,603636,南威软件,11.07,1.56,0.17,0.0,2.42,1.33,6.61,1.57亿,5.80亿,64.25亿,--
21,22,000712,锦龙股份,15.21,1.06,0.16,-0.07,6.36,1.43,3.92,8.64亿,8.95亿,136.15亿,--
22,23,300214,日科化学,5.75,2.86,0.16,0.17,1.44,0.88,5.9,0.33亿,4.04亿,23.20亿,--
23,24,688685,迈信林,33.25,0.45,0.15,-0.33,0.76,0.51,3.02,0.37亿,1.45亿,48.35亿,99.88
24,25,300173,福能东方,5.78,2.3,0.13,0.17,5.32,0.78,5.84,2.28亿,7.35亿,42.47亿,470.51
25,26,300472,新元科技,7.02,1.89,0.13,0.0,4.14,0.68,5.51,0.73亿,2.51亿,17.59亿,--
26,27,600186,莲花控股,4.9,2.51,0.12,-0.2,2.96,1.0,5.44,2.60亿,17.87亿,87.55亿,39.94
27,28,300168,万达信息,8.06,1.38,0.11,0.0,1.95,1.05,4.91,2.29亿,14.39亿,116.00亿,--
28,29,603110,东方材料,14.52,0.76,0.11,0.0,2.29,0.65,2.71,0.67亿,2.01亿,29.22亿,172.59
29,30,002229,鸿博股份,12.77,0.79,0.1,0.0,6.26,0.6,3.16,3.97亿,4.93亿,62.98亿,--
30,101,300895,铜牛信息,33.8,-2.57,-0.89,0.0,3.22,0.85,4.73,1.53亿,1.38亿,46.70亿,--
31,102,300609,汇纳科技,28.01,-5.08,-1.5,0.0,8.04,0.81,5.01,2.76亿,1.20亿,33.58亿,--
32,103,000977,浪潮信息,53.43,-2.94,-1.62,-0.02,8.37,0.78,5.14,66.65亿,14.70亿,785.62亿,45.58
33,104,603629,利通电子,20.98,-7.25,-1.64,0.0,13.73,0.95,5.79,7.57亿,2.55亿,53.46亿,77.61
34,105,839493,并行科技,63.35,-2.7,-1.76,0.0,4.88,0.59,4.22,1.02亿,0.32亿,20.55亿,917.38
35,106,837092,汉鑫科技,35.85,-5.56,-2.11,0.0,5.21,1.08,5.85,0.61亿,0.32亿,11.45亿,380.93
36,107,300442,润泽科技,54.5,-4.1,-2.33,0.02,10.07,0.73,5.3,34.13亿,6.14亿,334.75亿,46.48
37,108,301085,亚康股份,73.63,-4.35,-3.35,-0.1,12.79,0.74,5.38,5.68亿,0.59亿,43.38亿,83.92
38,109,300921,南凌科技,29.5,-10.61,-3.5,-0.1,27.06,0.76,6.97,6.52亿,0.79亿,23.43亿,506.59
