,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,600851,海欣股份,7.49,9.98,0.68,0.0,11.06,7.72,9.54,5.84亿,7.38亿,55.29亿,48.90
1,2,600521,华海药业,19.87,2.63,0.51,0.05,2.71,2.0,3.15,7.86亿,14.67亿,291.44亿,21.20
2,3,002605,姚记科技,34.18,1.51,0.51,-0.03,8.54,1.12,7.93,9.77亿,3.33亿,113.69亿,25.02
3,4,002873,新天药业,11.05,1.75,0.19,0.0,6.63,2.17,6.17,1.70亿,2.30亿,25.41亿,31.98
4,5,600568,ST中珠,1.5,-4.46,-0.07,0.0,1.18,1.01,5.1,0.30亿,16.69亿,25.04亿,--
5,6,603222,济民健康,7.99,-0.99,-0.08,0.13,2.74,0.91,3.22,1.16亿,5.25亿,41.95亿,110.74
6,7,300558,贝达药业,54.68,-0.16,-0.09,-0.26,1.95,0.96,4.38,4.45亿,4.17亿,228.12亿,41.23
7,8,000566,海南海药,5.79,-2.03,-0.12,0.0,4.73,0.97,4.91,3.25亿,11.66亿,67.51亿,--
8,9,002750,*ST龙津,2.69,-4.27,-0.12,0.0,3.5,1.07,4.63,0.38亿,3.99亿,10.73亿,--
9,10,002004,华邦健康,4.78,-2.65,-0.13,0.0,1.7,1.4,3.06,1.54亿,18.82亿,89.97亿,15.70
10,11,002592,ST八菱,5.21,-3.16,-0.17,-0.19,1.84,0.91,3.16,0.25亿,2.63亿,13.69亿,21.65
11,12,000597,东北制药,5.59,-3.12,-0.18,0.0,1.81,0.68,2.95,1.44亿,14.07亿,78.64亿,28.81
12,13,300272,开能健康,7.03,-2.5,-0.18,0.14,3.52,1.26,3.33,1.08亿,4.31亿,30.31亿,36.16
13,14,600721,百花医药,7.44,-2.49,-0.19,-0.27,4.1,0.45,2.62,1.18亿,3.84亿,28.57亿,89.46
14,15,603028,赛福天,7.41,-2.5,-0.19,0.14,2.91,0.84,3.95,0.63亿,2.87亿,21.27亿,--
15,16,688238,和元生物,5.92,-3.11,-0.19,0.0,2.51,0.52,3.93,0.70亿,4.67亿,27.63亿,--
16,17,300404,博济医药,9.83,-2.09,-0.21,0.1,5.76,0.44,2.19,1.57亿,2.76亿,27.11亿,65.13
17,18,300149,睿智医药,7.67,-2.79,-0.22,0.0,6.56,0.6,2.41,2.52亿,4.97亿,38.13亿,--
18,19,300030,阳普医疗,7.03,-3.04,-0.22,-0.14,3.37,0.74,2.9,0.65亿,2.72亿,19.14亿,--
19,20,300009,安科生物,9.07,-2.47,-0.23,-0.11,1.77,0.97,2.47,1.98亿,12.22亿,110.81亿,19.34
20,21,300511,雪榕生物,4.49,-5.47,-0.26,-0.22,11.21,1.54,4.63,2.14亿,4.18亿,18.77亿,--
21,22,002675,东诚药业,13.08,-1.95,-0.26,-0.15,1.27,1.16,1.8,1.24亿,7.43亿,97.23亿,48.48
22,23,837344,三元基因,21.33,-1.2,-0.26,0.0,0.51,0.52,3.38,0.12亿,1.14亿,24.22亿,164.38
23,24,300204,舒泰神,8.32,-3.37,-0.29,-0.12,2.01,0.87,3.02,0.80亿,4.72亿,39.24亿,--
24,25,300358,楚天科技,8.01,-3.49,-0.29,-0.13,3.8,1.12,3.13,1.75亿,5.67亿,45.45亿,--
25,26,300181,佐力药业,16.65,-2.0,-0.34,-0.18,3.7,1.73,2.94,3.75亿,6.01亿,100.08亿,20.78
26,27,600682,南京新百,7.64,-4.26,-0.34,0.0,3.67,1.3,4.39,3.31亿,11.65亿,89.01亿,34.81
27,28,000504,南华生物,10.19,-3.41,-0.36,0.0,1.44,0.79,2.94,0.46亿,3.11亿,31.66亿,--
28,29,300006,莱美药业,5.84,-6.86,-0.43,-0.17,5.49,1.05,7.18,3.45亿,10.56亿,61.66亿,--
29,30,600196,复星医药,26.3,-1.83,-0.49,0.08,0.69,1.13,1.79,3.88亿,21.18亿,557.16亿,26.21
30,31,300238,冠昊生物,13.87,-3.48,-0.5,-0.07,2.87,0.64,3.2,1.07亿,2.65亿,36.77亿,99.09
31,32,600645,中源协和,19.99,-2.44,-0.5,-0.2,1.87,1.33,2.93,1.75亿,4.68亿,93.51亿,52.55
32,33,300813,泰林生物,19.76,-2.47,-0.5,0.05,3.77,0.71,2.91,0.52亿,0.69亿,13.66亿,157.97
33,34,300199,翰宇药业,12.82,-4.4,-0.59,0.0,4.85,0.74,3.58,4.46亿,7.06亿,90.55亿,--
34,35,603716,塞力医疗,10.03,-5.64,-0.6,0.0,16.7,0.92,4.8,3.26亿,1.91亿,19.16亿,--
35,36,300147,香雪制药,13.26,-4.4,-0.61,0.08,11.25,1.28,5.19,9.85亿,6.57亿,87.18亿,--
36,37,301130,西点药业,28.81,-2.17,-0.64,0.0,2.92,1.03,3.63,0.49亿,0.58亿,16.70亿,51.25
37,38,300171,东富龙,14.44,-4.24,-0.64,-0.14,3.0,0.8,3.71,2.47亿,5.63亿,81.24亿,54.29
38,39,301201,诚达药业,22.69,-2.79,-0.65,0.13,2.72,0.54,2.83,0.54亿,0.87亿,19.78亿,65.18
39,40,300363,博腾股份,17.76,-3.84,-0.71,-0.06,3.94,0.75,4.06,3.54亿,5.01亿,88.89亿,--
40,41,300109,新开源,16.7,-4.24,-0.74,0.0,5.48,0.55,4.42,4.16亿,4.48亿,74.87亿,19.50
41,42,603127,昭衍新药,17.66,-4.23,-0.78,-0.45,3.09,1.13,3.74,3.47亿,6.30亿,111.34亿,--
42,43,301103,何氏眼科,23.65,-3.31,-0.81,0.09,1.79,0.79,2.74,0.36亿,0.83亿,19.65亿,171.17
43,44,301257,普蕊斯,31.03,-2.7,-0.86,0.16,4.2,0.57,2.19,0.62亿,0.48亿,14.74亿,25.61
44,45,688137,近岸蛋白,36.43,-2.49,-0.93,0.22,1.52,1.2,3.35,0.18亿,0.33亿,11.90亿,--
45,46,301166,优宁维,31.36,-3.0,-0.97,-0.13,3.44,1.05,2.91,0.45亿,0.41亿,12.94亿,144.78
46,47,301080,百普赛斯,46.16,-2.45,-1.16,-0.11,2.38,0.94,2.33,1.00亿,0.91亿,41.81亿,49.76
47,48,688331,荣昌生物,34.71,-3.29,-1.18,-0.69,1.93,1.02,3.09,1.10亿,1.62亿,56.21亿,--
48,49,603882,金域医学,32.65,-3.72,-1.26,-0.09,1.59,1.01,3.8,2.42亿,4.60亿,150.23亿,120.89
49,50,600276,恒瑞医药,46.59,-3.02,-1.45,0.0,1.02,1.34,2.81,30.61亿,63.79亿,2971.98亿,48.25
50,51,301047,义翘神州,67.32,-2.53,-1.75,-0.09,1.09,0.98,2.43,0.88亿,1.20亿,80.50亿,61.84
51,52,688710,益诺思,40.4,-4.63,-1.96,0.03,7.11,0.77,4.7,0.77亿,0.27亿,10.71亿,32.17
