,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,11,600420,国药现代,12.35,2.66,0.32,0.0,1.24,1.9,3.91,2.03亿,13.41亿,165.63亿,13.01
1,12,688089,嘉必优,19.73,1.6,0.31,0.1,1.1,0.84,3.71,0.37亿,1.68亿,33.21亿,29.69
2,13,300254,仟源医药,9.0,3.45,0.3,0.11,3.21,1.1,6.09,0.65亿,2.25亿,20.25亿,37.96
3,14,002907,华森制药,13.53,2.27,0.3,0.07,0.98,0.94,4.16,0.41亿,3.09亿,41.79亿,56.82
4,15,000953,河化股份,5.68,5.58,0.3,0.0,8.17,2.26,11.34,1.71亿,3.66亿,20.80亿,19.67
5,16,301507,民生健康,13.32,2.23,0.29,-0.08,4.9,1.15,3.07,0.72亿,1.11亿,14.72亿,41.33
6,17,301130,西点药业,26.86,0.98,0.26,0.22,0.98,0.59,2.78,0.15亿,0.58亿,15.57亿,47.78
7,18,002737,葵花药业,20.9,1.21,0.25,0.1,1.43,1.37,2.71,1.73亿,5.84亿,122.06亿,15.6
8,19,301281,科源制药,31.03,0.71,0.22,0.0,1.69,0.65,1.92,0.36亿,0.69亿,21.36亿,63.51
9,20,002019,亿帆医药,11.04,2.03,0.22,0.09,0.98,1.09,3.97,0.91亿,8.41亿,92.90亿,27.49
10,31,002556,辉隆股份,5.8,2.65,0.15,0.0,1.82,1.38,4.78,0.98亿,9.32亿,54.05亿,22.45
11,32,002365,永安药业,8.17,1.87,0.15,0.0,1.0,0.7,2.99,0.20亿,2.44亿,19.94亿,29.19
12,33,300765,新诺威,27.55,0.51,0.14,0.11,0.4,0.75,3.21,1.38亿,12.47亿,343.57亿,208.30
13,34,300381,溢多利,7.31,1.95,0.14,-0.41,1.13,0.66,4.04,0.40亿,4.89亿,35.77亿,62.91
14,35,000972,中基健康,2.98,4.93,0.14,0.0,2.54,1.11,7.04,0.58亿,7.71亿,22.98亿,--
15,36,002940,昂利康,13.58,1.04,0.14,0.0,0.63,0.57,2.46,0.16亿,1.85亿,25.16亿,41.15
16,37,002317,众生药业,12.13,1.17,0.14,0.08,1.73,0.82,2.75,1.59亿,7.62亿,92.38亿,52.06
17,38,600200,江苏吴中,9.5,1.39,0.13,0.11,1.7,0.88,3.31,1.15亿,7.11亿,67.53亿,112.56
18,39,600664,哈药股份,3.96,3.39,0.13,0.0,1.48,1.53,4.96,1.45亿,25.19亿,99.73亿,14.72
19,40,000153,丰原药业,6.31,2.1,0.13,0.16,1.49,0.8,3.07,0.42亿,4.53亿,28.58亿,14.93
20,21,000756,新华制药,16.59,1.28,0.21,0.06,2.58,0.78,2.87,1.91亿,4.49亿,74.45亿,24.68
21,22,002626,金达威,15.67,1.29,0.2,-0.06,0.69,1.02,2.07,0.65亿,6.10亿,95.56亿,32.47
22,23,600195,中牧股份,7.02,2.63,0.18,0.0,1.17,1.16,4.24,0.83亿,10.21亿,71.68亿,65.72
23,24,002562,兄弟科技,4.43,3.99,0.17,0.0,3.52,1.23,5.4,1.09亿,7.02亿,31.08亿,108.61
24,25,301126,达嘉维康,10.82,1.6,0.17,0.0,2.27,0.88,3.66,0.34亿,1.38亿,14.92亿,45.73
25,26,300434,金石亚药,8.62,2.01,0.17,0.23,1.33,0.91,3.31,0.39亿,3.42亿,29.49亿,44.68
26,27,603676,卫信康,10.32,1.57,0.16,0.1,0.53,0.87,3.15,0.24亿,4.35亿,44.91亿,13.85
27,28,300233,金城医药,12.54,1.29,0.16,-0.08,1.55,0.58,2.67,0.72亿,3.70亿,46.38亿,23.90
28,29,600216,浙江医药,16.27,0.99,0.16,0.06,1.18,1.05,2.11,1.85亿,9.62亿,156.46亿,13.81
29,30,603968,醋化股份,9.6,1.59,0.15,0.21,0.85,0.83,3.39,0.17亿,2.04亿,19.63亿,--
30,1,603896,寿仙谷,22.16,3.12,0.67,0.0,2.71,2.04,7.35,1.19亿,1.98亿,43.93亿,27.76
31,2,002393,力生制药,17.92,2.58,0.45,0.0,1.55,1.19,4.01,0.71亿,2.55亿,45.77亿,20.48
32,3,603102,百合股份,35.98,1.24,0.44,0.0,1.21,0.58,2.36,0.16亿,0.36亿,12.88亿,14.8
33,4,600299,安迪苏,11.95,3.64,0.42,-0.17,0.45,1.75,3.21,1.43亿,26.82亿,320.49亿,23.96
34,5,600298,安琪酵母,36.37,1.11,0.4,-0.03,0.51,0.8,2.0,1.57亿,8.54亿,310.78亿,24.86
35,6,600129,太极集团,25.93,1.45,0.37,-0.08,1.84,1.17,4.15,2.67亿,5.57亿,144.40亿,19.87
36,7,301258,富士莱,24.58,1.45,0.35,0.04,2.63,0.76,2.68,0.22亿,0.34亿,8.32亿,122.07
37,8,000915,华特达因,27.19,1.3,0.35,-0.04,3.48,1.37,2.38,2.20亿,2.34亿,63.68亿,13.08
38,9,301156,美农生物,13.32,2.46,0.32,0.08,2.17,0.81,5.0,0.20亿,0.69亿,9.16亿,45.88
39,10,300401,花园生物,15.2,2.15,0.32,0.0,3.33,1.49,4.1,2.72亿,5.35亿,81.27亿,25.66
40,41,000952,广济药业,5.72,2.33,0.13,0.0,1.38,0.8,4.47,0.27亿,3.44亿,19.68亿,--
41,42,603811,诚意药业,7.94,1.53,0.12,0.0,1.32,0.94,2.94,0.34亿,3.27亿,25.99亿,16.65
42,43,300791,仙乐健康,27.21,0.37,0.1,0.0,0.68,0.62,2.51,0.36亿,1.94亿,52.89亿,20.07
43,44,002437,誉衡药业,2.54,4.1,0.1,0.0,3.71,1.36,6.56,2.06亿,21.91亿,55.64亿,23.67
44,45,600851,海欣股份,6.06,1.68,0.1,-0.17,1.76,0.75,3.52,0.79亿,7.38亿,44.74亿,39.56
45,46,600351,亚宝药业,6.29,1.45,0.09,-0.16,1.76,1.06,2.9,0.79亿,7.20亿,45.29亿,14.46
46,47,002001,新和成,22.11,0.41,0.09,0.0,0.45,0.76,1.0,3.00亿,30.37亿,671.48亿,12.78
47,48,600572,康恩贝,4.76,1.71,0.08,0.21,1.17,1.24,2.56,1.42亿,25.63亿,122.01亿,17.70
48,49,603079,圣达生物,14.21,0.57,0.08,0.0,2.52,0.76,2.76,0.62亿,1.71亿,24.33亿,84.16
49,50,300158,振东制药,4.5,1.58,0.07,0.0,1.39,0.86,3.39,0.63亿,10.02亿,45.08亿,84.56
50,61,833230,欧康医药,14.58,-0.75,-0.11,0.0,2.53,0.62,2.18,0.13亿,0.34亿,4.95亿,43.27
51,62,000597,东北制药,5.46,-2.15,-0.12,-0.18,3.08,1.14,3.58,2.39亿,14.07亿,76.81亿,28.14
52,63,300583,赛托生物,20.98,-0.94,-0.2,-0.14,1.36,0.65,4.34,0.54亿,1.86亿,39.05亿,202.85
53,64,301211,亨迪药业,20.55,-1.06,-0.22,0.0,6.25,0.52,2.98,0.93亿,0.72亿,14.80亿,59.45
54,65,688639,华恒生物,32.61,-1.03,-0.34,-0.09,1.07,0.72,2.64,0.80亿,2.28亿,74.46亿,35.95
55,66,873167,新赣江,14.9,-3.31,-0.51,0.0,5.35,0.67,4.48,0.34亿,0.42亿,6.23亿,39.06
56,51,600812,华北制药,5.34,1.14,0.06,0.0,0.59,0.94,2.65,0.54亿,17.16亿,91.62亿,67.06
57,52,300267,尔康制药,2.91,1.75,0.05,-0.34,2.11,0.79,4.2,0.87亿,14.22亿,41.39亿,--
58,53,603067,振华股份,13.01,0.39,0.05,0.15,0.87,0.7,1.54,0.58亿,5.09亿,66.22亿,13.65
59,54,000639,西王食品,3.73,1.08,0.04,-0.27,3.29,0.8,4.07,1.33亿,10.79亿,40.26亿,48.25
60,55,002102,能特科技,2.75,1.1,0.03,0.0,1.25,0.51,2.94,0.81亿,23.31亿,64.11亿,45.18
61,56,600518,康美药业,2.43,1.25,0.03,-0.41,1.92,0.75,3.33,6.37亿,136.13亿,330.79亿,5037.73
62,57,300146,汤臣倍健,12.42,0.24,0.03,0.0,1.08,0.92,1.61,1.51亿,11.30亿,140.34亿,18.24
63,58,603235,天新药业,26.16,-0.04,-0.01,0.0,0.43,0.64,0.69,0.16亿,1.47亿,38.47亿,17.37
64,59,600873,梅花生物,10.33,-0.19,-0.02,-0.19,1.1,1.1,1.93,3.25亿,28.53亿,294.69亿,11.08
65,60,688399,硕世生物,66.9,-0.1,-0.07,-0.09,0.65,0.76,2.08,0.25亿,0.57亿,37.91亿,104.87
