,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,002993,奥海科技,43.7,7.32,2.98,0.0,4.91,1.54,11.44,5.01亿,2.38亿,103.97亿,30.1
1,2,605499,东鹏饮料,243.86,0.92,2.23,-0.3,0.2,1.0,2.14,2.56亿,5.20亿,1268.10亿,35.13
2,3,603215,比依股份,17.36,10.01,1.58,0.0,18.39,0.78,12.23,2.21亿,0.71亿,12.33亿,24.14
3,4,600593,大连圣亚,39.41,4.07,1.54,0.08,11.63,1.14,8.74,5.89亿,1.29亿,50.76亿,36.2
4,5,002959,小熊电器,49.91,3.14,1.52,0.02,3.83,1.44,6.63,2.90亿,1.54亿,77.05亿,32.63
5,6,300595,欧普康视,20.12,6.46,1.22,0.0,5.38,1.41,7.72,7.25亿,6.68亿,134.50亿,25.89
6,7,002891,中宠股份,33.89,3.39,1.11,0.0,2.04,1.5,5.12,2.02亿,2.94亿,99.68亿,26.51
7,8,001328,登康口腔,32.08,2.66,0.83,0.0,3.58,0.78,4.0,0.49亿,0.43亿,13.81亿,35.12
8,9,300888,稳健医疗,42.68,1.74,0.73,0.0,3.36,1.16,5.1,2.54亿,1.76亿,74.91亿,33.71
9,10,002820,桂发祥,13.71,4.82,0.63,-0.07,18.84,1.67,11.7,5.11亿,2.00亿,27.44亿,57.83
10,31,603136,天目湖,11.74,2.35,0.27,0.0,1.7,0.84,3.31,0.53亿,2.70亿,31.71亿,27.84
11,32,300413,芒果超媒,27.99,0.94,0.26,0.04,0.98,0.8,2.78,2.79亿,10.22亿,285.97亿,27.19
12,33,301227,森鹰窗业,16.71,1.52,0.25,0.06,2.85,0.62,3.04,0.16亿,0.34亿,5.67亿,--
13,34,301327,华宝新能,80.46,0.31,0.25,0.0,1.21,0.89,1.55,0.34亿,0.35亿,27.87亿,47.24
14,35,600697,欧亚集团,12.64,2.02,0.25,0.08,4.35,0.78,5.41,0.85亿,1.55亿,19.64亿,85.31
15,36,603196,日播时尚,14.02,1.74,0.24,-0.14,4.6,2.64,8.05,1.58亿,2.37亿,33.23亿,--
16,37,002354,天娱数科,6.11,3.91,0.23,0.0,19.28,0.86,7.99,19.14亿,16.18亿,98.88亿,--
17,38,300677,英科医疗,25.9,0.9,0.23,-0.08,1.58,0.85,2.22,1.92亿,4.69亿,121.48亿,18.26
18,39,600857,宁波中百,8.17,2.9,0.23,0.0,12.49,2.59,12.34,2.28亿,2.24亿,18.33亿,--
19,40,605299,舒华体育,8.12,2.92,0.23,0.12,1.0,0.95,4.69,0.33亿,4.11亿,33.37亿,49.33
20,41,605567,春雪食品,9.29,2.2,0.2,0.65,4.35,0.91,4.73,0.80亿,2.00亿,18.58亿,584.39
21,42,003016,欣贺股份,8.98,2.05,0.18,-0.11,1.54,0.83,4.66,0.59亿,4.27亿,38.32亿,--
22,43,600628,新世界,8.56,2.15,0.18,0.0,5.41,0.99,5.49,2.99亿,6.47亿,55.37亿,63.47
23,44,603216,梦天家居,11.19,1.64,0.18,0.0,6.24,0.69,3.45,0.39亿,0.57亿,6.34亿,45.67
24,45,000061,农产品,7.28,2.39,0.17,-0.14,0.42,0.99,3.66,0.51亿,16.97亿,123.54亿,29.57
25,46,000417,合百集团,6.25,2.8,0.17,0.0,3.81,1.41,6.42,1.85亿,7.79亿,48.69亿,17.52
26,47,002646,天佑德酒,10.75,1.61,0.17,0.0,1.51,0.77,3.31,0.77亿,4.76亿,51.21亿,67.65
27,48,000668,荣丰控股,6.95,2.36,0.16,-0.14,2.92,0.68,3.98,0.30亿,1.47亿,10.21亿,--
28,49,300094,国联水产,4.06,4.1,0.16,0.0,6.56,1.18,7.18,2.92亿,11.05亿,44.86亿,--
29,50,600576,祥源文旅,7.08,2.31,0.16,0.0,1.48,0.7,4.19,0.69亿,6.60亿,46.76亿,50.82
30,71,002394,联发股份,7.64,1.6,0.12,-0.13,1.29,0.75,2.13,0.32亿,3.23亿,24.70亿,14.21
31,72,603326,我乐家居,6.3,1.94,0.12,0.0,1.69,0.56,3.24,0.34亿,3.19亿,20.10亿,18.94
32,73,001219,青岛食品,14.16,0.78,0.11,0.21,3.42,1.06,2.13,0.92亿,1.90亿,26.88亿,23.91
33,74,002726,龙大美食,7.92,1.41,0.11,0.0,1.69,0.94,1.79,1.44亿,10.77亿,85.31亿,87.76
34,75,300005,探路者,7.33,1.52,0.11,-0.41,1.52,0.67,4.02,0.98亿,8.83亿,64.75亿,47.75
35,76,600479,千金药业,10.96,1.01,0.11,0.0,2.06,1.14,1.75,0.94亿,4.19亿,45.87亿,20.74
36,77,603101,汇嘉时代,9.56,1.16,0.11,0.0,1.53,0.81,4.76,0.69亿,4.70亿,44.97亿,67.13
