,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,688606,奥泰生物,68.97,2.4,1.62,-0.43,2.33,3.4,7.65,1.26亿,0.79亿,54.68亿,20.76
1,2,002864,盘龙药业,32.14,1.84,0.58,-0.03,34.7,7.27,6.78,8.48亿,0.74亿,23.78亿,28.60
2,3,002082,万邦德,7.08,6.31,0.42,-0.28,4.9,3.07,9.61,2.10亿,6.17亿,43.66亿,71.64
3,4,300584,海辰药业,22.81,0.89,0.2,0.09,6.84,1.83,4.07,1.28亿,0.82亿,18.73亿,73.01
4,5,002873,新天药业,11.05,1.75,0.19,0.0,6.63,2.17,6.17,1.70亿,2.30亿,25.41亿,31.98
5,6,002728,特一药业,9.63,0.94,0.09,0.0,11.44,1.96,5.87,4.16亿,3.75亿,36.08亿,613.86
6,7,600624,复旦复华,8.36,1.09,0.09,0.0,31.27,2.82,16.2,18.04亿,6.85亿,57.24亿,--
7,8,002898,赛隆药业,11.97,0.67,0.08,0.0,6.72,1.18,3.62,0.82亿,1.01亿,12.12亿,--
8,9,300519,新光药业,15.5,0.13,0.02,-0.06,6.4,1.51,3.42,1.13亿,1.14亿,17.69亿,49.23
9,10,688136,科兴制药,17.9,0.11,0.02,-0.17,1.05,1.67,2.35,0.38亿,2.00亿,35.74亿,156.02
10,11,688767,博拓生物,33.79,0.03,0.01,0.03,0.85,1.34,3.11,0.31亿,1.07亿,36.04亿,30.30
11,12,000952,广济药业,6.76,0.0,0.0,-0.15,3.57,1.44,5.47,0.84亿,3.44亿,23.25亿,--
12,13,002020,京新药业,13.65,-0.51,-0.07,0.0,2.13,0.72,2.04,2.10亿,7.24亿,98.82亿,15.33
13,14,002437,誉衡药业,2.86,-2.39,-0.07,0.0,6.82,0.68,4.78,4.33亿,21.91亿,62.65亿,26.65
14,15,603229,奥翔药业,8.75,-1.13,-0.1,0.0,1.69,1.56,2.26,1.24亿,8.30亿,72.65亿,23.80
15,16,002424,ST百灵,3.99,-2.68,-0.11,-0.25,2.68,1.14,2.44,1.31亿,12.13亿,48.41亿,47.41
16,17,002412,汉森制药,6.62,-1.78,-0.12,0.0,1.75,0.89,2.37,0.58亿,4.98亿,32.96亿,19.11
17,18,300086,康芝药业,6.08,-1.94,-0.12,0.0,9.49,0.94,5.16,2.58亿,4.41亿,26.80亿,--
18,19,600664,哈药股份,4.03,-2.89,-0.12,0.5,2.68,1.54,3.62,2.74亿,25.19亿,101.50亿,14.98
19,20,000650,仁和药业,6.03,-2.11,-0.13,0.0,3.02,0.99,2.11,2.45亿,13.31亿,80.28亿,15.23
20,21,300039,上海凯宝,6.92,-1.84,-0.13,0.29,4.53,1.3,2.41,2.88亿,9.17亿,63.45亿,25.01
21,22,300110,华仁药业,4.02,-3.13,-0.13,0.0,2.46,0.86,2.65,1.18亿,11.81亿,47.48亿,37.31
22,23,600252,中恒集团,2.81,-4.42,-0.13,0.0,2.6,0.88,5.78,2.56亿,34.25亿,96.25亿,645.45
23,24,603387,基蛋生物,9.01,-1.42,-0.13,0.0,0.88,0.95,1.42,0.40亿,5.07亿,45.69亿,16.94
24,25,300485,赛升药业,8.23,-1.67,-0.14,0.37,1.8,0.98,1.91,0.41亿,2.74亿,22.54亿,--
25,26,603811,诚意药业,8.33,-1.65,-0.14,0.0,1.36,0.87,2.24,0.37亿,3.27亿,27.26亿,17.47
26,27,000518,四环生物,3.42,-4.2,-0.15,-0.29,5.48,0.47,4.2,1.97亿,10.30亿,35.21亿,--
27,28,002923,润都股份,10.74,-1.38,-0.15,0.0,0.94,0.89,2.3,0.26亿,2.58亿,27.72亿,72.55
28,29,002038,双鹭药业,7.55,-2.08,-0.16,0.13,2.33,1.08,2.21,1.51亿,8.52亿,64.29亿,--
29,30,300194,福安药业,4.99,-3.11,-0.16,0.0,3.29,0.91,2.72,1.61亿,9.68亿,48.30亿,14.76
30,31,000766,通化金马,16.04,-1.05,-0.17,-0.5,3.56,0.73,4.75,5.58亿,9.66亿,154.95亿,486.00
31,32,002550,千红制药,6.41,-2.58,-0.17,0.0,1.55,0.86,2.58,0.91亿,9.10亿,58.35亿,19.87
32,33,002566,益盛药业,7.8,-2.13,-0.17,0.0,2.36,1.04,2.63,0.43亿,2.32亿,18.08亿,53.98
33,34,002907,华森制药,14.59,-1.15,-0.17,0.21,1.89,1.06,2.58,0.86亿,3.09亿,45.07亿,61.27
34,35,300158,振东制药,5.06,-3.25,-0.17,0.0,2.56,0.91,3.44,1.31亿,10.02亿,50.69亿,95.09
