,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,600650,锦江在线,16.82,5.65,0.9,0.0,10.79,1.86,6.91,6.99亿,3.91亿,65.69亿,42.50
1,2,603967,中创物流,10.36,0.88,0.09,-0.1,1.33,0.74,2.14,0.48亿,3.47亿,35.91亿,13.44
2,3,002320,海峡股份,6.51,1.24,0.08,-0.15,1.78,0.6,2.64,2.58亿,22.29亿,145.10亿,42.86
3,4,002596,海南瑞泽,3.41,1.49,0.05,0.0,9.92,1.0,7.14,3.50亿,10.23亿,34.87亿,--
4,5,603648,畅联股份,9.92,0.41,0.04,0.1,1.94,0.64,3.54,0.70亿,3.62亿,35.95亿,23.98
5,6,601018,宁波港,3.93,0.77,0.03,-0.25,0.29,1.16,2.05,1.81亿,158.07亿,621.23亿,13.96
6,7,601598,中国外运,5.34,0.38,0.02,0.0,0.59,0.82,1.5,1.66亿,52.56亿,280.67亿,10.34
7,8,601083,锦江航运,9.86,0.2,0.02,0.1,2.3,0.7,1.32,0.44亿,1.94亿,19.14亿,13.31
8,9,000582,北部湾港,7.8,0.26,0.02,-0.13,1.2,1.4,2.06,1.66亿,17.61亿,137.38亿,14.55
9,10,600018,上港集团,5.9,0.17,0.01,-0.17,0.14,1.01,1.36,1.96亿,232.15亿,1369.66亿,8.72
10,11,000905,厦门港务,6.78,-0.29,-0.02,-0.15,1.11,0.51,1.91,0.56亿,7.42亿,50.29亿,19.86
11,12,601228,广州港,3.54,-0.56,-0.02,0.0,0.42,0.97,2.25,1.13亿,75.45亿,267.08亿,24.47
12,13,600717,天津港,5.12,-0.39,-0.02,-0.2,0.85,0.92,1.56,1.27亿,28.94亿,148.17亿,12.45
13,14,600179,安通控股,3.18,-0.94,-0.03,-0.31,1.69,1.11,4.67,2.00亿,37.34亿,118.75亿,62.60
14,15,600676,交运股份,5.03,-0.98,-0.05,0.0,2.9,0.78,3.94,1.51亿,10.28亿,51.73亿,--
15,16,000886,海南高速,6.7,-0.89,-0.06,0.0,3.4,0.46,3.25,2.23亿,9.78亿,65.52亿,124.26
16,17,603329,上海雅仕,13.68,-0.58,-0.08,0.15,2.25,1.26,2.4,0.49亿,1.59亿,21.72亿,50.23
17,18,600428,中远海特,6.84,-1.3,-0.09,0.0,1.38,1.14,3.17,2.04亿,21.47亿,146.83亿,9.16
18,19,600284,浦东建设,6.45,-1.38,-0.09,0.0,2.39,1.81,3.21,1.51亿,9.70亿,62.58亿,10.16
19,20,002401,中远海科,17.19,-0.64,-0.11,0.0,2.42,0.76,3.47,1.55亿,3.70亿,63.64亿,33.75
20,21,601969,海南矿业,7.28,-1.49,-0.11,0.0,0.82,0.42,3.38,1.23亿,20.31亿,147.88亿,20.34
21,22,600648,外高桥,12.32,-0.96,-0.12,0.0,0.72,0.92,2.41,0.83亿,9.35亿,115.17亿,24.00
22,23,603128,华贸物流,6.52,-1.96,-0.13,0.0,2.04,0.57,2.71,1.75亿,13.09亿,85.35亿,13.55
23,24,603535,嘉诚国际,11.42,-1.3,-0.15,0.0,1.24,0.61,2.68,0.46亿,3.23亿,36.86亿,17.81
24,25,600278,东方创业,7.73,-2.03,-0.16,0.13,2.37,0.52,3.8,1.61亿,8.71亿,67.36亿,27.09
25,26,600119,长江投资,9.49,-2.47,-0.24,0.0,4.85,0.64,3.29,1.70亿,3.65亿,34.66亿,--
26,27,600848,上海临港,10.36,-2.26,-0.24,0.0,0.36,1.02,3.02,0.89亿,23.94亿,248.01亿,31.69
27,28,603117,万林物流,7.44,-3.75,-0.29,0.0,4.78,0.92,4.79,2.14亿,5.99亿,44.58亿,161.10
28,29,603713,密尔克卫,53.92,-0.54,-0.29,0.04,0.64,0.64,2.08,0.55亿,1.62亿,87.24亿,13.36
29,30,002889,东方嘉盛,23.37,-1.89,-0.45,0.0,5.04,0.47,3.19,2.09亿,1.75亿,40.93亿,26.34
30,31,603153,上海建科,19.45,-2.31,-0.46,0.05,3.2,0.87,2.86,0.85亿,1.35亿,26.26亿,41.86
31,32,000955,欣龙控股,5.64,-10.05,-0.63,0.0,13.59,1.12,4.15,4.15亿,5.38亿,30.35亿,--
32,33,601888,中国中免,69.29,-1.8,-1.27,-0.03,0.72,0.74,1.97,9.82亿,19.52亿,1352.87亿,27.43
