,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,301361,众智科技,29.03,4.2,1.17,0.03,31.47,1.75,8.47,2.66亿,0.29亿,8.44亿,49.13
1,2,002364,中恒电气,11.48,9.96,1.04,0.0,32.56,2.23,14.27,19.92亿,5.58亿,64.07亿,56.44
2,3,301179,泽宇智能,20.38,3.93,0.77,0.0,18.33,2.22,5.76,3.13亿,0.86亿,17.52亿,38.97
3,4,002857,三晖电气,13.06,5.58,0.69,-0.46,3.05,0.98,7.03,0.50亿,1.28亿,16.72亿,--
4,5,002792,通宇通讯,16.09,4.48,0.69,0.12,11.5,2.31,5.46,5.69亿,3.14亿,50.49亿,122.44
5,6,688100,威胜信息,39.0,1.56,0.6,0.0,0.67,1.5,3.85,1.28亿,4.92亿,191.76亿,34.04
6,7,603050,科林电气,21.38,2.3,0.48,-0.19,0.97,1.28,4.07,0.56亿,2.73亿,58.26亿,29.34
7,8,002227,奥特迅,13.25,3.76,0.48,-0.15,13.8,2.03,7.83,4.47亿,2.48亿,32.81亿,--
8,9,688597,煜邦电力,9.8,4.92,0.46,0.2,2.49,2.04,4.82,0.59亿,2.47亿,24.21亿,31.31
9,10,301091,深城交,50.56,0.86,0.43,0.0,5.02,1.34,5.17,7.35亿,2.84亿,143.55亿,259.83
10,21,300513,恒实科技,9.55,2.36,0.22,0.32,2.74,0.73,6.22,0.74亿,2.81亿,26.88亿,--
11,22,002546,新联电子,4.51,4.88,0.21,0.0,2.85,1.43,7.67,1.03亿,8.01亿,36.14亿,27.50
12,23,300444,双杰电气,7.39,2.78,0.2,0.0,5.13,1.27,4.31,2.25亿,5.92亿,43.77亿,38.08
13,24,600268,国电南自,7.09,2.75,0.19,0.0,1.98,1.79,3.62,1.40亿,10.06亿,71.33亿,51.53
14,25,300514,友讯达,15.3,1.26,0.19,0.0,3.7,0.96,2.45,0.90亿,1.58亿,24.24亿,14.41
15,26,605162,新中港,7.06,2.62,0.18,-0.14,0.95,1.06,2.76,0.27亿,4.01亿,28.28亿,23.67
16,27,002606,大连电瓷,9.6,1.91,0.18,0.0,1.99,1.15,3.4,0.80亿,4.21亿,40.43亿,20.32
17,28,300001,特锐德,22.8,0.75,0.17,0.0,1.74,1.24,2.87,4.07亿,10.28亿,234.37亿,40.43
18,29,002298,中电兴发,5.48,3.2,0.17,-0.18,9.32,1.55,9.79,3.42亿,6.54亿,35.82亿,--
19,30,002295,精艺股份,6.97,2.2,0.15,-0.14,1.27,0.58,5.28,0.22亿,2.50亿,17.45亿,44.23
20,11,300982,苏文电能,18.99,1.93,0.36,-0.11,2.03,1.05,3.76,0.74亿,1.94亿,36.82亿,54.61
21,12,002253,川大智胜,14.5,2.47,0.35,0.07,5.77,0.89,3.67,1.75亿,2.08亿,30.13亿,--
22,13,600379,宝光股份,9.97,3.21,0.31,0.2,2.32,1.67,4.66,0.76亿,3.30亿,32.92亿,35.76
23,14,002015,协鑫能科,8.24,3.91,0.31,0.12,2.44,1.69,5.55,3.25亿,16.23亿,133.76亿,16.56
24,15,603421,鼎信通讯,8.8,3.65,0.31,0.11,16.41,2.47,19.32,8.73亿,6.52亿,57.39亿,--
25,16,002350,北京科锐,7.68,4.07,0.3,0.13,15.68,1.9,9.62,6.41亿,5.29亿,40.63亿,1635.34
26,17,300040,九洲集团,8.22,3.27,0.26,0.24,30.96,1.4,12.31,11.89亿,4.66亿,38.29亿,49.94
27,18,000400,许继电气,28.3,0.85,0.24,0.0,1.48,0.93,2.53,4.23亿,10.08亿,285.36亿,24.17
28,19,002169,智光电气,6.56,3.8,0.24,0.0,3.14,1.29,6.65,1.58亿,7.59亿,49.77亿,--
29,20,002090,金智科技,9.25,2.55,0.23,0.0,4.06,1.23,4.66,1.49亿,3.96亿,36.63亿,76.02
30,71,603105,芯能科技,9.68,-0.41,-0.04,0.1,6.35,1.14,5.45,3.11亿,5.00亿,48.40亿,19.52
31,72,600131,国网信通,19.71,-0.2,-0.04,0.15,0.85,0.82,2.68,2.00亿,11.96亿,235.71亿,59.63
32,73,600089,特变电工,12.8,-0.31,-0.04,0.0,0.8,1.0,0.86,5.15亿,50.53亿,646.76亿,11.29
33,74,002121,科陆电子,4.69,-1.26,-0.06,-0.21,2.3,0.58,3.58,1.54亿,14.00亿,65.66亿,--
34,75,300682,朗新集团,12.74,-0.47,-0.06,-0.08,0.84,0.64,2.34,1.14亿,10.51亿,133.94亿,64.77
35,76,300338,*ST开元,4.93,-1.99,-0.1,0.0,3.41,0.7,4.17,0.59亿,3.45亿,16.99亿,--
36,77,301046,能辉科技,21.03,-0.57,-0.12,-0.14,0.99,0.63,1.89,0.24亿,1.13亿,23.79亿,46.00
37,78,002380,科远智慧,19.14,-0.62,-0.12,0.0,2.48,0.79,2.23,0.68亿,1.42亿,27.22亿,21.72
38,79,300617,安靠智电,30.36,-0.46,-0.14,-0.07,3.7,1.12,4.0,1.59亿,1.41亿,42.68亿,28.02
39,80,300360,炬华科技,17.01,-0.87,-0.15,0.0,2.47,1.23,2.04,2.12亿,5.00亿,85.09亿,12.11
40,61,000682,东方电子,10.55,0.38,0.04,0.0,0.71,1.03,1.9,1.01亿,13.41亿,141.43亿,25.19
41,62,600116,三峡水利,7.11,0.57,0.04,-0.14,0.39,0.91,0.99,0.53亿,19.12亿,135.95亿,26.61
42,63,300365,恒华科技,6.39,0.47,0.03,0.0,2.89,0.69,3.15,0.90亿,4.84亿,30.91亿,309.53
43,64,600353,旭光电子,7.75,0.26,0.02,0.13,1.77,0.79,3.36,1.15亿,8.29亿,64.23亿,59.76
44,65,600797,浙大网新,7.01,0.14,0.01,0.0,3.88,0.65,3.43,2.83亿,10.28亿,72.03亿,--
45,66,600525,长园集团,5.09,0.2,0.01,0.2,0.98,1.18,2.76,0.66亿,13.15亿,66.91亿,--
46,67,600406,国电南瑞,25.07,0.04,0.01,0.0,0.18,0.77,1.48,3.65亿,79.84亿,2001.71亿,33.77
47,68,002769,普路通,7.25,0.0,0.0,-0.28,2.89,0.46,3.17,0.70亿,3.32亿,24.10亿,--
48,69,601222,林洋能源,7.15,-0.14,-0.01,0.0,0.54,0.78,0.98,0.79亿,20.60亿,147.30亿,12.14
49,70,603679,华体科技,13.97,-0.07,-0.01,0.0,2.65,0.49,2.86,0.61亿,1.63亿,22.80亿,--
50,81,300286,安科瑞,20.83,-0.81,-0.17,0.05,2.95,1.06,1.95,1.08亿,1.76亿,36.57亿,21.17
51,82,300438,鹏辉能源,29.45,-0.78,-0.23,-0.1,2.27,0.97,1.95,2.72亿,4.04亿,119.03亿,183.75
52,83,300353,东土科技,12.03,-2.04,-0.25,-0.08,2.28,0.77,3.26,1.46亿,5.22亿,62.82亿,--
53,84,002927,泰永长征,14.6,-2.08,-0.31,0.07,6.63,0.97,2.88,2.14亿,2.21亿,32.21亿,45.51
54,85,301162,国能日新,47.1,-0.68,-0.32,0.0,4.6,0.81,2.72,1.32亿,0.61亿,28.93亿,66.48
55,86,300068,南都电源,17.53,-1.85,-0.33,0.0,4.9,0.91,3.19,7.22亿,8.30亿,145.48亿,46.47
56,87,688248,南网科技,33.4,-1.39,-0.47,0.0,1.15,0.63,3.25,0.88亿,2.28亿,76.29亿,50.58
57,88,301390,经纬股份,35.61,-1.47,-0.53,-0.06,10.63,0.59,3.98,1.11亿,0.29亿,10.35亿,60.38
58,89,002929,润建股份,34.3,-1.66,-0.58,0.15,8.56,0.65,2.47,6.28亿,2.13亿,73.16亿,25.03
59,90,688599,天合光能,20.38,-3.32,-0.7,0.0,1.09,1.62,3.42,4.91亿,21.79亿,444.15亿,--
60,41,300510,金冠股份,4.45,2.54,0.11,-0.22,2.02,0.85,4.61,0.74亿,8.25亿,36.70亿,--
61,42,601369,陕鼓动力,8.81,1.03,0.09,0.0,0.49,0.98,1.83,0.72亿,16.91亿,149.01亿,17.12
62,43,301178,天亿马,29.23,0.31,0.09,0.0,6.08,0.9,5.01,0.79亿,0.44亿,12.74亿,--
63,44,603015,弘讯科技,10.5,0.77,0.08,0.0,3.03,0.61,4.32,1.30亿,4.04亿,42.44亿,64.38
64,45,002184,海得控制,10.62,0.76,0.08,0.0,1.97,0.58,2.66,0.51亿,2.40亿,25.50亿,--
65,46,688171,纬德信息,17.65,0.46,0.08,0.4,1.07,0.49,3.19,0.10亿,0.51亿,9.06亿,212.91
66,47,300317,珈伟新能,3.88,1.84,0.07,-0.26,2.12,0.84,3.94,0.68亿,8.29亿,32.16亿,--
67,48,603778,国晟科技,3.22,2.22,0.07,-0.31,2.08,0.92,4.44,0.43亿,6.43亿,20.70亿,--
68,49,601778,晶科科技,2.95,2.08,0.06,0.0,1.24,1.2,3.11,1.31亿,35.71亿,105.34亿,35.94
69,50,605286,同力日升,31.03,0.19,0.06,0.32,0.55,0.66,1.71,0.29亿,1.68亿,52.13亿,17.77
70,31,300222,科大智能,10.58,1.44,0.15,0.19,4.68,0.84,3.74,3.17亿,6.36亿,67.26亿,204.63
71,32,300266,兴源环境,2.99,4.91,0.14,0.0,3.28,1.25,8.07,1.52亿,15.53亿,46.44亿,--
72,33,300376,ST易事特,3.7,3.93,0.14,0.27,0.87,1.14,5.34,0.74亿,23.27亿,86.12亿,31.36
73,34,300882,万胜智能,16.26,0.87,0.14,-0.06,1.31,1.04,3.35,0.58亿,2.66亿,43.30亿,32.35
74,35,300675,建科院,15.28,0.79,0.12,-0.07,2.08,0.64,2.11,0.47亿,1.47亿,22.41亿,--
75,36,300648,星云股份,24.3,0.5,0.12,0.0,2.02,0.72,2.27,0.52亿,1.06亿,25.80亿,--
76,37,600550,保变电气,8.25,1.48,0.12,-0.12,1.66,1.1,2.71,2.53亿,18.42亿,151.93亿,135.01
77,38,000966,长源电力,4.91,2.5,0.12,0.0,0.98,1.41,3.13,1.32亿,27.49亿,134.99亿,14.11
78,39,300183,东软载波,18.57,0.6,0.11,0.0,6.54,1.36,4.55,4.38亿,3.59亿,66.67亿,76.68
79,40,002434,万里扬,6.47,1.73,0.11,0.0,0.85,0.97,2.04,0.72亿,13.11亿,84.84亿,24.79
80,51,688681,科汇股份,11.26,0.54,0.06,0.0,1.45,0.66,3.93,0.17亿,1.05亿,11.79亿,57.05
81,52,000027,深圳能源,6.57,0.92,0.06,0.0,0.36,1.27,1.54,1.14亿,47.57亿,312.56亿,11.03
82,53,002339,积成电子,7.39,0.82,0.06,-0.14,8.63,0.47,2.87,3.08亿,4.79亿,35.38亿,--
83,54,300305,裕兴股份,5.64,1.07,0.06,-0.18,1.37,0.72,3.94,0.25亿,3.21亿,18.13亿,--
84,55,000531,穗恒运A,5.99,0.84,0.05,0.17,0.57,0.84,1.51,0.31亿,9.10亿,54.49亿,25.47
85,56,002063,远光软件,6.05,0.83,0.05,0.0,1.77,0.99,2.83,1.90亿,17.59亿,106.41亿,78.32
86,57,300166,东方国信,9.73,0.52,0.05,0.0,3.39,0.74,3.41,3.01亿,9.06亿,88.11亿,395.27
87,58,600027,华电国际,5.81,0.87,0.05,-0.17,0.59,0.61,2.26,2.89亿,85.10亿,494.45亿,8.64
