,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,688332,中科蓝讯,144.63,11.13,14.49,0.29,17.43,1.19,16.9,10.72亿,0.44亿,63.67亿,63.13
1,2,688608,恒玄科技,314.94,4.67,14.04,-0.02,3.67,1.44,11.26,13.93亿,1.20亿,378.07亿,98.08
2,3,300496,中科创达,66.18,5.05,3.18,0.03,19.08,2.23,13.11,46.84亿,3.67亿,242.91亿,150.25
3,4,688049,炬芯科技,46.77,5.41,2.4,0.02,12.52,1.35,11.4,6.52亿,1.12亿,52.51亿,72.29
4,5,002402,和而泰,21.9,9.99,1.99,0.0,37.27,1.82,14.01,63.04亿,8.01亿,175.50亿,42.76
5,6,688018,乐鑫科技,215.42,0.79,1.68,-1.1,11.25,1.42,13.1,28.26亿,1.12亿,241.70亿,72.19
6,7,002351,漫步者,20.04,8.03,1.49,0.0,20.11,1.98,11.91,20.56亿,5.21亿,104.41亿,39.51
7,8,688787,海天瑞声,133.15,0.87,1.15,0.11,14.93,1.11,12.61,12.35亿,0.60亿,80.32亿,1590.04
8,9,003004,声迅股份,31.6,3.67,1.12,-0.06,6.92,0.87,5.25,1.51亿,0.70亿,21.99亿,--
9,10,300458,全志科技,39.93,1.71,0.67,-0.13,12.4,1.5,8.41,25.64亿,5.18亿,206.78亿,125.63
10,11,301262,海看股份,29.16,1.43,0.41,0.0,7.98,1.82,5.32,2.88亿,1.22亿,35.60亿,27.70
11,12,300793,佳禾智能,20.02,2.04,0.4,0.0,18.44,1.44,10.65,13.57亿,3.64亿,72.91亿,77.59
12,13,002587,奥拓电子,8.02,2.69,0.21,0.0,23.62,1.66,11.14,9.89亿,5.15亿,41.32亿,--
13,14,002649,博彦科技,13.65,1.34,0.18,0.15,11.35,2.17,8.54,8.54亿,5.49亿,74.89亿,33.59
14,15,002449,国星光电,9.17,1.33,0.12,0.11,6.69,2.04,4.42,3.78亿,6.16亿,56.53亿,63.76
15,16,300711,广哈通信,27.18,0.37,0.1,0.0,9.01,0.74,6.2,6.07亿,2.48亿,67.52亿,242.37
16,17,301320,豪江智能,17.14,0.17,0.03,0.06,13.28,2.33,4.21,1.55亿,0.68亿,11.60亿,52.77
17,18,000793,华闻集团,3.44,0.58,0.02,0.0,14.75,0.97,11.4,10.22亿,19.61亿,67.46亿,--
18,19,300459,汤姆猫,7.65,0.13,0.01,-0.13,20.65,1.05,9.42,50.88亿,31.68亿,242.35亿,241.54
