,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,688622,禾信仪器,66.7,6.63,4.15,0.14,3.12,1.07,11.16,1.41亿,0.70亿,46.69亿,--
1,2,002819,东方中科,34.71,10.02,3.16,0.0,11.53,2.77,6.82,9.36亿,2.35亿,81.66亿,--
2,3,002230,科大讯飞,52.68,1.66,0.86,-0.02,4.19,1.11,4.57,48.62亿,21.84亿,1150.56亿,--
3,4,003029,吉大正元,26.79,2.13,0.56,0.04,7.85,1.2,5.41,3.52亿,1.71亿,45.78亿,--
4,5,300520,科大国创,28.82,1.12,0.32,-0.04,15.65,0.81,6.67,12.56亿,2.77亿,79.94亿,--
5,6,002076,星光股份,3.16,10.11,0.29,0.0,31.73,1.44,11.15,10.24亿,10.33亿,32.65亿,--
6,7,300555,ST路通,9.54,2.8,0.26,-0.11,7.47,1.41,10.67,1.35亿,1.98亿,18.87亿,--
7,8,688619,罗普特,10.02,1.62,0.16,-0.1,1.62,1.12,3.75,0.30亿,1.85亿,18.58亿,--
8,9,600050,中国联通,5.35,2.88,0.15,0.0,2.17,1.68,5.0,36.25亿,312.80亿,1673.49亿,15.30
9,10,300895,铜牛信息,36.05,0.28,0.1,0.03,4.14,0.99,3.87,2.04亿,1.38亿,49.81亿,--
10,11,600288,大恒科技,10.1,0.8,0.08,0.1,9.95,0.96,5.39,4.38亿,4.37亿,44.12亿,--
11,12,600406,国电南瑞,24.92,0.24,0.06,0.0,0.22,0.73,1.45,4.43亿,79.84亿,1989.73亿,33.57
12,13,002268,电科网安,18.08,0.17,0.03,-0.11,1.75,1.24,1.94,2.67亿,8.43亿,152.47亿,--
13,14,300227,光韵达,9.69,0.21,0.02,0.1,3.83,0.63,2.69,1.52亿,4.13亿,39.98亿,110.87
14,15,600624,复旦复华,6.22,0.32,0.02,0.0,6.74,0.6,5.16,2.86亿,6.85亿,42.59亿,--
