,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,002741,光华科技,24.95,7.96,1.84,-0.12,29.08,1.11,12.2,25.34亿,3.62亿,90.20亿,1283.89
1,2,832522,纳科诺尔,50.08,2.43,1.19,0.0,6.38,1.08,8.16,2.95亿,0.92亿,45.89亿,27.93
2,3,600482,中国动力,24.89,4.19,1.0,0.85,3.5,2.95,4.35,19.30亿,22.52亿,560.45亿,56.56
3,4,001283,豪鹏科技,56.36,1.44,0.8,-0.04,6.07,1.31,7.72,2.01亿,0.58亿,32.61亿,44.78
4,5,002915,中欣氟材,16.66,4.32,0.69,1.59,22.31,1.6,14.09,10.88亿,2.88亿,48.03亿,--
5,6,688737,中自科技,23.77,2.86,0.66,-0.46,5.56,0.76,7.75,0.92亿,0.70亿,16.75亿,--
6,7,301157,华塑科技,43.4,1.4,0.6,0.19,22.78,2.03,10.14,2.08亿,0.21亿,8.97亿,89.26
7,8,301487,盟固利,27.84,1.79,0.49,0.0,11.12,1.52,6.95,8.48亿,2.73亿,75.95亿,1062.61
8,9,002139,拓邦股份,14.2,3.2,0.44,-0.07,15.71,1.41,7.34,24.25亿,10.71亿,152.14亿,24.05
9,10,002348,高乐股份,4.9,6.52,0.3,0.0,23.69,1.57,10.22,10.46亿,8.89亿,43.56亿,--
10,11,002733,雄韬股份,13.71,0.66,0.09,0.07,2.55,1.03,3.67,1.29亿,3.69亿,50.57亿,33.27
11,12,300338,*ST开元,5.39,1.51,0.08,0.0,6.96,0.72,5.84,1.29亿,3.45亿,18.57亿,--
12,13,002591,恒大高新,6.5,-0.15,-0.01,0.46,11.65,1.36,4.46,1.71亿,2.24亿,14.53亿,102.96
13,14,000709,河钢股份,2.33,-3.32,-0.08,0.0,1.18,0.72,4.15,2.87亿,103.35亿,240.81亿,31.76
14,15,002532,天山铝业,8.35,-0.95,-0.08,-0.36,1.71,1.14,3.68,5.88亿,41.30亿,344.86亿,9.45
15,16,300586,美联新材,9.83,-0.81,-0.08,0.1,4.95,0.68,4.24,2.60亿,5.34亿,52.54亿,143.57
16,17,600905,三峡能源,4.54,-1.94,-0.09,0.0,0.51,1.39,1.73,6.58亿,285.86亿,1297.80亿,19.13
17,18,601515,东峰集团,4.1,-2.15,-0.09,-0.24,1.27,0.74,1.91,0.97亿,18.55亿,76.05亿,--
18,19,603177,德创环保,8.9,-1.11,-0.1,0.23,1.63,0.84,2.11,0.30亿,2.04亿,18.17亿,56.81
19,20,688646,逸飞激光,36.97,-0.27,-0.1,-0.05,3.12,1.02,5.85,0.65亿,0.56亿,20.76亿,47.48
20,21,002388,ST新亚,4.09,-2.62,-0.11,-0.24,4.71,0.99,2.38,0.97亿,4.99亿,20.41亿,2507.57
21,22,600805,悦达投资,4.88,-2.4,-0.12,-0.41,1.5,0.83,3.4,0.63亿,8.50亿,41.49亿,123.88
22,23,600869,远东股份,4.86,-2.41,-0.12,-0.21,1.4,1.19,3.81,1.53亿,22.19亿,107.86亿,--
