,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,300949,奥雅股份,44.28,20.0,7.38,0.0,25.31,4.15,20.0,3.55亿,0.34亿,15.19亿,--
1,2,600593,大连圣亚,51.07,9.99,4.64,0.0,13.04,0.98,11.18,8.24亿,1.29亿,65.78亿,46.91
2,3,301113,雅艺科技,29.67,5.66,1.59,0.17,19.46,4.88,18.66,1.10亿,0.18亿,5.48亿,278.50
3,4,600706,曲江文旅,13.2,10.0,1.2,0.0,25.53,4.81,10.67,8.06亿,2.54亿,33.53亿,--
4,5,300577,开润股份,26.87,4.55,1.17,-0.04,7.59,2.24,6.07,2.83亿,1.40亿,37.68亿,15.08
5,6,002780,三夫户外,14.57,4.07,0.57,0.21,21.53,2.38,8.29,4.16亿,1.31亿,19.04亿,201.12
6,7,002159,三特索道,18.43,2.9,0.52,-0.22,10.35,2.51,8.93,2.65亿,1.38亿,25.52亿,15.77
7,8,301336,趣睡科技,39.49,1.33,0.52,0.92,7.73,1.7,5.67,0.77亿,0.26亿,10.17亿,62.14
8,9,603518,锦泓集团,9.7,5.21,0.48,-0.1,11.29,2.06,11.17,3.75亿,3.44亿,33.38亿,15.62
9,10,600749,西藏旅游,12.65,3.94,0.48,0.0,12.83,3.47,9.53,3.66亿,2.27亿,28.71亿,107.43
10,11,002723,小崧股份,8.49,5.07,0.41,-0.35,9.77,1.21,8.29,2.60亿,3.17亿,26.93亿,--
11,12,603307,扬州金泉,37.94,1.04,0.39,0.19,15.31,1.43,3.81,0.99亿,0.17亿,6.45亿,17.47
12,13,000524,岭南控股,11.5,2.5,0.28,-0.17,6.11,2.58,9.18,4.64亿,6.70亿,77.05亿,42.75
13,14,000501,武商集团,10.74,2.48,0.26,0.0,11.16,3.46,8.59,9.27亿,7.68亿,82.51亿,49.90
14,15,000796,凯撒旅业,5.54,4.33,0.23,-0.18,10.68,2.15,10.73,5.71亿,9.70亿,53.73亿,--
15,16,600066,宇通客车,23.68,0.94,0.22,-0.46,3.36,2.39,2.69,17.61亿,22.14亿,524.26亿,16.17
16,17,002395,双象股份,17.87,1.13,0.2,0.0,4.69,0.61,4.47,2.25亿,2.68亿,47.93亿,43.63
17,18,002033,丽江股份,9.76,1.56,0.15,0.0,10.74,2.71,5.2,5.77亿,5.49亿,53.63亿,20.92
18,19,605180,华生科技,14.02,0.86,0.12,0.0,3.55,1.83,4.39,0.84亿,1.69亿,23.69亿,37.65
19,20,873132,泰鹏智能,15.88,0.44,0.07,0.0,15.77,1.18,6.45,0.67亿,0.27亿,4.26亿,64.32
20,21,300005,探路者,8.33,0.85,0.07,0.24,7.8,2.0,3.03,5.78亿,8.83亿,73.58亿,54.26
21,22,301376,致欧科技,22.0,0.23,0.05,0.09,4.99,1.52,3.23,1.39亿,1.28亿,28.06亿,23.87
22,23,002887,绿茵生态,8.03,0.5,0.04,0.25,6.91,2.29,4.51,0.89亿,1.59亿,12.81亿,35.68
23,24,600576,祥源文旅,8.03,0.25,0.02,-0.12,5.19,1.08,5.49,2.73亿,6.60亿,53.03亿,57.64
24,25,000917,电广传媒,8.78,0.11,0.01,-0.11,8.46,1.17,5.47,10.62亿,14.17亿,124.45亿,153.05
25,26,000632,三木集团,4.7,0.0,0.0,0.0,3.83,1.27,4.04,0.84亿,4.65亿,21.88亿,--
26,27,002707,众信旅游,8.06,0.0,0.0,0.0,7.75,1.76,3.97,5.16亿,8.25亿,66.51亿,48.10
27,28,002486,嘉麟杰,3.09,-0.32,-0.01,-0.32,10.79,0.99,5.16,2.82亿,8.32亿,25.71亿,113.27
28,29,002489,浙江永强,3.7,-0.8,-0.03,0.0,3.5,1.17,3.22,2.47亿,19.13亿,70.78亿,12.35
29,30,600138,中青旅,11.14,-0.45,-0.05,0.0,7.53,1.93,3.48,6.10亿,7.24亿,80.64亿,39.51
30,31,002444,巨星科技,28.73,-0.24,-0.07,-0.04,1.51,1.41,3.37,5.03亿,11.51亿,330.68亿,13.39
31,32,601718,际华集团,3.17,-2.46,-0.08,0.0,2.08,0.83,3.38,2.93亿,43.92亿,139.22亿,--
32,33,300889,爱克股份,14.94,-0.73,-0.11,0.13,3.48,0.73,2.39,0.51亿,0.98亿,14.60亿,--
33,34,603908,牧高笛,26.29,-0.49,-0.13,0.08,4.41,1.57,3.22,1.09亿,0.93亿,24.55亿,19.92
34,35,001238,浙江正特,27.43,-0.51,-0.14,0.0,2.58,0.94,4.5,0.23亿,0.32亿,8.77亿,71.56
35,36,600358,国旅联合,4.53,-3.0,-0.14,-0.22,5.46,1.09,4.5,1.27亿,5.05亿,22.87亿,--
36,37,002127,南极电商,5.1,-2.86,-0.15,0.0,13.92,1.17,9.9,14.31亿,19.95亿,101.73亿,173.16
