,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,301371,敷尔佳,37.24,2.08,0.76,0.08,5.54,1.26,4.52,1.20亿,0.59亿,21.82亿,21.75
1,2,000922,佳电股份,12.15,2.27,0.27,0.0,2.46,1.13,3.54,1.75亿,5.87亿,71.34亿,26.20
2,3,000985,大庆华科,19.98,1.22,0.24,0.0,1.35,0.95,3.34,0.35亿,1.30亿,25.90亿,62.41
3,4,603023,*ST威帝,2.98,4.93,0.14,0.0,2.99,2.44,5.99,0.49亿,5.62亿,16.75亿,354.04
4,5,600829,人民同泰,7.51,1.9,0.14,0.13,2.42,1.38,2.71,1.05亿,5.80亿,43.55亿,15.86
5,6,600182,S佳通,17.77,0.62,0.11,0.11,2.58,0.68,3.85,0.78亿,1.70亿,30.21亿,28.98
6,7,301227,森鹰窗业,19.1,0.32,0.06,0.0,3.29,0.83,2.42,0.22亿,0.35亿,6.72亿,--
7,8,600811,东方集团,3.3,1.54,0.05,0.0,10.1,0.63,5.85,12.17亿,36.59亿,120.74亿,69.00
8,9,000711,*ST京蓝,1.97,2.07,0.04,0.0,3.39,0.88,3.63,0.78亿,11.74亿,23.13亿,--
9,10,688459,哈铁科技,10.29,0.29,0.03,-0.1,2.27,1.65,3.31,0.41亿,1.76亿,18.07亿,73.53
10,11,600726,华电能源,2.53,0.40,0.01,0.00,3.06,1.73,5.16,2.13亿,27.47亿,69.51亿,33.14
11,12,002900,哈三联,11.08,0.09,0.01,0.09,2.48,0.93,2.53,0.48亿,1.73亿,19.19亿,64.79
12,13,600289,*ST信通,--,--,--,--,--,--,--,--,5.66亿,10.13亿,29.46
13,14,600853,龙建股份,4.31,-0.23,-0.01,-0.69,14.99,5.14,9.03,6.77亿,10.09亿,43.48亿,13.99
14,15,600202,哈空调,5.24,-0.19,-0.01,0.00,2.44,0.68,2.48,0.49亿,3.83亿,20.09亿,1052.98
15,16,300040,九洲集团,6.79,-0.29,-0.02,0.00,3.59,0.61,2.20,1.12亿,4.61亿,31.29亿,40.90
16,17,600664,哈药股份,4.00,-0.50,-0.02,0.00,1.27,0.88,2.74,1.29亿,25.19亿,100.74亿,14.87
17,18,002737,葵花药业,21.18,-0.09,-0.02,-0.05,1.95,0.97,1.46,2.41亿,5.84亿,123.69亿,15.81
18,19,601106,中国一重,3.26,-0.91,-0.03,0.31,0.81,1.37,5.17,1.82亿,68.58亿,223.56亿,--
19,20,600179,安通控股,3.18,-0.94,-0.03,-0.31,1.69,1.11,4.67,2.00亿,37.34亿,118.75亿,62.60
20,21,002698,博实股份,17.55,-0.17,-0.03,0.0,4.06,0.63,4.44,6.05亿,8.41亿,147.67亿,29.50
21,22,600705,中航产融,4.13,-1.2,-0.05,0.0,1.38,0.72,3.35,5.02亿,88.04亿,363.62亿,45.61
22,23,600666,奥瑞德,2.9,-2.03,-0.06,0.0,8.02,1.05,7.09,5.70亿,24.20亿,70.17亿,--
23,24,002437,誉衡药业,2.83,-2.41,-0.07,0.71,13.86,3.11,6.21,8.77亿,21.91亿,61.99亿,26.37
24,25,601188,龙江交通,3.95,-1.99,-0.08,0.0,3.66,1.05,4.22,1.91亿,13.16亿,51.98亿,26.14
25,26,600187,国中水务,4.21,-1.86,-0.08,-0.24,6.58,1.02,6.06,4.49亿,16.14亿,67.94亿,566.30
26,27,600371,万向德农,9.18,-0.86,-0.08,-0.11,1.17,0.6,2.48,0.32亿,2.93亿,26.86亿,38.92
27,28,600598,北大荒,14.56,-0.55,-0.08,0.14,0.72,0.87,1.5,1.87亿,17.78亿,258.83亿,14.41
28,29,600356,恒丰纸业,8.3,-1.19,-0.1,0.0,6.26,0.53,3.33,1.56亿,2.99亿,24.79亿,16.90
29,30,603567,珍宝岛,11.87,-1.0,-0.12,0.0,0.69,0.88,2.17,0.78亿,9.40亿,111.52亿,21.07
30,31,600864,哈投股份,7.19,-2.04,-0.15,0.0,3.1,0.48,3.13,4.66亿,20.81亿,149.59亿,42.19
31,32,000901,航天科技,12.15,-1.3,-0.16,0.0,2.9,0.86,2.68,2.81亿,7.98亿,96.98亿,--
32,33,605577,龙版传媒,17.07,-1.44,-0.25,0.0,2.02,0.87,3.81,1.53亿,4.44亿,75.87亿,25.43
33,34,688011,新光光电,18.85,-1.57,-0.3,-0.11,0.77,0.88,3.45,0.15亿,1.00亿,18.85亿,--
34,35,600095,湘财股份,7.66,-3.89,-0.31,0.0,3.52,0.91,3.14,7.77亿,28.59亿,219.01亿,112.81
35,36,600178,东安动力,13.07,-2.46,-0.33,0.0,6.9,0.86,4.03,4.24亿,4.66亿,60.97亿,--
36,37,601011,宝泰隆,3.08,-9.94,-0.34,0.0,13.28,1.07,5.85,8.01亿,19.16亿,59.00亿,--
37,38,600038,中直股份,39.63,-1.07,-0.43,0.05,0.77,0.85,1.45,1.81亿,5.89亿,233.61亿,68.21
38,39,300900,广联航空,22.4,-1.93,-0.44,0.18,3.21,1.0,3.77,1.57亿,2.18亿,48.78亿,97.14
39,40,300489,光智科技,63.91,-3.97,-2.64,0.09,3.93,0.79,4.31,3.50亿,1.37亿,87.66亿,--
