,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,603183,建研院,4.4,5.01,0.21,0.23,11.28,4.8,8.59,2.54亿,4.97亿,21.87亿,66.49
1,2,600654,中安科,4.42,4.99,0.21,0.0,12.02,0.99,10.69,12.08亿,22.97亿,101.54亿,891.69
2,3,300887,谱尼测试,9.87,2.39,0.23,0.0,9.32,1.4,5.5,3.30亿,3.62亿,35.75亿,--
3,4,300938,信测标准,25.11,2.2,0.54,0.08,10.06,2.47,4.72,2.78亿,1.13亿,28.30亿,21.22
4,5,836208,青矩技术,39.2,1.95,0.75,0.0,6.97,0.93,5.23,1.52亿,0.55亿,21.71亿,28.26
5,6,301169,零点有数,47.63,1.79,0.84,0.0,6.75,0.87,5.34,2.30亿,0.72亿,34.22亿,--
6,7,300215,电科院,6.81,1.49,0.1,0.15,4.31,0.72,5.07,1.64亿,5.62亿,38.28亿,242.96
7,8,300572,安车检测,22.55,1.49,0.33,-0.04,13.19,1.81,7.65,5.20亿,1.84亿,41.40亿,--
8,9,600861,北京人力,20.09,1.36,0.27,0.3,0.75,0.89,2.83,0.54亿,3.67亿,73.64亿,13.30
9,10,600662,外服控股,5.36,1.32,0.07,-0.19,0.47,1.03,3.02,0.57亿,22.63亿,121.31亿,18.30
10,11,300962,中金辐照,16.71,1.21,0.2,0.12,0.99,0.98,2.36,0.43亿,2.64亿,44.11亿,34.50
11,12,300797,钢研纳克,13.04,0.93,0.12,0.0,1.01,0.91,2.17,0.49亿,3.76亿,48.97亿,43.25
12,13,603060,国检集团,7.89,0.9,0.07,0.13,1.82,1.04,2.81,1.15亿,8.04亿,63.43亿,66.74
13,14,600826,兰生股份,9.09,0.55,0.05,0.0,2.61,0.72,1.88,1.74亿,7.36亿,66.86亿,24.78
14,15,301508,中机认检,38.72,0.39,0.15,0.05,12.51,1.54,3.42,2.81亿,0.59亿,22.78亿,68.51
15,16,300012,华测检测,13.2,0.38,0.05,-0.38,2.32,1.18,2.43,4.38亿,14.32亿,188.99亿,22.31
16,17,301289,国缆检测,49.56,0.22,0.11,-0.06,8.12,0.6,2.47,1.01亿,0.25亿,12.56亿,53.67
17,18,300662,科锐国际,22.18,0.14,0.03,-0.49,2.45,1.25,3.07,1.07亿,1.96亿,43.54亿,24.21
18,19,603373,安邦护卫,32.48,0.12,0.04,0.0,7.63,0.81,2.84,0.66亿,0.27亿,8.73亿,30.43
19,20,873122,中纺标,62.72,0.1,0.06,0.0,4.61,0.88,4.44,1.00亿,0.34亿,21.38亿,231.55
20,21,301228,实朴检测,14.12,0.07,0.01,0.0,6.67,1.09,3.76,0.51亿,0.55亿,7.73亿,--
21,22,688334,西高院,16.76,0.0,0.0,0.06,3.25,1.33,1.31,0.41亿,0.76亿,12.73亿,24.43
22,23,871753,天纺标,36.35,-0.03,-0.01,0.0,4.29,0.84,2.61,0.50亿,0.31亿,11.44亿,105.77
23,24,300860,锋尚文化,28.21,-0.11,-0.03,0.04,6.79,0.89,3.54,2.16亿,1.12亿,31.57亿,183.31
24,25,301115,建科股份,15.73,-0.25,-0.04,-0.06,5.92,1.1,3.62,0.99亿,1.06亿,16.60亿,104.29
25,26,831039,国义招标,10.84,-0.46,-0.05,0.0,2.62,0.98,9.0,0.45亿,1.54亿,16.67亿,30.42
26,27,301306,西测测试,43.28,-0.55,-0.24,0.02,6.75,0.8,3.75,1.14亿,0.39亿,17.00亿,--
27,28,300416,苏试试验,13.37,-0.74,-0.1,0.08,3.34,1.15,2.23,2.24亿,5.05亿,67.54亿,34.84
28,29,002967,广电计量,17.07,-0.87,-0.15,-0.06,1.02,1.02,2.15,0.94亿,5.41亿,92.35亿,39.56
29,30,300795,米奥会展,18.78,-1.68,-0.32,0.16,3.1,1.02,4.45,0.78亿,1.34亿,25.23亿,47.69
30,31,002057,中钢天源,8.16,-1.8,-0.15,0.0,3.75,1.47,2.89,2.30亿,7.50亿,61.21亿,29.52
31,32,003008,开普检测,19.89,-3.45,-0.71,0.0,7.61,1.43,4.47,1.18亿,0.78亿,15.48亿,27.71
