,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,003010,若羽臣,26.3,10.0,2.39,0.0,8.26,1.48,11.71,2.54亿,1.21亿,31.80亿,56.07
1,2,301110,青木科技,49.6,5.49,2.58,0.0,15.44,1.93,10.17,3.70亿,0.49亿,24.08亿,47.66
2,3,300592,华凯易佰,16.83,5.19,0.83,-0.18,11.82,1.76,12.12,7.31亿,3.66亿,61.66亿,27.00
3,4,300209,*ST有树,6.06,2.37,0.14,0.0,3.51,1.28,3.21,0.84亿,3.99亿,24.20亿,--
4,5,002803,吉宏股份,15.99,0.06,0.01,0.0,7.96,1.28,3.57,3.70亿,2.89亿,46.14亿,34.26
5,6,301001,凯淳股份,31.06,0.0,0.0,0.0,16.03,0.99,6.02,2.52亿,0.50亿,15.62亿,398.46
6,7,301381,赛维时代,26.77,-0.11,-0.03,0.41,2.98,0.84,2.5,1.54亿,1.92亿,51.48亿,41.11
7,8,301558,三态股份,10.48,-1.32,-0.14,0.0,15.15,0.88,3.96,3.55亿,2.20亿,23.03亿,144.18
8,9,603613,国联股份,27.23,-1.45,-0.4,-0.11,3.07,0.77,4.56,6.10亿,7.21亿,196.20亿,13.14
9,10,300792,壹网壹创,25.63,-1.5,-0.39,0.0,7.25,0.75,7.72,3.98亿,2.13亿,54.47亿,48.08
10,11,002640,跨境通,5.46,-2.33,-0.13,0.18,27.42,0.82,11.99,21.53亿,14.27亿,77.91亿,--
11,12,600365,ST通葡,3.02,-2.58,-0.08,0.0,1.53,1.01,3.23,0.20亿,4.19亿,12.65亿,--
12,13,601113,华鼎股份,4.1,-2.61,-0.11,-0.24,3.43,0.72,3.09,1.57亿,11.04亿,45.27亿,10.47
13,14,300518,新迅达,12.64,-2.69,-0.35,0.0,2.82,0.81,2.62,0.72亿,1.99亿,25.20亿,--
14,15,002127,南极电商,5.1,-2.86,-0.15,0.0,13.92,1.17,9.9,14.31亿,19.95亿,101.73亿,173.16
15,16,002024,ST易购,2.27,-2.99,-0.07,-0.44,0.7,1.06,3.42,1.49亿,91.98亿,208.80亿,26.32
16,17,605136,丽人丽妆,9.49,-3.06,-0.3,-0.11,6.3,0.61,3.68,2.39亿,4.00亿,38.00亿,--
17,18,002315,焦点科技,45.55,-3.21,-1.51,0.11,13.49,0.83,6.42,12.84亿,2.02亿,92.06亿,30.30
18,19,300464,星徽股份,6.89,-4.04,-0.29,0.0,9.44,0.61,4.18,2.18亿,3.30亿,22.74亿,--
19,20,600539,狮头股份,7.58,-5.01,-0.4,-0.13,3.4,1.09,6.27,0.60亿,2.30亿,17.43亿,--
