,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,600463,空港股份,10.54,1.84,0.19,-0.1,1.97,1.41,4.35,0.62亿,3.00亿,31.62亿,--
1,2,600082,海泰发展,2.82,1.8,0.05,-0.35,1.64,0.49,4.33,0.30亿,6.34亿,17.89亿,--
2,3,601512,中新集团,7.8,1.56,0.12,0.0,0.18,1.04,2.08,0.22亿,14.99亿,116.91亿,13.04
3,4,600648,外高桥,12.12,1.34,0.16,0.17,0.59,1.07,2.17,0.67亿,9.35亿,113.30亿,23.61
4,5,600658,电子城,4.56,1.11,0.05,0.0,1.04,0.81,3.99,0.53亿,11.19亿,51.01亿,--
5,6,600604,市北高新,4.95,1.02,0.05,0.2,1.5,0.66,3.47,1.05亿,14.07亿,69.67亿,--
6,7,600848,上海临港,10.35,0.98,0.1,-0.1,0.23,1.0,1.85,0.56亿,23.94亿,247.77亿,31.66
7,8,600639,浦东金桥,11.27,0.81,0.09,0.18,0.62,0.91,1.7,0.59亿,8.50亿,95.82亿,24.29
8,9,600895,张江高科,27.58,-0.04,-0.01,0.0,1.73,0.87,2.61,7.47亿,15.49亿,427.13亿,62.69
9,10,600340,华夏幸福,2.94,-2.0,-0.06,0.0,4.46,0.85,4.67,5.19亿,38.93亿,114.47亿,--
