,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,002175,东方智造,8.02,10.01,0.73,0.0,34.83,1.11,9.05,34.87亿,12.77亿,102.40亿,226.51
1,2,002058,威尔泰,15.62,7.65,1.11,0.06,8.34,1.4,12.75,1.80亿,1.43亿,22.36亿,--
2,3,832651,天罡股份,25.9,3.06,0.77,0.0,5.31,0.53,10.43,0.21亿,0.15亿,3.96亿,30.02
3,4,871263,莱赛激光,18.77,1.08,0.2,0.0,10.33,0.74,7.05,0.54亿,0.27亿,5.13亿,1384.81
4,5,430685,新芝生物,12.3,0.66,0.08,0.0,2.55,0.4,4.99,0.17亿,0.55亿,6.72亿,38.99
5,6,002849,威星智能,20.24,0.5,0.1,0.2,3.81,1.07,6.5,1.46亿,1.90亿,38.44亿,50.56
6,7,688768,容知日新,37.72,0.43,0.16,0.05,1.31,0.91,3.94,0.40亿,0.82亿,30.79亿,909.99
7,8,832491,奥迪威,24.4,0.41,0.1,0.0,6.0,0.65,5.06,1.70亿,1.14亿,27.85亿,38.28
8,9,301303,真兰仪表,15.9,-0.06,-0.01,0.0,3.64,0.69,2.45,0.59亿,1.02亿,16.25亿,20.96
9,10,831961,创远信科,18.58,-0.11,-0.02,0.0,4.97,0.72,6.72,0.98亿,1.05亿,19.59亿,1038.56
10,11,300553,集智股份,32.53,-0.21,-0.07,-0.22,7.65,0.92,6.1,1.30亿,0.53亿,17.24亿,145.28
11,12,830879,基康仪器,13.6,-0.44,-0.06,0.0,0.64,0.46,3.95,0.10亿,1.13亿,15.33亿,30.42
12,13,603700,宁水集团,11.14,-0.45,-0.05,0.09,2.55,1.94,4.38,0.59亿,2.03亿,22.64亿,48.26
13,14,833509,同惠电子,17.21,-0.58,-0.1,0.0,3.05,0.66,4.22,0.44亿,0.82亿,14.19亿,75.42
14,15,300720,海川智能,22.98,-0.86,-0.2,0.0,4.75,0.75,5.91,1.89亿,1.73亿,39.82亿,91.43
15,16,300515,三德科技,13.03,-1.14,-0.15,-0.08,1.99,0.62,2.2,0.48亿,1.84亿,23.95亿,25.76
16,17,688056,莱伯泰科,33.29,-1.25,-0.42,0.39,0.93,0.33,3.06,0.21亿,0.67亿,22.45亿,47.98
17,18,688112,鼎阳科技,31.63,-1.31,-0.42,0.1,0.7,0.51,2.4,0.35亿,1.59亿,50.35亿,41.21
18,19,834407,驰诚股份,23.85,-1.49,-0.36,0.0,10.8,0.7,4.54,0.67亿,0.26亿,6.17亿,67.58
19,20,300371,汇中股份,11.12,-1.51,-0.17,0.0,2.25,0.58,1.86,0.34亿,1.36亿,15.10亿,30.71
20,21,688539,高华科技,26.55,-1.63,-0.44,-0.23,2.11,0.77,2.56,0.58亿,1.03亿,27.31亿,81.87
21,22,300370,安控科技,4.14,-1.66,-0.07,-0.24,8.17,0.5,5.23,4.56亿,13.25亿,54.85亿,--
22,23,688115,思林杰,43.0,-1.78,-0.78,0.0,2.74,0.63,3.24,0.50亿,0.42亿,18.12亿,435.86
23,24,605056,咸亨国际,13.3,-1.84,-0.25,-0.15,0.83,0.82,2.88,0.45亿,4.07亿,54.09亿,42.29
24,25,430476,海能技术,11.92,-2.21,-0.27,0.0,4.15,0.45,4.92,0.32亿,0.63亿,7.48亿,--
25,26,301006,迈拓股份,15.3,-2.24,-0.35,0.07,1.96,0.93,2.36,0.26亿,0.86亿,13.17亿,35.41
26,27,002819,东方中科,33.39,-2.25,-0.77,0.0,5.25,0.55,3.28,4.13亿,2.35亿,78.55亿,--
27,28,603100,川仪股份,21.34,-2.29,-0.5,0.05,1.1,0.74,2.33,1.20亿,5.08亿,108.50亿,14.72
28,29,300211,亿通科技,9.25,-2.43,-0.23,0.22,5.74,0.53,4.01,1.60亿,2.98亿,27.61亿,--
29,30,300567,精测电子,67.35,-2.48,-1.71,-0.07,3.1,0.99,3.0,4.26亿,2.03亿,136.57亿,168.41
30,31,688610,埃科光电,39.71,-2.58,-1.05,0.28,1.82,0.47,2.26,0.18亿,0.24亿,9.55亿,126.45
31,32,300306,远方信息,12.67,-2.69,-0.35,0.24,3.33,0.79,2.61,0.67亿,1.58亿,19.96亿,47.00
32,33,300165,ST天瑞,3.62,-2.69,-0.1,0.0,7.68,0.59,3.23,1.18亿,4.21亿,15.22亿,--
33,34,300349,金卡智能,14.22,-2.74,-0.4,0.0,5.09,0.99,2.6,2.71亿,3.70亿,52.68亿,14.98
34,35,688628,优利德,36.83,-2.8,-1.06,0.35,1.15,0.66,3.35,0.47亿,1.11亿,40.94亿,20.28
35,36,300667,必创科技,19.56,-2.83,-0.57,-0.2,2.97,0.6,2.83,1.01亿,1.73亿,33.77亿,--
36,37,300445,康斯特,17.57,-2.88,-0.52,-0.17,2.96,0.63,2.88,0.75亿,1.42亿,24.96亿,31.31
37,38,300259,新天科技,3.93,-2.96,-0.12,0.0,1.75,0.75,3.21,0.81亿,11.70亿,45.96亿,29.84
38,39,301528,多浦乐,44.93,-3.08,-1.43,-0.11,2.57,0.71,3.04,0.36亿,0.31亿,13.83亿,75.57
39,40,300007,汉威科技,23.65,-3.15,-0.77,-0.25,26.22,1.01,8.68,18.23亿,2.83亿,66.92亿,72.79
40,41,300557,理工光科,30.48,-3.21,-1.01,-0.03,2.03,1.02,3.33,0.57亿,0.91亿,27.89亿,79.25
41,42,301129,瑞纳智能,27.25,-3.23,-0.91,0.15,9.41,0.57,3.73,0.93亿,0.36亿,9.78亿,--
42,43,300066,三川智慧,4.7,-3.29,-0.16,0.0,2.85,0.76,3.29,1.36亿,10.06亿,47.28亿,51.27
43,44,688528,秦川物联,10.74,-3.33,-0.37,-0.74,0.93,0.96,3.69,0.17亿,1.68亿,18.04亿,--
44,45,688665,四方光电,32.34,-3.52,-1.18,0.12,1.41,0.48,6.59,0.46亿,1.00亿,32.37亿,39.44
45,46,002767,先锋电子,15.19,-3.56,-0.56,0.26,3.6,0.63,3.43,0.72亿,1.30亿,19.77亿,174.21
46,47,301197,工大科雅,17.71,-3.59,-0.66,-0.11,9.79,0.79,2.83,1.43亿,0.82亿,14.50亿,--
47,48,300112,万讯自控,10.38,-3.89,-0.42,-0.1,10.57,0.76,7.22,2.67亿,2.38亿,24.67亿,141.06
48,49,301413,安培龙,59.35,-3.96,-2.45,0.22,13.47,0.61,4.82,1.79亿,0.22亿,13.14亿,70.20
49,50,300897,山科智能,25.83,-4.01,-1.08,0.23,5.71,0.66,4.2,0.94亿,0.63亿,16.26亿,30.27
50,51,300417,南华仪器,13.94,-4.13,-0.6,0.07,9.04,0.53,3.92,1.10亿,0.87亿,12.11亿,76.01
51,52,300354,东华测试,40.74,-4.99,-2.14,0.05,11.65,0.67,6.11,3.95亿,0.81亿,33.08亿,42.67
52,53,300203,聚光科技,16.9,-5.48,-0.98,-0.18,4.28,1.0,4.36,3.29亿,4.48亿,75.77亿,48.34
53,54,688337,普源精电,44.04,-5.53,-2.58,-0.41,2.63,0.73,5.49,0.78亿,0.66亿,28.95亿,106.61
54,55,603662,柯力传感,77.5,-6.46,-5.35,0.35,20.46,1.13,8.51,45.55亿,2.81亿,217.64亿,85.88
55,56,688622,禾信仪器,72.71,-7.12,-5.57,0.06,4.0,0.92,9.9,2.09亿,0.70亿,50.90亿,--
