,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,21,300640,德艺文创,6.01,0.84,0.05,0.0,5.44,0.57,3.86,0.73亿,2.22亿,13.35亿,124.74
1,22,301055,张小泉,16.77,0.78,0.13,0.24,1.43,0.59,4.63,0.38亿,1.56亿,26.16亿,114.07
2,23,002615,哈尔斯,8.06,0.75,0.06,0.12,2.08,0.67,2.25,0.51亿,3.04亿,24.50亿,12.53
3,24,300729,乐歌股份,15.93,0.19,0.03,0.0,1.35,0.73,1.64,0.64亿,2.96亿,47.12亿,15.36
4,25,001211,双枪科技,21.38,0.19,0.04,-0.09,3.65,0.47,3.52,0.52亿,0.67亿,14.32亿,81.57
5,26,603385,惠达卫浴,6.5,0.15,0.01,0.0,1.26,1.22,2.62,0.31亿,3.81亿,24.74亿,19.86
6,27,001238,浙江正特,26.3,0.0,0.0,0.23,1.09,0.59,1.6,0.09亿,0.32亿,8.41亿,68.61
7,28,603195,公牛集团,72.03,-0.3,-0.22,-0.08,0.11,0.86,1.09,1.00亿,12.86亿,926.64亿,21.39
8,29,603091,众鑫股份,45.79,-0.87,-0.4,-0.02,6.84,0.79,1.43,0.63亿,0.20亿,9.18亿,14.88
9,30,603992,松霖科技,18.7,-1.53,-0.29,0.05,0.32,0.91,3.27,0.26亿,4.20亿,78.60亿,18.68
10,31,603838,四通股份,6.18,-1.91,-0.12,0.0,1.41,0.54,3.97,0.28亿,3.20亿,19.78亿,--
11,32,301004,嘉益股份,111.51,-2.43,-2.78,-0.17,0.53,0.67,3.25,0.57亿,0.96亿,106.69亿,16.36
12,33,603615,茶花股份,22.39,-3.53,-0.82,-0.13,1.75,0.69,5.3,0.97亿,2.42亿,54.14亿,--
13,1,600599,ST熊猫,12.57,5.01,0.6,0.0,0.44,0.24,2.26,0.09亿,1.66亿,20.87亿,53.95
14,2,603268,松发股份,39.72,3.73,1.43,0.0,3.07,1.32,6.58,1.50亿,1.24亿,49.32亿,--
15,3,002084,海鸥住工,3.01,3.44,0.1,0.0,1.67,0.56,4.47,0.32亿,6.42亿,19.32亿,--
16,4,301193,家联科技,17.1,3.32,0.55,-0.12,2.19,1.84,6.71,0.36亿,0.96亿,16.46亿,36.68
17,5,600265,景谷林业,17.65,3.28,0.56,0.0,0.57,1.05,4.74,0.13亿,1.30亿,22.91亿,--
18,6,601996,丰林集团,2.22,3.26,0.07,-0.45,2.19,0.95,5.58,0.55亿,11.21亿,24.88亿,--
19,7,605155,西大门,10.36,2.98,0.3,-0.1,1.76,0.96,4.47,0.35亿,1.89亿,19.59亿,17.12
20,8,300993,玉马遮阳,10.6,2.32,0.24,-0.09,2.23,1.11,4.25,0.57亿,2.41亿,25.57亿,19.13
21,9,002790,瑞尔特,7.57,2.3,0.17,0.13,1.48,0.83,3.38,0.29亿,2.61亿,19.73亿,18.78
22,10,001216,华瓷股份,13.25,1.77,0.23,0.08,0.74,0.57,2.54,0.24亿,2.52亿,33.37亿,14.85
23,11,002571,德力股份,4.24,1.68,0.07,0.0,2.73,0.64,3.36,0.35亿,2.98亿,12.65亿,--
24,12,300163,ST先锋,2.45,1.66,0.04,0.41,2.38,0.58,3.73,0.24亿,4.16亿,10.19亿,--
25,13,301113,雅艺科技,24.2,1.64,0.39,-0.04,1.32,0.46,3.4,0.14亿,0.42亿,10.23亿,227.15
26,14,002094,青岛金王,5.82,1.39,0.08,0.0,5.7,0.79,4.18,2.30亿,6.90亿,40.18亿,46.52
27,15,603272,联翔股份,14.74,1.38,0.2,0.41,3.09,0.55,4.61,0.19亿,0.43亿,6.26亿,--
28,16,603021,山东华鹏,4.52,1.34,0.06,0.0,2.88,0.53,4.26,0.42亿,3.20亿,14.46亿,--
29,17,831445,龙竹科技,7.76,1.31,0.1,0.0,2.85,0.63,3.52,0.23亿,1.05亿,8.17亿,47.73
30,18,001322,箭牌家居,8.0,1.27,0.1,-0.13,1.38,0.67,2.53,0.18亿,1.66亿,13.25亿,181.66
31,19,603408,建霖家居,12.73,1.11,0.14,-0.08,0.34,0.74,2.3,0.19亿,4.48亿,56.98亿,10.78
32,20,605099,共创草坪,21.12,1.05,0.22,0.0,0.74,0.65,3.49,0.62亿,4.00亿,84.50亿,16.16
