,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,300991,创益通,25.1,4.71,1.13,0.84,36.18,1.62,11.89,7.95亿,0.90亿,22.56亿,--
1,2,300131,英唐智控,8.03,3.61,0.28,0.0,6.38,1.31,7.87,5.35亿,10.42亿,83.69亿,147.71
2,3,002130,沃尔核材,29.22,3.0,0.85,0.1,19.78,1.47,5.22,72.03亿,12.49亿,365.00亿,42.15
3,4,002885,京泉华,14.75,2.15,0.31,0.2,9.77,1.33,5.4,3.33亿,2.32亿,34.29亿,71.04
4,5,688103,国力股份,41.82,1.8,0.74,-0.02,1.75,1.86,5.38,0.71亿,0.95亿,39.86亿,113.33
5,6,300650,太龙股份,11.76,1.73,0.2,0.0,3.09,0.78,4.07,0.57亿,1.57亿,18.48亿,55.13
6,7,002388,ST新亚,3.48,1.46,0.05,0.0,3.33,0.68,3.5,0.58亿,4.99亿,17.37亿,2133.58
7,8,300493,润欣科技,27.54,1.29,0.35,0.0,21.23,1.0,12.43,29.73亿,5.01亿,137.97亿,285.11
8,9,300736,百邦科技,10.35,1.27,0.13,-0.29,5.68,0.54,5.19,0.77亿,1.29亿,13.35亿,--
9,10,000670,盈方微,9.29,0.98,0.09,0.0,22.79,1.12,12.28,15.67亿,7.22亿,67.08亿,--
10,11,002729,好利科技,13.33,0.83,0.11,0.08,2.66,0.72,3.4,0.63亿,1.75亿,23.39亿,53.65
11,12,300516,久之洋,35.73,0.68,0.24,-0.03,1.04,0.93,2.54,0.68亿,1.80亿,64.31亿,239.41
12,13,002161,远望谷,6.05,0.67,0.04,0.17,4.24,0.66,4.16,1.85亿,7.13亿,43.16亿,53.01
13,14,002922,伊戈尔,18.78,0.43,0.08,-0.05,13.79,1.96,4.76,9.57亿,3.70亿,69.46亿,26.25
14,15,603933,睿能科技,16.58,0.42,0.07,0.3,1.97,0.75,2.36,0.68亿,2.08亿,34.41亿,42.60
15,16,300184,力源信息,9.9,0.41,0.04,0.0,3.92,0.87,2.54,4.10亿,10.48亿,103.78亿,85.46
16,17,002859,洁美科技,21.76,0.32,0.07,0.0,1.69,1.38,2.72,1.49亿,4.06亿,88.26亿,39.70
17,18,600353,旭光电子,7.75,0.26,0.02,0.13,1.77,0.79,3.36,1.15亿,8.29亿,64.23亿,59.76
18,19,300975,商络电子,12.02,0.25,0.03,0.0,5.15,1.14,4.0,2.93亿,4.69亿,56.32亿,115.80
19,20,000062,深圳华强,23.24,-0.21,-0.05,0.0,1.44,1.0,2.1,3.52亿,10.44亿,242.72亿,68.47
20,21,002782,可立克,13.51,-0.44,-0.06,-0.07,7.36,1.86,4.72,4.92亿,4.91亿,66.34亿,32.78
21,22,688093,世华科技,19.96,-0.6,-0.12,0.0,0.84,1.14,2.69,0.44亿,2.63亿,52.42亿,20.11
22,23,300475,香农芯创,29.91,-0.83,-0.25,0.0,4.65,1.51,4.01,6.23亿,4.40亿,131.68亿,28.18
23,24,001298,好上好,26.51,-0.9,-0.24,-0.04,3.47,0.87,2.62,0.99亿,1.06亿,28.17亿,134.28
24,25,001287,中电港,21.84,-1.18,-0.26,-0.14,3.21,0.85,2.67,3.10亿,4.37亿,95.53亿,83.63
25,26,300656,民德电子,26.59,-1.34,-0.36,0.04,1.6,0.66,3.12,0.54亿,1.25亿,33.28亿,--
26,27,301099,雅创电子,44.34,-1.42,-0.64,-0.09,1.82,0.8,2.96,0.86亿,1.05亿,46.66亿,34.12
27,28,301031,中熔电气,104.0,-1.65,-1.74,-0.33,1.38,1.31,2.59,0.63亿,0.43亿,45.14亿,43.09
28,29,688662,富信科技,37.68,-4.63,-1.83,-0.11,4.47,0.84,3.82,1.50亿,0.88亿,33.25亿,74.91
29,30,301328,维峰电子,46.1,-5.07,-2.46,0.09,22.17,1.11,4.74,3.52亿,0.34亿,15.74亿,55.85
30,31,688800,瑞可达,56.19,-7.43,-4.51,0.0,7.99,0.96,5.78,7.30亿,1.58亿,89.02亿,63.01
