,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,002402,和而泰,21.9,9.99,1.99,0.0,37.27,1.82,14.01,63.04亿,8.01亿,175.50亿,42.76
1,2,831768,拾比佰,9.51,4.39,0.4,0.0,9.97,1.4,10.87,0.74亿,0.77亿,7.28亿,--
2,3,603657,春光科技,16.92,1.56,0.26,0.06,9.56,0.99,4.02,2.17亿,1.35亿,22.87亿,367.18
3,4,300403,汉宇集团,13.46,1.2,0.16,-0.07,31.56,1.12,10.98,18.40亿,4.23亿,56.93亿,34.13
4,5,836699,海达尔,42.32,0.79,0.33,0.0,4.78,0.84,6.64,0.43亿,0.21亿,8.83亿,26.78
5,6,430718,合肥高科,15.46,-0.52,-0.08,0.0,6.66,0.48,5.73,0.45亿,0.43亿,6.61亿,21.68
6,7,001268,联合精密,19.53,-0.56,-0.11,0.1,4.83,0.9,2.14,0.38亿,0.40亿,7.83亿,31.48
7,8,301008,宏昌科技,22.08,-0.85,-0.19,-0.05,4.8,1.76,5.7,1.03亿,0.97亿,21.31亿,42.29
8,9,301280,珠城科技,45.83,-0.99,-0.46,-0.35,8.19,0.65,3.46,1.01亿,0.26亿,12.10亿,24.86
9,10,000404,长虹华意,7.66,-1.03,-0.08,-0.13,2.39,1.37,2.58,1.27亿,6.93亿,53.08亿,10.64
10,11,002011,盾安环境,11.13,-1.5,-0.17,0.0,1.23,0.76,1.59,1.26亿,9.16亿,101.99亿,13.71
11,12,603150,万朗磁塑,28.48,-1.66,-0.48,0.18,1.76,0.81,2.0,0.27亿,0.54亿,15.24亿,17.05
12,13,603677,奇精机械,14.59,-1.75,-0.26,-0.48,4.39,1.68,6.8,1.27亿,1.92亿,28.03亿,40.64
13,14,301135,瑞德智能,26.33,-1.9,-0.51,-0.04,4.25,0.53,3.13,0.56亿,0.49亿,13.02亿,92.83
14,15,603578,三星新材,13.72,-2.07,-0.29,0.0,0.99,0.65,2.64,0.25亿,1.80亿,24.75亿,66.21
15,16,603075,热威股份,19.96,-2.11,-0.43,-0.1,4.19,1.02,2.45,0.34亿,0.40亿,7.99亿,26.34
16,17,601956,东贝集团,5.55,-2.12,-0.12,0.0,1.8,0.98,3.0,0.62亿,6.19亿,34.33亿,25.03
17,18,300160,秀强股份,6.02,-2.27,-0.14,0.0,2.22,0.56,2.27,1.02亿,7.59亿,45.72亿,19.20
18,19,600619,海立股份,12.69,-2.38,-0.31,-0.08,4.55,0.68,1.69,4.59亿,7.89亿,100.15亿,449.81
19,20,603112,华翔股份,13.41,-2.4,-0.33,0.0,1.77,2.02,3.64,1.04亿,4.36亿,58.51亿,13.87
20,21,603311,金海高科,12.5,-2.5,-0.32,0.0,2.97,0.84,4.91,0.89亿,2.36亿,29.49亿,43.47
21,22,603726,朗迪集团,17.06,-2.51,-0.44,0.0,2.25,1.12,2.91,0.71亿,1.84亿,31.39亿,17.87
22,23,002290,禾盛新材,16.4,-2.67,-0.45,0.24,1.61,0.89,2.61,0.66亿,2.47亿,40.55亿,35.56
23,24,300279,和晶科技,7.66,-2.79,-0.22,0.13,8.11,0.9,4.06,2.88亿,4.58亿,35.09亿,53.14
24,25,003028,振邦智能,38.01,-2.86,-1.12,-0.05,4.37,0.72,3.58,0.91亿,0.54亿,20.55亿,23.78
25,26,002860,星帅尔,10.83,-3.04,-0.34,0.0,10.26,1.83,5.37,3.33亿,2.93亿,31.71亿,17.11
26,27,002418,康盛股份,3.03,-3.19,-0.1,0.0,3.67,0.54,4.15,1.28亿,11.36亿,34.43亿,--
27,28,002420,毅昌科技,6.26,-3.25,-0.21,0.0,3.08,1.03,2.94,0.77亿,3.95亿,24.71亿,26.80
28,29,002676,顺威股份,6.86,-3.38,-0.24,0.0,3.8,0.92,3.94,1.90亿,7.20亿,49.39亿,86.79
29,30,002050,三花智控,24.16,-3.82,-0.96,0.0,1.93,0.8,3.94,17.31亿,36.70亿,886.78亿,29.38
30,31,300217,东方电热,5.43,-3.89,-0.22,0.19,4.81,1.02,4.96,3.29亿,12.27亿,66.62亿,21.53
31,32,300342,天银机电,19.34,-4.02,-0.81,-0.05,6.78,0.95,3.42,5.53亿,4.18亿,80.79亿,111.52
32,33,603519,立霸股份,14.76,-6.41,-1.01,0.0,8.8,2.25,8.12,3.53亿,2.66亿,39.31亿,26.72
