,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,600156,华升股份,5.06,10.0,0.46,0.0,4.38,1.09,10.44,0.87亿,4.02亿,20.35亿,--
1,2,000955,欣龙控股,4.36,4.31,0.18,0.0,4.34,1.22,7.89,1.02亿,5.38亿,23.46亿,--
2,3,600527,江南高纤,2.3,3.14,0.07,0.0,6.63,1.38,8.97,2.68亿,17.32亿,39.83亿,99.24
3,4,603073,彩蝶实业,14.94,1.77,0.26,0.07,2.03,0.69,2.93,0.15亿,0.51亿,7.60亿,19.70
4,5,605180,华生科技,12.61,1.53,0.19,0.16,2.34,0.61,4.91,0.50亿,1.69亿,21.31亿,33.86
5,6,601599,浙文影业,3.8,1.33,0.05,-0.26,2.15,0.72,5.07,0.96亿,11.61亿,44.10亿,24.23
6,7,300877,金春股份,14.6,1.11,0.16,0.0,0.8,0.63,2.84,0.14亿,1.20亿,17.52亿,104.03
7,8,002144,宏达高科,10.72,1.04,0.11,0.09,2.25,1.05,1.98,0.33亿,1.37亿,14.65亿,21.69
8,9,603130,云中马,22.14,0.64,0.14,0.05,2.08,0.86,3.14,0.24亿,0.51亿,11.31亿,33.97
9,10,603055,台华新材,11.25,0.0,0.0,-0.09,0.44,1.02,1.51,0.44亿,8.85亿,99.61亿,12.14
10,11,300979,华利集团,75.99,-0.18,-0.14,0.26,0.07,0.64,1.39,0.60亿,11.67亿,886.80亿,23.39
11,12,300819,聚杰微纤,13.36,-0.52,-0.07,-0.22,1.66,0.79,3.28,0.30亿,1.35亿,18.00亿,25.83
12,13,603889,新澳股份,7.17,-0.69,-0.05,0.14,1.38,0.93,1.39,0.71亿,7.21亿,51.67亿,10.62
13,14,301066,万事利,14.44,-1.84,-0.27,0.07,3.78,0.66,3.6,1.04亿,1.89亿,27.26亿,73.48
14,15,300577,开润股份,24.44,-3.85,-0.98,0.08,2.96,0.76,4.37,1.03亿,1.40亿,34.28亿,13.71
