,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,300414,中光防雷,8.59,3.25,0.27,0.12,2.3,1.03,3.61,0.62亿,3.14亿,26.93亿,542.89
1,2,872374,云里物里,27.41,2.28,0.61,0.0,5.01,1.46,8.06,0.47亿,0.34亿,9.23亿,76.28
2,3,300213,佳讯飞鸿,8.18,2.0,0.16,0.12,4.7,0.91,6.11,2.13亿,5.51亿,45.09亿,99.11
3,4,300183,东软载波,18.57,0.6,0.11,0.0,6.54,1.36,4.55,4.38亿,3.59亿,66.67亿,76.68
4,5,600776,东方通信,11.72,-0.26,-0.03,0.0,1.41,0.76,2.3,1.59亿,9.56亿,112.04亿,106.53
5,6,688292,浩瀚深度,20.52,-1.25,-0.26,0.0,1.83,0.72,3.08,0.34亿,0.90亿,18.47亿,66.04
6,7,688418,震有科技,29.21,-1.45,-0.43,0.0,2.53,0.82,4.45,1.46亿,1.94亿,56.55亿,255.42
7,8,688283,坤恒顺维,25.14,-1.57,-0.4,-0.04,0.44,1.03,3.17,0.10亿,0.85亿,21.49亿,138.42
8,9,688080,映翰通,35.22,-1.65,-0.59,-0.06,1.6,0.76,2.93,0.42亿,0.74亿,26.01亿,23.40
9,10,300353,东土科技,12.03,-2.04,-0.25,-0.08,2.28,0.77,3.26,1.46亿,5.22亿,62.82亿,--
10,11,600345,长江通信,24.14,-2.66,-0.66,-0.17,3.6,0.74,2.9,1.86亿,2.12亿,51.07亿,119.86
11,12,300711,广哈通信,25.06,-2.98,-0.77,-0.04,4.94,0.77,4.57,3.15亿,2.48亿,62.26亿,223.46
12,13,301202,朗威股份,38.53,-3.38,-1.35,0.08,23.07,0.89,3.64,3.32亿,0.37亿,14.33亿,70.91
