,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,601969,海南矿业,7.74,1.98,0.15,0.0,1.64,1.55,5.14,2.55亿,20.31亿,157.22亿,21.63
1,2,601121,宝地矿业,6.93,0.29,0.02,-0.14,5.56,1.8,3.47,1.48亿,3.80亿,26.33亿,24.38
2,3,839719,宁新新材,13.22,-0.75,-0.1,0.0,9.04,0.7,6.31,0.88亿,0.73亿,9.68亿,--
3,4,600295,鄂尔多斯,9.83,-1.7,-0.17,1.45,1.84,1.79,3.4,3.57亿,19.76亿,194.20亿,11.99
4,5,000655,金岭矿业,6.95,-2.11,-0.15,0.14,0.97,0.8,2.54,0.40亿,5.95亿,41.38亿,20.70
5,6,600382,广东明珠,4.95,-2.17,-0.11,0.0,2.5,0.5,2.77,0.87亿,6.94亿,34.37亿,114.83
6,7,600516,方大炭素,5.17,-2.64,-0.14,-0.19,0.92,1.21,2.64,1.92亿,40.26亿,208.14亿,60.84
7,8,001203,大中矿业,9.58,-2.94,-0.29,-0.1,1.11,0.95,2.74,1.31亿,12.17亿,116.55亿,16.30
8,9,000923,河钢资源,14.85,-3.26,-0.5,-0.07,2.67,1.59,2.93,2.51亿,6.28亿,93.24亿,12.59
9,10,000629,钒钛股份,3.22,-4.17,-0.14,-0.31,2.24,0.58,4.46,6.74亿,91.95亿,296.09亿,122.51
