,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,301198,喜悦智行,12.92,19.96,2.15,0.0,18.79,7.16,20.98,3.71亿,1.62亿,20.97亿,267.45
1,2,002303,美盈森,3.98,6.42,0.24,0.0,12.34,1.78,9.89,3.85亿,7.94亿,31.60亿,20.90
2,3,301223,中荣股份,18.25,5.07,0.88,-0.11,4.5,3.92,9.79,0.92亿,1.12亿,20.44亿,23.93
3,4,002565,顺灏股份,3.69,4.83,0.17,0.0,5.22,1.95,6.25,2.00亿,10.54亿,38.90亿,52.42
4,5,600076,康欣新材,2.73,4.2,0.11,0.0,6.39,1.08,5.72,2.34亿,13.45亿,36.71亿,--
5,6,301062,上海艾录,14.75,3.73,0.53,0.41,9.38,1.81,9.28,3.75亿,2.78亿,41.05亿,69.86
6,7,002799,环球印务,9.13,3.05,0.27,-0.22,9.2,2.91,10.16,2.75亿,3.20亿,29.22亿,79.79
7,8,002191,劲嘉股份,4.82,2.99,0.14,0.21,2.02,1.42,3.63,1.39亿,14.41亿,69.45亿,22.11
8,9,002969,嘉美包装,3.51,2.93,0.1,0.0,2.47,1.26,4.11,0.82亿,9.50亿,33.34亿,34.01
9,10,002228,合兴包装,3.26,2.84,0.09,0.0,1.45,1.27,3.47,0.57亿,12.19亿,39.73亿,20.70
10,11,002374,中锐股份,3.43,2.69,0.09,0.0,3.41,1.25,4.19,1.26亿,10.85亿,37.22亿,--
11,12,300883,龙利得,6.37,2.25,0.14,-0.16,8.73,0.48,5.94,1.80亿,3.28亿,20.89亿,319.55
12,13,002701,奥瑞金,5.51,2.23,0.12,-0.18,1.18,0.94,2.23,1.65亿,25.57亿,140.91亿,13.90
13,14,603022,新通联,8.44,2.18,0.18,0.0,2.83,1.79,3.63,0.47亿,2.00亿,16.88亿,37.26
14,15,301355,南王科技,12.85,2.06,0.26,0.0,7.47,1.28,4.53,0.92亿,0.97亿,12.47亿,49.29
15,16,603499,翔港科技,35.46,1.9,0.66,0.0,1.86,0.86,4.25,1.41亿,2.16亿,76.64亿,172.31
16,17,002831,裕同科技,24.71,1.81,0.44,-0.08,1.21,1.5,3.79,1.57亿,5.21亿,128.74亿,15.48
17,18,003003,天元股份,10.27,1.78,0.18,0.2,2.6,0.86,2.58,0.31亿,1.16亿,11.92亿,26.99
18,19,000659,珠海中富,3.44,1.77,0.06,0.0,7.25,0.93,5.62,3.21亿,12.86亿,44.23亿,--
19,20,601968,宝钢包装,5.5,1.66,0.09,0.0,0.85,0.86,2.59,0.52亿,11.33亿,62.32亿,29.78
20,21,002752,昇兴股份,5.77,1.58,0.09,0.17,1.62,0.99,2.46,0.91亿,9.77亿,56.36亿,12.30
21,22,603687,大胜达,8.21,1.23,0.1,0.37,1.25,0.69,2.71,0.56亿,5.47亿,44.87亿,40.94
22,23,002836,新宏泽,8.44,0.6,0.05,-0.12,2.19,1.11,2.5,0.42亿,2.30亿,19.45亿,31.86
23,24,603058,永吉股份,11.35,0.44,0.05,0.27,2.57,0.58,3.36,1.21亿,4.18亿,47.39亿,27.89
24,25,002846,英联股份,9.68,0.41,0.04,0.1,7.31,0.43,4.05,1.80亿,2.57亿,24.88亿,1441.64
25,26,600210,紫江企业,7.29,0.28,0.02,0.14,3.69,0.84,2.89,4.05亿,15.17亿,110.57亿,15.72
26,27,300501,海顺新材,14.73,0.07,0.01,-0.07,2.33,1.06,3.19,0.43亿,1.25亿,18.44亿,26.82
27,28,002014,永新股份,10.1,0.0,0.0,0.0,0.69,0.47,1.29,0.42亿,6.04亿,61.04亿,15.22
28,29,002951,*ST金时,6.89,-0.14,-0.01,0.44,0.16,0.63,1.88,0.05亿,4.05亿,27.90亿,--
29,30,603607,京华激光,17.91,-0.28,-0.05,0.06,4.62,0.6,2.34,1.47亿,1.79亿,31.97亿,33.58
30,31,870204,沪江材料,23.87,-0.29,-0.07,0.0,5.06,0.6,4.13,0.60亿,0.50亿,11.91亿,76.25
31,32,301296,新巨丰,10.07,-0.4,-0.04,0.0,2.69,0.88,2.37,0.73亿,2.72亿,27.36亿,25.43
32,33,002735,王子新材,10.53,-0.47,-0.05,-0.1,7.0,1.1,2.27,2.06亿,2.81亿,29.55亿,234.18
33,34,601515,东峰集团,4.18,-0.48,-0.02,0.24,1.95,0.97,3.81,1.51亿,18.55亿,77.54亿,--
34,35,000812,陕西金叶,5.44,-0.91,-0.05,-0.18,9.04,0.81,2.73,3.81亿,7.68亿,41.79亿,53.24
35,36,300260,新莱应材,27.07,-0.92,-0.25,0.0,4.78,0.76,4.39,3.70亿,2.88亿,77.86亿,41.81
36,37,003018,金富科技,9.94,-1.0,-0.1,0.0,2.02,0.53,2.89,0.27亿,1.33亿,13.20亿,16.71
37,38,603429,集友股份,8.68,-1.7,-0.15,0.23,4.81,1.69,8.15,2.21亿,5.24亿,45.53亿,--
38,39,838163,方大新材,17.93,-2.13,-0.39,0.0,3.55,0.66,3.17,0.39亿,0.61亿,11.01亿,48.14
39,40,872392,佳合科技,22.9,-3.17,-0.75,0.0,4.44,0.68,4.27,0.29亿,0.28亿,6.43亿,31.52
40,41,002787,华源控股,10.07,-3.17,-0.33,0.0,11.06,1.68,6.15,2.82亿,2.57亿,25.90亿,43.97
41,42,837174,宏裕包材,16.65,-3.7,-0.64,0.0,9.08,0.68,5.55,0.36亿,0.23亿,3.89亿,--
42,43,833075,柏星龙,37.27,-4.92,-1.93,0.0,25.3,0.68,10.0,2.42亿,0.25亿,9.18亿,46.70
