,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,000078,海王生物,2.88,5.5,0.15,-0.35,4.96,4.42,9.16,3.82亿,26.26亿,75.64亿,122.97
1,2,002589,瑞康医药,3.08,3.01,0.09,0.33,2.4,1.02,4.68,1.00亿,13.66亿,42.06亿,89.57
2,3,000411,英特集团,11.03,2.41,0.26,-0.09,1.55,1.26,5.48,0.55亿,3.21亿,35.37亿,12.17
3,4,300937,药易购,26.25,2.22,0.57,0.23,3.79,0.9,4.36,0.62亿,0.63亿,16.45亿,135.19
4,5,600713,南京医药,5.12,2.2,0.11,0.39,1.9,0.94,2.79,1.01亿,10.47亿,53.62亿,11.38
5,6,000705,浙江震元,8.17,2.12,0.17,0.0,3.3,0.88,4.12,0.76亿,2.82亿,23.04亿,46.99
6,7,002788,鹭燕医药,8.48,1.8,0.15,0.12,1.32,0.99,2.64,0.42亿,3.82亿,32.36亿,9.60
7,8,002462,嘉事堂,13.35,1.68,0.22,0.0,1.03,0.78,2.67,0.40亿,2.91亿,38.91亿,12.64
8,9,600511,国药股份,34.71,1.67,0.57,0.0,0.57,0.91,2.37,1.09亿,5.53亿,192.07亿,13.26
9,10,600056,中国医药,11.45,1.6,0.18,0.0,0.83,0.85,2.22,1.41亿,14.95亿,171.22亿,28.73
10,11,301126,达嘉维康,10.82,1.6,0.17,0.0,2.27,0.88,3.66,0.34亿,1.38亿,14.92亿,45.73
11,12,301370,国科恒泰,11.3,1.25,0.14,0.18,1.29,0.95,2.78,0.47亿,3.24亿,36.58亿,39.98
12,13,601607,上海医药,21.17,1.24,0.26,0.0,0.62,1.0,2.25,2.52亿,19.36亿,409.82亿,14.52
13,14,600829,人民同泰,8.23,1.23,0.1,0.12,3.63,0.82,4.18,1.73亿,5.80亿,47.72亿,17.38
14,15,000950,重药控股,5.8,1.04,0.06,-0.17,1.35,0.37,2.61,1.35亿,17.28亿,100.23亿,25.73
15,16,603716,塞力医疗,7.93,1.02,0.08,-0.25,6.28,0.65,3.57,0.95亿,1.91亿,15.15亿,--
16,17,603368,柳药集团,18.48,0.87,0.16,0.0,1.71,1.32,2.18,1.25亿,3.97亿,73.40亿,7.72
17,18,600998,九州通,5.26,0.77,0.04,0.0,0.41,0.76,2.11,1.09亿,50.42亿,265.23亿,11.73
18,19,603122,合富中国,7.25,0.56,0.04,-0.28,3.79,0.7,2.5,0.49亿,1.79亿,12.99亿,81.52
19,20,000028,国药一致,30.39,0.46,0.14,0.0,0.72,0.86,1.65,1.04亿,4.78亿,145.28亿,11.90
20,21,600272,开开实业,14.24,-0.07,-0.01,0.07,14.92,0.65,4.56,3.41亿,1.60亿,22.78亿,75.0
21,22,603108,润达医疗,16.92,-0.99,-0.17,0.0,3.9,1.09,3.57,3.94亿,5.99亿,101.33亿,150.71
22,23,301015,百洋医药,25.5,-1.2,-0.31,0.0,0.53,1.69,2.09,0.71亿,5.26亿,134.03亿,15.68
