,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,688605,先锋精科,75.0,4.81,3.44,-0.82,55.69,0.7,13.19,15.68亿,0.38亿,28.53亿,65.02
1,2,301297,富乐德,48.72,0.77,0.37,0.0,12.49,1.88,4.72,8.43亿,1.38亿,67.42亿,155.68
2,3,688361,中科飞测,97.97,-0.13,-0.13,0.4,5.43,2.81,6.96,13.15亿,2.44亿,239.20亿,--
3,4,688072,拓荆科技,171.5,-1.27,-2.21,1.34,3.75,1.63,3.23,9.93亿,1.54亿,263.84亿,131.96
4,5,301369,联动科技,59.19,-1.65,-0.99,-0.02,7.11,1.0,2.91,1.03亿,0.24亿,14.36亿,203.95
5,6,003043,华亚智能,45.28,-1.99,-0.92,-0.02,2.23,1.0,1.67,0.49亿,0.49亿,22.05亿,48.77
6,7,300604,长川科技,46.8,-2.15,-1.03,0.0,5.07,1.06,2.72,11.20亿,4.71亿,220.27亿,61.56
7,8,603690,至纯科技,26.43,-2.51,-0.68,-0.04,2.53,0.88,1.99,2.59亿,3.86亿,101.91亿,39.70
8,9,688012,中微公司,200.51,-2.62,-5.39,0.1,2.02,1.44,3.08,25.29亿,6.22亿,1247.90亿,102.51
9,10,688419,耐科装备,34.47,-2.71,-0.96,0.32,5.12,1.06,3.25,0.39亿,0.22亿,7.64亿,36.71
10,11,002371,北方华创,386.48,-2.88,-11.48,0.1,1.5,1.09,2.89,31.21亿,5.33亿,2058.63亿,34.63
11,12,688120,华海清科,180.01,-2.92,-5.41,-0.77,3.05,1.74,5.22,9.55亿,1.70亿,305.97亿,44.34
12,13,688200,华峰测控,105.1,-3.0,-3.25,-0.61,3.09,2.49,3.95,4.40亿,1.35亿,142.35亿,50.10
13,14,688082,盛美上海,108.15,-3.34,-3.74,-0.05,0.54,1.22,2.99,2.58亿,4.34亿,468.89亿,46.94
14,15,688478,晶升股份,32.22,-3.42,-1.14,0.06,2.39,0.78,3.81,0.80亿,1.02亿,32.87亿,61.49
15,16,688652,京仪装备,51.75,-3.54,-1.9,0.0,3.29,1.01,3.47,1.66亿,0.96亿,49.79亿,50.24
16,17,688147,微导纳米,28.89,-3.76,-1.13,0.0,5.2,1.11,3.93,1.46亿,0.96亿,27.69亿,65.78
17,18,688037,芯源微,89.65,-4.07,-3.8,0.09,3.44,1.38,4.42,6.26亿,2.01亿,180.17亿,125.54
18,19,603061,金海通,76.0,-4.1,-3.25,0.03,3.16,1.66,3.81,1.02亿,0.42亿,31.79亿,76.12
19,20,688409,富创精密,58.02,-5.78,-3.56,0.19,4.2,1.87,6.2,4.40亿,1.79亿,103.87亿,70.65
