,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,300521,爱司凯,27.4,7.07,1.81,0.0,11.5,1.13,8.48,4.38亿,1.44亿,39.46亿,--
1,2,871553,凯腾精工,9.2,1.66,0.15,0.0,3.94,0.6,8.51,0.33亿,0.92亿,8.45亿,88.76
2,3,838810,春光药装,11.15,0.36,0.04,0.0,3.72,0.8,6.66,0.19亿,0.45亿,4.97亿,--
3,4,301105,鸿铭股份,32.91,0.0,0.0,0.03,4.13,1.13,2.37,0.22亿,0.16亿,5.41亿,314.95
4,5,002209,达意隆,11.06,-0.18,-0.02,0.0,14.99,1.1,9.93,2.65亿,1.55亿,17.18亿,39.37
5,6,300509,新美星,8.08,-1.34,-0.11,0.12,8.31,0.58,2.93,1.66亿,2.47亿,19.97亿,65.97
6,7,001256,炜冈科技,17.5,-2.12,-0.38,-0.06,3.06,0.86,2.8,0.22亿,0.41亿,7.17亿,23.36
7,8,301138,华研精机,29.9,-2.32,-0.71,-0.03,8.16,0.67,3.2,0.74亿,0.30亿,8.97亿,49.85
8,9,300512,中亚股份,7.9,-2.71,-0.22,0.0,1.87,0.92,3.69,0.49亿,3.29亿,25.95亿,64.15
9,10,300195,长荣股份,6.81,-3.13,-0.22,0.0,7.66,0.55,2.85,1.65亿,3.14亿,21.38亿,639.54
10,11,603901,永创智能,8.59,-5.4,-0.49,-0.12,4.99,0.92,4.41,2.11亿,4.84亿,41.56亿,39.96
11,12,002611,东方精工,11.64,-6.21,-0.77,0.0,17.81,0.79,7.66,21.33亿,9.95亿,115.83亿,32.24
