,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,000953,河化股份,5.68,5.58,0.3,0.0,8.17,2.26,11.34,1.71亿,3.66亿,20.80亿,19.67
1,2,603351,威尔药业,24.19,4.72,1.09,-0.21,1.02,2.56,6.54,0.33亿,1.35亿,32.76亿,21.77
2,3,002099,海翔药业,5.34,2.69,0.14,-0.19,0.57,1.04,4.04,0.49亿,16.17亿,86.32亿,541.16
3,4,000952,广济药业,5.72,2.33,0.13,0.0,1.38,0.8,4.47,0.27亿,3.44亿,19.68亿,--
4,5,300401,花园生物,15.2,2.15,0.32,0.0,3.33,1.49,4.1,2.72亿,5.35亿,81.27亿,25.66
5,6,300966,共同药业,16.65,2.15,0.35,0.12,2.43,1.02,3.37,0.30亿,0.75亿,12.51亿,--
6,7,300381,溢多利,7.31,1.95,0.14,-0.41,1.13,0.66,4.04,0.40亿,4.89亿,35.77亿,62.91
7,8,002365,永安药业,8.17,1.87,0.15,0.0,1.0,0.7,2.99,0.20亿,2.44亿,19.94亿,29.19
8,9,300267,尔康制药,2.91,1.75,0.05,-0.34,2.11,0.79,4.2,0.87亿,14.22亿,41.39亿,--
9,10,688076,诺泰生物,52.55,1.72,0.89,-0.1,2.64,1.74,5.34,3.07亿,2.20亿,115.49亿,24.73
10,11,301246,宏源药业,14.07,1.66,0.23,0.07,1.55,0.79,2.75,0.35亿,1.61亿,22.65亿,116.79
11,12,300497,富祥药业,8.6,1.66,0.14,0.0,1.71,0.99,3.07,0.67亿,4.52亿,38.84亿,--
12,13,605507,国邦医药,21.02,1.64,0.34,0.0,1.04,1.26,2.95,0.66亿,3.02亿,63.42亿,15.22
13,14,300452,山河药辅,12.5,1.54,0.19,0.0,1.36,0.86,2.6,0.32亿,1.87亿,23.35亿,17.95
14,15,605116,奥锐特,21.17,1.53,0.32,0.0,0.43,1.45,3.07,0.36亿,3.98亿,84.15亿,22.73
