,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,002265,建设工业,18.35,10.01,1.67,0.0,22.0,4.21,4.98,16.14亿,4.03亿,73.97亿,77.60
1,2,688287,ST观典,6.94,8.95,0.57,0.73,4.55,2.82,9.42,1.14亿,3.71亿,25.71亿,--
2,3,688685,迈信林,36.79,6.42,2.22,-0.16,2.87,2.24,9.6,1.48亿,1.45亿,53.50亿,110.51
3,4,000519,中兵红箭,16.79,4.48,0.72,0.0,7.36,2.35,6.84,17.00亿,13.93亿,233.81亿,--
4,5,300600,ST瑞科,7.74,2.79,0.21,0.0,1.45,1.23,3.45,0.27亿,2.46亿,19.05亿,--
5,6,600862,中航高科,24.89,2.6,0.63,0.0,0.96,1.41,3.67,3.29亿,13.93亿,346.73亿,28.52
6,7,300008,天海防务,5.49,2.42,0.13,-0.18,6.15,1.42,3.73,5.52亿,16.47亿,90.43亿,92.82
7,8,600765,中航重机,20.86,2.31,0.47,-0.05,1.82,1.39,3.92,5.55亿,14.71亿,306.79亿,22.88
8,9,605123,派克新材,58.77,2.19,1.26,0.02,1.01,1.02,3.62,0.71亿,1.21亿,71.21亿,21.63
9,10,688708,佳驰科技,69.39,2.04,1.39,-0.04,52.55,0.7,11.59,13.06亿,0.36亿,24.78亿,64.99
10,11,002625,光启技术,41.6,1.96,0.8,-0.1,3.28,1.28,4.24,24.38亿,17.78亿,739.84亿,125.24
11,12,688122,西部超导,44.28,1.61,0.7,-0.05,0.88,0.86,2.91,2.51亿,6.50亿,287.67亿,35.74
12,13,300581,晨曦航空,12.59,1.53,0.19,0.0,4.47,1.29,3.47,3.07亿,5.50亿,69.26亿,--
13,14,688282,*ST导航,31.45,1.39,0.43,-0.29,0.72,0.34,2.45,0.08亿,0.37亿,11.49亿,--
14,15,300065,海兰信,9.83,1.34,0.13,-0.2,4.12,0.93,4.74,2.64亿,6.56亿,64.47亿,521.17
15,16,300699,光威复材,34.78,1.31,0.45,-0.06,0.99,0.9,2.39,2.81亿,8.21亿,285.70亿,35.26
16,17,837006,晟楠科技,32.11,1.29,0.41,0.0,16.78,1.09,6.47,1.74亿,0.32亿,10.32亿,172.26
17,18,300775,三角防务,25.16,1.29,0.32,0.0,2.0,1.11,2.42,2.66亿,5.32亿,133.96亿,46.58
18,19,000738,航发控制,22.05,1.29,0.28,0.0,0.55,0.72,2.89,1.58亿,13.15亿,290.00亿,34.59
19,20,000768,中航西飞,26.84,1.25,0.33,0.0,0.61,1.06,2.34,4.48亿,27.69亿,743.10亿,59.33
20,21,300965,*ST恒宇,33.4,1.24,0.41,0.0,1.81,1.1,2.52,0.10亿,0.16亿,5.49亿,78.10
21,22,688563,航材股份,62.4,1.23,0.76,-0.1,2.19,1.13,2.68,1.58亿,1.15亿,71.88亿,48.31
22,23,000561,烽火电子,9.01,1.12,0.1,0.0,3.41,0.68,3.03,1.85亿,6.02亿,54.24亿,--
23,24,600372,中航机载,12.64,1.12,0.14,0.08,0.43,0.93,1.52,2.60亿,47.57亿,601.26亿,38.14
24,25,002651,利君股份,7.55,1.07,0.08,-0.13,5.14,1.82,3.35,2.20亿,5.65亿,42.69亿,48.33
25,26,601989,中国重工,4.87,1.04,0.05,0.21,0.44,1.06,1.87,4.89亿,228.02亿,1110.46亿,89.22
26,27,600967,内蒙一机,7.98,1.01,0.08,-0.13,0.94,1.36,1.39,1.28亿,16.99亿,135.57亿,28.00
27,28,688297,中无人机,44.44,1.0,0.44,0.0,2.72,1.08,3.84,3.26亿,2.72亿,120.71亿,--
28,29,000697,炼石航空,8.43,0.96,0.08,0.0,1.82,1.03,2.99,0.86亿,5.64亿,47.54亿,--
29,30,301357,北方长龙,39.65,0.89,0.35,0.03,23.15,1.55,4.5,2.20亿,0.24亿,9.44亿,--
30,31,002023,海特高新,10.96,0.83,0.09,0.0,1.87,0.94,3.22,1.51亿,7.41亿,81.20亿,98.39
31,32,688510,航亚科技,17.16,0.82,0.14,0.06,1.08,1.03,3.0,0.48亿,2.58亿,44.34亿,35.85
32,33,688281,华秦科技,97.46,0.82,0.79,0.04,2.49,1.06,4.03,1.18亿,0.49亿,47.44亿,45.99
33,34,600316,洪都航空,33.36,0.82,0.27,-0.06,1.41,1.06,2.93,3.35亿,7.17亿,239.23亿,1261.81
34,35,600435,北方导航,10.7,0.75,0.08,0.0,1.33,1.0,2.17,2.13亿,15.03亿,160.77亿,--
35,36,003009,中天火箭,41.63,0.73,0.3,0.0,1.11,1.05,2.47,0.71亿,1.55亿,64.69亿,282.32
36,37,002985,北摩高科,24.14,0.71,0.17,0.04,1.33,0.97,2.25,0.66亿,2.07亿,50.04亿,72.17
37,38,688543,国科军工,51.3,0.69,0.35,0.0,2.05,0.92,2.16,0.86亿,0.82亿,41.89亿,45.30
38,39,600760,中航沈飞,48.47,0.69,0.33,0.0,0.71,0.96,2.43,9.39亿,27.45亿,1330.37亿,55.11
39,40,600764,中国海防,26.74,0.68,0.18,0.0,0.52,0.74,2.56,0.98亿,7.11亿,190.02亿,95.61
40,41,300527,中船应急,9.07,0.67,0.06,0.11,1.81,1.0,2.11,1.58亿,9.63亿,87.37亿,1298.82
41,42,600038,中直股份,40.06,0.65,0.26,-0.03,0.73,0.74,1.71,1.71亿,5.89亿,236.14亿,68.95
42,43,600879,航天电子,9.6,0.63,0.06,0.0,1.23,0.91,2.41,3.80亿,32.29亿,310.00亿,42.28
43,44,300034,钢研高纳,16.79,0.6,0.1,0.06,1.39,1.0,2.34,1.78亿,7.66亿,128.67亿,41.55
44,45,688586,江航装备,10.14,0.59,0.06,0.1,0.95,0.93,2.18,0.76亿,7.91亿,80.24亿,44.05
45,46,600391,航发科技,18.99,0.58,0.11,-0.05,1.42,0.97,2.07,0.88亿,3.30亿,62.69亿,88.15
46,47,300777,中简科技,27.32,0.55,0.15,-0.07,1.88,1.1,2.72,2.16亿,4.24亿,115.77亿,38.97
47,48,600685,中船防务,24.79,0.49,0.12,0.0,0.82,0.99,1.74,1.67亿,8.21亿,203.63亿,140.34
48,49,300589,江龙船艇,13.26,0.23,0.03,-0.3,2.65,0.96,2.04,0.81亿,2.32亿,30.71亿,155.07
