,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,21,301312,智立方,51.71,-1.09,-0.57,0.1,12.49,1.19,4.15,1.68亿,0.26亿,13.35亿,76.18
1,22,300124,汇川技术,59.39,-1.15,-0.69,-0.05,1.04,1.43,2.1,14.18亿,22.81亿,1354.59亿,35.76
2,23,301633,港迪技术,88.79,-1.29,-1.16,0.1,6.64,0.81,2.73,0.83亿,0.14亿,12.36亿,63.89
3,24,603203,快克智能,24.33,-1.74,-0.43,0.0,1.42,1.11,4.44,0.87亿,2.49亿,60.62亿,27.91
4,25,688777,中控技术,51.43,-2.15,-1.13,-0.08,2.43,1.17,3.18,9.88亿,7.79亿,400.46亿,42.55
5,26,688188,柏楚电子,179.51,-2.16,-3.97,-0.61,0.43,0.91,2.99,1.61亿,2.05亿,368.81亿,38.11
6,27,001266,宏英智能,24.6,-2.92,-0.74,0.12,24.99,1.05,4.38,2.17亿,0.35亿,8.68亿,--
7,28,301510,固高科技,27.18,-2.93,-0.82,-0.04,2.15,0.73,3.54,1.67亿,2.80亿,76.21亿,279.03
8,29,603283,赛腾股份,71.63,-3.24,-2.4,-0.1,4.08,1.16,3.82,5.78亿,1.95亿,139.68亿,22.65
9,30,688698,伟创电气,44.88,-3.65,-1.7,0.09,3.6,1.09,5.04,3.44亿,2.11亿,94.87亿,33.81
10,31,688160,步科股份,62.85,-4.34,-2.85,0.16,3.77,0.53,6.01,2.05亿,0.84亿,52.79亿,122.30
11,32,688320,禾川科技,42.3,-5.58,-2.5,0.26,11.18,1.03,9.6,5.10亿,1.06亿,44.66亿,--
12,33,430425,乐创技术,20.0,-6.37,-1.36,0.0,8.04,0.97,7.3,0.68亿,0.41亿,8.13亿,54.24
13,1,002334,英威腾,8.29,9.95,0.75,0.0,8.93,3.38,3.45,5.31亿,7.20亿,59.70亿,32.99
14,2,002975,博杰股份,33.48,3.72,1.2,-0.06,7.57,0.94,9.48,1.83亿,0.72亿,24.03亿,2317.05
15,3,300048,合康新能,5.26,3.14,0.16,0.38,1.43,1.33,4.51,0.83亿,11.16亿,58.68亿,407.46
16,4,832885,星辰科技,13.33,2.54,0.33,0.0,3.84,1.44,5.62,0.45亿,0.87亿,11.53亿,140.80
17,5,300484,蓝海华腾,21.99,2.18,0.47,-0.05,7.71,1.3,3.72,2.81亿,1.64亿,36.14亿,164.06
18,6,603583,捷昌驱动,26.21,1.59,0.41,0.0,5.25,1.4,5.0,5.29亿,3.82亿,100.19亿,25.71
19,7,301320,豪江智能,15.75,1.42,0.22,0.06,3.69,0.61,3.48,0.40亿,0.68亿,10.66亿,48.49
20,8,603025,大豪科技,16.06,1.26,0.2,0.13,0.97,1.21,3.66,1.73亿,11.09亿,178.13亿,27.15
21,9,688125,安达智能,40.5,1.25,0.5,-0.1,1.86,0.86,5.97,0.17亿,0.22亿,8.84亿,--
22,10,603275,众辰科技,36.1,0.92,0.33,0.08,2.96,1.08,3.63,0.45亿,0.42亿,15.23亿,25.01
23,11,603015,弘讯科技,10.5,0.77,0.08,0.0,3.03,0.61,4.32,1.30亿,4.04亿,42.44亿,64.38
24,12,002184,海得控制,10.62,0.76,0.08,0.0,1.97,0.58,2.66,0.51亿,2.40亿,25.50亿,--
25,13,605288,凯迪股份,34.79,0.69,0.24,-0.32,0.49,0.65,1.5,0.12亿,0.70亿,24.42亿,25.77
26,14,836260,中寰股份,10.23,0.59,0.06,0.0,1.75,0.45,3.05,0.08亿,0.43亿,4.35亿,24.44
27,15,300278,华昌达,6.83,0.15,0.01,0.0,5.17,0.81,4.99,4.96亿,13.90亿,94.94亿,93.86
28,16,002957,科瑞技术,16.43,0.06,0.01,0.0,2.06,1.19,2.8,1.40亿,4.10亿,67.37亿,30.71
29,17,688570,天玛智控,19.99,-0.05,-0.01,0.0,0.64,1.06,1.75,0.24亿,1.86亿,37.18亿,23.16
30,18,831305,海希通讯,14.95,-0.13,-0.02,0.0,0.66,0.7,3.07,0.11亿,1.10亿,16.46亿,35.64
31,19,688395,正弦电气,17.73,-0.51,-0.09,-0.39,0.61,0.94,2.64,0.09亿,0.87亿,15.35亿,37.55
32,20,301418,协昌科技,35.25,-0.82,-0.29,0.11,3.4,0.87,1.83,0.36亿,0.29亿,10.38亿,51.09
