,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,000863,三湘印象,4.69,10.09,0.43,0.0,4.64,1.16,13.38,2.38亿,11.64亿,54.57亿,63.63
1,2,000031,大悦城,3.9,7.14,0.26,-0.26,4.45,3.23,14.84,6.81亿,40.03亿,156.11亿,--
2,3,600185,格力地产,8.28,2.86,0.23,0.0,4.81,1.67,5.96,7.41亿,18.85亿,156.08亿,--
3,4,000909,ST数源,6.72,2.13,0.14,-0.15,1.76,0.95,3.8,0.51亿,4.38亿,29.41亿,45.78
4,5,000886,海南高速,7.19,1.41,0.1,0.0,5.0,1.11,4.65,3.52亿,9.78亿,70.31亿,133.35
5,6,600724,宁波富达,6.56,1.39,0.09,0.0,2.08,0.75,7.57,2.00亿,14.45亿,94.79亿,44.44
6,7,600604,市北高新,5.77,1.23,0.07,0.35,6.93,2.23,8.95,5.60亿,14.07亿,81.21亿,--
7,8,600736,苏州高新,6.74,0.9,0.06,0.0,7.75,1.69,6.89,6.01亿,11.51亿,77.60亿,24.56
8,9,600846,同济科技,9.6,0.84,0.08,0.1,2.47,1.3,3.57,1.48亿,6.25亿,59.98亿,14.67
9,10,000620,新华联,2.87,0.7,0.02,0.35,9.56,2.97,10.18,11.85亿,41.45亿,118.96亿,151.36
10,11,002016,世荣兆业,8.54,0.47,0.04,0.12,1.28,1.17,4.24,0.88亿,8.09亿,69.10亿,216.57
11,12,600748,上实发展,4.3,0.47,0.02,0.23,4.17,1.11,5.14,3.25亿,18.45亿,79.32亿,--
12,13,600246,万通发展,8.65,-0.46,-0.04,0.0,3.86,0.73,4.6,6.59亿,19.87亿,171.91亿,--
13,14,001914,招商积余,11.25,-1.05,-0.12,-0.44,1.25,1.24,2.73,1.50亿,10.60亿,119.29亿,14.43
14,15,600708,光明地产,4.47,-1.11,-0.05,-0.22,3.69,1.06,6.2,3.76亿,22.25亿,99.47亿,--
15,16,600325,华发股份,6.64,-1.63,-0.11,0.3,2.75,1.58,3.56,4.65亿,25.71亿,170.73亿,10.30
16,17,603506,南都物业,10.07,-1.76,-0.18,0.4,2.03,0.8,3.42,0.38亿,1.88亿,18.91亿,23.51
17,18,600854,春兰股份,5.37,-1.83,-0.1,0.0,2.46,0.9,3.66,0.69亿,5.19亿,27.89亿,15.60
18,19,000656,*ST金科,1.56,-1.89,-0.03,-0.64,1.76,0.76,1.89,1.47亿,53.12亿,82.86亿,--
19,20,600007,中国国贸,23.43,-2.13,-0.51,0.43,1.61,2.81,6.06,3.87亿,10.07亿,236.01亿,17.38
20,21,600773,西藏城投,12.74,-2.15,-0.28,0.0,2.0,0.97,3.3,2.47亿,9.52亿,121.23亿,--
