,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,600569,安阳钢铁,2.31,10.0,0.21,0.0,1.89,0.94,0.0,1.26亿,28.72亿,66.35亿,--
1,2,600231,凌钢股份,2.12,-0.94,-0.02,-0.47,1.93,1.66,7.48,1.18亿,28.19亿,59.77亿,--
2,3,600282,南钢股份,4.5,-1.32,-0.06,-0.44,1.28,1.68,2.41,3.59亿,61.65亿,277.43亿,11.87
3,4,600782,新钢股份,3.91,-1.51,-0.06,1.3,2.7,1.36,3.53,3.31亿,31.46亿,123.00亿,--
4,5,600126,杭钢股份,4.35,-2.03,-0.09,0.23,0.95,0.75,2.7,1.40亿,33.77亿,146.91亿,--
5,6,600019,宝钢股份,6.75,-2.03,-0.14,-0.3,0.46,1.19,2.18,6.83亿,218.58亿,1475.41亿,18.92
6,7,600010,包钢股份,2.01,-2.43,-0.05,-0.5,2.02,0.62,3.88,12.89亿,314.97亿,633.09亿,--
7,8,000778,新兴铸管,3.99,-2.44,-0.1,0.0,1.59,0.91,2.44,2.49亿,38.96亿,155.46亿,24.70
8,9,601686,友发集团,5.83,-2.51,-0.15,0.17,0.44,0.99,3.01,0.37亿,14.32亿,83.48亿,62.33
9,10,600581,八一钢铁,3.45,-2.54,-0.09,0.0,1.98,0.68,4.24,1.06亿,15.33亿,52.88亿,--
10,11,000959,首钢股份,3.25,-2.69,-0.09,0.0,0.76,1.02,2.99,1.62亿,65.07亿,211.49亿,93.04
11,12,000761,本钢板材,3.57,-2.73,-0.1,0.28,0.42,0.91,4.09,0.56亿,37.08亿,132.38亿,--
12,13,000932,华菱钢铁,4.55,-3.19,-0.15,-0.22,1.83,1.3,3.19,5.79亿,69.09亿,314.34亿,13.31
13,14,000709,河钢股份,2.33,-3.32,-0.08,0.0,1.18,0.72,4.15,2.87亿,103.35亿,240.81亿,31.76
14,15,000898,鞍钢股份,2.59,-3.36,-0.09,-0.39,0.71,0.84,3.73,1.49亿,79.57亿,206.09亿,--
15,16,601005,重庆钢铁,1.63,-3.55,-0.06,0.0,3.32,0.74,5.92,4.61亿,83.80亿,136.60亿,--
16,17,600022,山东钢铁,1.61,-3.59,-0.06,0.0,3.37,1.15,7.19,5.91亿,106.99亿,172.25亿,--
17,18,600307,酒钢宏兴,1.81,-3.72,-0.07,0.56,1.87,0.64,4.79,2.15亿,62.63亿,113.37亿,--
18,19,601003,柳钢股份,3.06,-3.77,-0.12,0.0,0.9,1.12,4.72,0.71亿,25.63亿,78.42亿,--
19,20,002110,三钢闽光,3.58,-4.02,-0.15,0.0,2.56,1.46,4.83,2.25亿,24.29亿,86.96亿,--
20,21,603878,武进不锈,6.32,-4.39,-0.29,0.32,4.27,1.61,4.84,1.53亿,5.61亿,35.46亿,15.59
21,22,000717,中南股份,3.68,-4.66,-0.18,0.0,12.19,0.8,11.92,10.97亿,24.24亿,89.19亿,--
22,23,600808,马钢股份,2.65,-4.68,-0.13,0.0,3.18,1.09,5.75,5.10亿,59.68亿,158.15亿,--
