,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,601216,君正集团,5.63,9.96,0.51,0.0,4.3,1.86,9.77,19.81亿,84.38亿,475.06亿,15.91
1,2,002386,天原股份,4.8,2.78,0.13,-0.21,1.85,1.12,3.64,1.14亿,13.01亿,62.47亿,--
2,3,600935,华塑股份,3.03,2.71,0.08,0.33,2.2,1.05,5.76,2.32亿,35.07亿,106.27亿,--
3,4,601678,滨化股份,4.1,2.24,0.09,0.0,1.92,1.46,3.74,1.60亿,20.58亿,84.38亿,33.44
4,5,600075,新疆天业,4.58,2.0,0.09,0.22,0.77,1.18,2.45,0.60亿,17.07亿,78.20亿,581.24
5,6,600618,氯碱化工,9.75,1.67,0.16,0.1,0.91,1.09,3.02,0.66亿,7.50亿,73.11亿,13.94
6,7,601568,北元集团,4.56,1.56,0.07,0.0,0.48,1.11,1.78,0.87亿,39.72亿,181.13亿,56.64
7,8,002748,ST世龙,7.32,0.97,0.07,0.14,1.85,1.63,3.45,0.33亿,2.40亿,17.57亿,56.09
8,9,000635,英力特,8.57,0.94,0.08,0.0,1.7,0.81,2.94,0.44亿,3.03亿,25.97亿,--
9,10,603213,镇洋发展,9.98,0.4,0.04,-0.1,1.73,0.42,1.71,0.75亿,4.35亿,43.39亿,21.79
10,11,600319,亚星化学,5.39,0.19,0.01,0.0,1.96,1.48,6.51,0.34亿,3.16亿,17.01亿,--
11,12,002092,ST中泰,4.61,-0.22,-0.01,-0.22,1.03,1.19,1.73,1.22亿,25.76亿,118.74亿,--
12,13,000818,航锦科技,19.51,-1.36,-0.27,-0.05,2.52,1.02,2.73,3.35亿,6.77亿,132.15亿,243.90
13,14,000510,新金路,4.52,-3.83,-0.18,0.0,14.6,1.93,5.53,3.71亿,5.67亿,25.64亿,--
