,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,300961,深水海纳,15.44,8.2,1.17,0.33,20.32,1.15,9.95,4.63亿,1.51亿,23.32亿,--
1,2,301127,天源环保,17.55,3.72,0.63,0.23,10.63,1.09,10.46,7.26亿,3.93亿,68.98亿,44.41
2,3,688069,德林海,17.42,1.87,0.32,0.23,1.56,2.71,7.54,0.31亿,1.13亿,19.68亿,52.36
3,4,300774,倍杰特,10.02,1.31,0.13,-0.2,5.93,2.04,6.17,1.16亿,1.95亿,19.53亿,19.90
4,5,300388,节能国祯,8.35,-0.24,-0.02,0.0,1.88,0.63,1.67,1.07亿,6.79亿,56.70亿,16.51
5,6,003039,顺控发展,14.41,-0.35,-0.05,-0.07,1.81,2.35,4.08,1.64亿,6.18亿,88.98亿,32.62
6,7,000605,渤海股份,8.81,-0.79,-0.07,0.0,4.76,0.73,2.03,1.41亿,3.33亿,29.31亿,192.70
7,8,603200,上海洗霸,24.69,-1.08,-0.27,0.0,3.87,0.98,3.08,1.70亿,1.75亿,43.33亿,67.13
8,9,601199,江南水务,5.82,-1.36,-0.08,0.17,0.88,0.72,1.36,0.48亿,9.35亿,54.43亿,15.03
9,10,301203,国泰环保,30.97,-1.53,-0.48,0.0,1.95,0.75,2.51,0.27亿,0.44亿,13.58亿,18.36
10,11,002778,中晟高科,18.13,-1.57,-0.29,0.0,3.89,0.71,3.1,0.87亿,1.23亿,22.38亿,--
11,12,300929,华骐环保,10.3,-1.72,-0.18,0.0,2.79,0.96,2.39,0.36亿,1.23亿,12.68亿,--
12,13,603817,海峡环保,6.17,-1.75,-0.11,0.16,1.43,0.84,2.55,0.48亿,5.34亿,32.97亿,14.47
13,14,601158,重庆水务,4.99,-1.77,-0.09,-0.2,0.45,1.39,3.35,1.08亿,48.00亿,239.52亿,24.63
14,15,600461,洪城环境,9.42,-1.77,-0.17,0.11,2.32,1.57,2.09,2.61亿,11.86亿,111.72亿,9.75
15,16,300692,中环环保,7.02,-1.82,-0.13,0.0,6.6,1.5,5.32,1.78亿,3.75亿,26.30亿,30.02
16,17,688466,金科环境,15.36,-1.92,-0.3,0.07,0.54,0.78,2.55,0.10亿,1.23亿,18.91亿,31.33
17,18,600874,创业环保,6.13,-1.92,-0.12,0.16,0.92,0.81,2.08,0.70亿,12.30亿,75.42亿,10.66
18,19,300899,上海凯鑫,24.77,-2.06,-0.52,-0.08,4.92,0.89,2.37,0.50亿,0.41亿,10.14亿,166.38
19,20,601368,绿城水务,5.18,-2.08,-0.11,0.0,0.85,0.88,2.46,0.39亿,8.83亿,45.74亿,25.59
20,21,000598,兴蓉环境,7.08,-2.21,-0.16,0.0,0.69,1.14,2.35,1.47亿,29.75亿,210.62亿,9.75
21,22,603797,联泰环保,4.46,-2.41,-0.11,-0.22,1.54,0.9,2.41,0.40亿,5.84亿,26.05亿,11.73
22,23,301148,嘉戎技术,20.45,-2.48,-0.52,0.0,5.1,0.76,2.62,0.40亿,0.38亿,7.87亿,34.03
23,24,300172,中电环保,5.78,-2.53,-0.15,0.35,6.33,0.83,2.53,1.93亿,5.24亿,30.26亿,34.71
24,25,301519,舜禹股份,14.21,-2.54,-0.37,0.07,4.04,0.6,2.4,0.45亿,0.78亿,11.07亿,128.59
25,26,301372,科净源,24.35,-2.68,-0.67,0.21,5.66,0.91,2.92,0.57亿,0.41亿,9.96亿,--
26,27,600168,武汉控股,5.01,-2.72,-0.14,0.0,1.47,1.08,2.91,0.74亿,9.93亿,49.77亿,51.36
27,28,300425,中建环能,5.67,-2.74,-0.16,-0.18,2.3,0.61,2.92,0.89亿,6.79亿,38.48亿,123.91
28,29,000544,中原环保,8.8,-2.76,-0.25,0.0,0.76,1.12,2.32,0.65亿,9.75亿,85.77亿,6.45
29,30,300422,博世科,5.24,-2.78,-0.15,0.19,1.97,1.03,3.52,0.54亿,5.17亿,27.07亿,--
30,31,000685,中山公用,9.06,-3.1,-0.29,0.0,1.63,0.94,2.78,1.86亿,12.54亿,113.61亿,9.81
31,32,603759,海天股份,7.67,-3.16,-0.25,0.0,1.61,0.49,3.91,0.58亿,4.62亿,35.42亿,18.37
32,33,688565,力源科技,7.05,-3.16,-0.23,0.28,1.6,0.68,3.85,0.17亿,1.50亿,10.56亿,--
33,34,688057,金达莱,12.08,-3.21,-0.4,0.08,0.8,1.83,3.29,0.27亿,2.76亿,33.34亿,23.15
34,35,300070,碧水源,5.66,-3.58,-0.21,-0.18,1.73,0.86,3.41,3.41亿,34.35亿,194.41亿,--
35,36,300664,鹏鹞环保,5.82,-3.64,-0.22,0.0,3.98,0.92,3.48,1.77亿,7.52亿,43.78亿,15.83
36,37,603291,联合水务,11.1,-3.65,-0.42,-0.27,3.54,1.03,3.47,0.52亿,1.30亿,14.42亿,27.14
37,38,600283,钱江水利,9.91,-3.69,-0.38,0.1,2.46,1.08,3.5,1.22亿,4.94亿,48.97亿,22.20
38,39,688096,京源环保,8.37,-3.9,-0.34,0.36,1.21,1.28,5.17,0.16亿,1.52亿,12.75亿,--
39,40,600769,祥龙电业,11.29,-3.92,-0.46,0.0,3.23,0.54,4.6,1.39亿,3.75亿,42.33亿,275.09
40,41,688101,三达膜,14.17,-3.93,-0.58,0.0,1.12,1.28,3.86,0.53亿,3.32亿,47.05亿,16.61
41,42,600187,国中水务,4.17,-4.36,-0.19,0.0,5.72,0.72,4.36,3.92亿,16.14亿,67.29亿,560.92
42,43,603903,中持股份,7.76,-4.43,-0.36,0.26,14.18,3.06,5.67,2.25亿,2.02亿,15.70亿,--
43,44,605081,太和水,13.36,-4.57,-0.64,-0.22,4.49,0.9,4.57,0.69亿,1.13亿,15.13亿,--
