,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,600678,四川金顶,8.24,3.65,0.29,0.0,26.02,2.26,10.57,7.70亿,3.49亿,28.76亿,--
1,2,601992,金隅集团,2.06,3.52,0.07,0.0,1.43,1.59,4.52,2.44亿,83.34亿,171.68亿,--
2,3,000401,冀东水泥,5.93,2.95,0.17,0.0,1.5,1.61,3.65,1.37亿,15.47亿,91.75亿,--
3,4,002671,龙泉股份,5.11,2.82,0.14,0.0,4.43,1.75,4.02,1.25亿,5.52亿,28.23亿,27.24
4,5,003037,三和管桩,6.58,2.65,0.17,-0.15,5.54,1.46,2.81,0.73亿,2.01亿,13.23亿,141.88
5,6,600326,西藏天路,7.95,2.58,0.2,-0.13,8.66,1.61,5.42,8.97亿,13.02亿,103.55亿,--
6,7,002233,塔牌集团,7.78,2.37,0.18,0.13,1.35,1.42,2.5,1.24亿,11.91亿,92.70亿,18.26
7,8,600449,宁夏建材,14.98,2.32,0.34,0.0,2.46,1.11,4.78,1.75亿,4.78亿,71.63亿,31.45
8,9,600802,福建水泥,4.4,2.09,0.09,0.0,3.27,0.93,3.02,0.66亿,4.58亿,20.16亿,--
9,10,605122,四方新材,11.79,1.64,0.19,0.09,1.67,0.82,1.9,0.34亿,1.72亿,20.32亿,140.12
10,11,000672,上峰水泥,8.19,1.61,0.13,0.12,0.64,0.87,2.11,0.51亿,9.69亿,79.39亿,14.72
11,12,600425,青松建化,4.14,1.47,0.06,0.24,2.4,1.44,2.45,1.36亿,13.79亿,57.08亿,12.29
12,13,600801,华新水泥,12.92,1.33,0.17,0.08,1.17,0.58,1.8,2.02亿,13.44亿,173.68亿,17.70
13,14,600585,海螺水泥,25.85,0.98,0.25,-0.04,0.37,0.89,1.29,3.85亿,40.00亿,1033.92亿,19.76
14,15,002302,西部建设,7.38,0.96,0.07,0.0,1.84,0.79,2.05,1.71亿,12.62亿,93.16亿,721.15
15,16,600668,尖峰集团,10.85,0.93,0.1,0.19,1.28,1.07,1.49,0.48亿,3.44亿,37.33亿,39.68
16,17,000789,万年青,5.7,0.71,0.04,0.18,1.79,0.83,2.47,0.82亿,7.97亿,45.45亿,488.51
17,18,000877,天山股份,6.51,0.46,0.03,0.0,0.55,0.77,1.85,0.66亿,18.22亿,118.62亿,--
18,19,000935,四川双马,16.59,0.06,0.01,0.0,0.82,0.68,2.47,1.04亿,7.63亿,126.66亿,38.84
19,20,002596,海南瑞泽,3.36,0.0,0.0,-0.3,9.96,1.08,5.06,3.41亿,10.23亿,34.36亿,--
20,21,002205,国统股份,9.39,-0.53,-0.05,0.11,5.05,1.5,3.5,0.89亿,1.86亿,17.45亿,--
21,22,603616,韩建河山,4.43,-4.94,-0.23,0.0,14.56,2.01,5.37,2.49亿,3.81亿,16.89亿,--
