,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,920088,科力股份,27.89,-0.04,-0.01,0.0,6.82,0.5,2.65,0.38亿,0.20亿,5.56亿,54.32
1,2,002629,仁智股份,4.64,-0.85,-0.04,0.0,14.83,0.85,10.04,2.41亿,3.45亿,16.03亿,--
2,3,601808,中海油服,14.98,-1.06,-0.16,0.0,0.32,1.16,1.32,1.44亿,29.60亿,443.48亿,21.93
3,4,002828,贝肯能源,9.75,-1.91,-0.19,0.0,4.76,0.63,1.71,0.90亿,1.92亿,18.75亿,60.39
4,5,600968,海油发展,4.02,-1.95,-0.08,0.0,0.45,1.16,2.19,1.85亿,101.65亿,408.64亿,11.40
5,6,002207,准油股份,6.19,-2.06,-0.13,0.16,2.9,0.65,2.06,0.47亿,2.61亿,16.14亿,--
6,7,600583,海油工程,5.44,-2.33,-0.13,-0.18,0.83,1.18,2.33,2.01亿,44.21亿,240.52亿,10.34
7,8,300164,通源石油,4.79,-2.44,-0.12,-0.21,5.34,0.68,2.65,1.51亿,5.86亿,28.05亿,44.12
8,9,600871,石化油服,2.15,-3.15,-0.07,0.0,0.83,0.83,3.6,2.46亿,135.69亿,291.74亿,45.26
9,10,002554,惠博普,3.0,-3.54,-0.11,0.0,2.27,0.73,4.5,0.93亿,13.47亿,40.40亿,--
10,11,603727,博迈科,12.37,-3.66,-0.47,0.24,2.42,1.68,4.21,0.85亿,2.82亿,34.85亿,27.65
11,12,300191,潜能恒信,13.92,-4.07,-0.59,0.14,2.27,1.23,4.2,0.71亿,2.21亿,30.79亿,--
12,13,600339,中油工程,3.69,-4.16,-0.16,-0.27,1.12,1.11,4.16,2.35亿,55.83亿,206.02亿,24.44
13,14,603619,中曼石油,20.05,-4.98,-1.05,-0.2,3.81,2.4,4.69,3.10亿,4.00亿,80.20亿,10.40
