,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,601000,唐山港,4.53,1.34,0.06,0.0,1.81,2.09,3.13,4.82亿,59.26亿,268.44亿,12.73
1,2,600018,上港集团,6.05,-0.66,-0.04,0.17,0.21,1.26,1.64,3.03亿,232.15亿,1404.48亿,8.94
2,3,000507,珠海港,5.82,-1.19,-0.07,0.17,3.4,0.99,2.72,1.79亿,9.02亿,52.52亿,16.81
3,4,601018,宁波港,3.88,-1.27,-0.05,0.0,0.45,1.75,2.54,2.78亿,158.07亿,613.33亿,13.78
4,5,000088,盐田港,5.0,-2.15,-0.11,-0.2,0.7,1.08,1.96,0.80亿,22.49亿,112.46亿,19.42
5,6,001872,招商港口,19.91,-2.16,-0.44,-0.35,0.52,1.5,2.26,1.80亿,17.44亿,347.29亿,10.00
6,7,600190,ST锦港,1.8,-2.17,-0.04,0.56,1.06,0.87,2.17,0.34亿,17.79亿,32.03亿,--
7,8,601228,广州港,3.52,-2.22,-0.08,-0.28,0.45,0.99,3.06,1.21亿,75.45亿,265.57亿,24.34
8,9,600717,天津港,5.0,-2.53,-0.13,0.2,1.15,1.23,3.51,1.67亿,28.94亿,144.70亿,12.15
9,10,601008,连云港,4.07,-2.63,-0.11,0.0,1.23,0.91,2.63,0.63亿,12.41亿,50.49亿,26.43
10,11,000905,厦门港务,6.73,-2.75,-0.19,-0.15,1.49,0.97,2.75,0.75亿,7.42亿,49.92亿,19.72
11,12,000582,北部湾港,7.66,-2.92,-0.23,0.0,1.57,1.49,2.66,2.15亿,17.61亿,134.91亿,14.29
12,13,600017,日照港,3.33,-2.92,-0.1,0.0,1.48,0.81,2.92,1.53亿,30.76亿,102.42亿,12.09
13,14,601326,秦港股份,3.44,-3.1,-0.11,-0.29,0.73,1.11,3.1,1.21亿,47.58亿,163.66亿,10.77
14,15,601298,青岛港,8.19,-3.19,-0.27,-0.49,0.78,1.78,2.96,3.47亿,53.92亿,441.61亿,10.14
15,16,600279,重庆港,5.33,-3.27,-0.18,0.0,1.4,0.64,3.27,0.90亿,11.87亿,63.26亿,63.59
16,17,601880,辽港股份,1.7,-3.41,-0.06,0.0,1.5,0.77,3.98,4.83亿,187.47亿,318.69亿,32.24
17,18,002040,南京港,6.94,-3.88,-0.28,-0.14,2.68,1.12,3.88,0.91亿,4.84亿,33.59亿,20.55
