,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,002008,大族激光,27.19,2.92,0.77,0.0,5.19,1.47,7.0,13.81亿,9.79亿,266.27亿,15.05
1,2,688167,炬光科技,68.04,1.34,0.9,0.24,4.21,1.03,3.86,1.96亿,0.69亿,46.80亿,--
2,3,300747,锐科激光,21.26,1.29,0.27,0.0,2.48,1.27,3.33,2.67亿,5.09亿,108.27亿,75.05
3,4,000988,华工科技,37.4,1.19,0.44,0.0,3.34,1.03,2.79,12.53亿,10.05亿,375.87亿,30.08
4,5,688170,德龙激光,26.18,0.96,0.25,0.0,3.54,1.15,5.48,0.73亿,0.80亿,20.84亿,--
5,6,688025,杰普特,52.05,0.85,0.44,0.06,1.93,0.92,3.78,0.95亿,0.95亿,49.47亿,35.92
6,7,688646,逸飞激光,38.36,0.73,0.28,0.03,4.18,1.25,3.47,0.90亿,0.56亿,21.54亿,49.26
7,8,300227,光韵达,9.67,0.0,0.0,0.0,4.4,0.6,3.0,1.75亿,4.13亿,39.90亿,110.64
8,9,688518,联赢激光,20.49,-0.05,-0.01,0.59,3.17,1.1,4.34,2.17亿,3.41亿,69.92亿,55.34
9,10,300220,金运激光,17.32,-0.63,-0.11,0.64,9.89,0.51,3.9,2.57亿,1.51亿,26.16亿,1920.50
10,11,688559,海目星,40.65,-1.33,-0.55,0.0,2.78,0.81,4.05,2.33亿,2.07亿,83.98亿,44.91
11,12,301021,英诺激光,32.07,-2.49,-0.82,0.03,5.49,0.69,4.93,2.67亿,1.51亿,48.58亿,4231.11
