,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,600408,安泰集团,2.43,4.74,0.11,0.0,4.13,2.01,6.04,1.00亿,10.07亿,24.47亿,--
1,2,600726,华电能源,2.52,4.56,0.11,0.0,3.42,2.69,6.22,2.34亿,27.47亿,69.23亿,33.01
2,3,000552,甘肃能化,2.93,3.53,0.1,0.0,6.09,3.1,4.59,6.61亿,37.26亿,109.17亿,11.40
3,4,600121,郑州煤电,4.77,3.47,0.16,0.21,5.77,1.24,5.42,3.32亿,12.18亿,58.12亿,335.01
4,5,600997,开滦股份,7.39,2.92,0.21,0.0,1.36,1.86,3.62,1.57亿,15.88亿,117.34亿,13.58
5,6,600397,安源煤业,2.86,2.88,0.08,0.35,3.03,1.51,3.24,0.85亿,9.90亿,28.31亿,--
6,7,601918,新集能源,8.01,2.69,0.21,0.13,1.65,1.69,3.33,3.40亿,25.91亿,207.50亿,8.53
7,8,601001,晋控煤业,14.87,2.34,0.34,0.0,1.56,1.61,2.82,3.84亿,16.74亿,248.88亿,8.68
8,9,600758,辽宁能源,3.82,2.14,0.08,0.0,1.63,1.33,2.94,0.82亿,13.21亿,50.45亿,63.37
9,10,600792,云煤能源,3.91,2.09,0.08,0.0,2.37,1.39,3.13,0.98亿,10.60亿,41.44亿,--
10,11,600395,盘江股份,5.46,2.06,0.11,0.0,1.18,1.31,2.06,1.38亿,21.47亿,117.21亿,249.83
11,12,601011,宝泰隆,3.42,1.79,0.06,0.0,24.76,2.95,10.12,16.92亿,19.16亿,65.52亿,--
12,13,600985,淮北矿业,14.91,1.77,0.26,0.0,1.09,1.23,2.32,4.39亿,26.93亿,401.56亿,7.28
13,14,600403,大有能源,3.46,1.76,0.06,-0.29,0.49,1.13,3.53,0.40亿,23.91亿,82.72亿,--
14,15,600508,上海能源,13.7,1.33,0.18,-0.07,1.65,1.7,2.81,1.63亿,7.23亿,99.01亿,11.87
15,16,600971,恒源煤电,9.65,1.26,0.12,0.0,1.22,1.25,1.78,1.40亿,12.00亿,115.80亿,9.19
16,17,000983,山西焦煤,8.25,1.1,0.09,0.12,0.94,1.25,1.59,3.61亿,46.40亿,382.82亿,12.34
17,18,601015,陕西黑猫,3.72,1.09,0.04,0.0,1.62,1.38,2.72,1.22亿,20.43亿,75.98亿,--
18,19,601088,中国神华,42.34,1.0,0.42,0.21,0.16,0.81,1.86,11.25亿,164.91亿,6982.31亿,13.69
19,20,600740,山西焦化,4.35,0.93,0.04,0.0,1.06,1.34,2.09,1.18亿,25.62亿,111.45亿,33.08
20,21,002128,电投能源,20.36,0.79,0.16,-0.05,0.38,0.74,1.39,1.74亿,22.42亿,456.38亿,7.78
21,22,600188,兖矿能源,14.93,0.61,0.09,0.07,0.39,0.82,1.35,3.44亿,58.87亿,878.96亿,9.86
22,23,601101,昊华能源,9.09,0.55,0.05,0.11,1.02,0.79,1.44,1.33亿,14.40亿,130.90亿,8.77
23,24,600925,苏能股份,5.52,0.55,0.03,0.0,0.77,1.38,1.27,0.68亿,16.06亿,88.65亿,22.78
24,25,000571,新大洲A,3.77,0.53,0.02,0.27,2.48,0.67,3.2,0.76亿,8.14亿,30.69亿,--
25,26,600348,华阳股份,7.56,0.53,0.04,0.0,0.79,0.96,1.06,2.15亿,36.08亿,272.73亿,11.24
26,27,000723,美锦能源,5.14,0.39,0.02,-0.19,1.69,1.11,2.54,3.71亿,43.04亿,221.22亿,--
27,28,601699,潞安环能,15.06,0.13,0.02,0.0,0.53,0.82,1.06,2.38亿,29.91亿,450.51亿,12.07
28,29,000937,冀中能源,6.59,0.0,0.0,0.0,0.72,0.57,1.67,1.62亿,34.33亿,226.26亿,14.38
29,30,600123,兰花科创,8.97,-0.11,-0.01,0.0,1.61,0.87,1.0,2.15亿,14.85亿,133.22亿,14.14
30,31,601898,中煤能源,13.0,-0.46,-0.06,0.08,0.23,0.69,1.91,2.78亿,91.52亿,1189.76亿,8.85
31,32,601666,平煤股份,10.42,-0.48,-0.05,0.1,1.37,0.8,1.24,3.54亿,24.69亿,257.31亿,9.46
32,33,600546,山煤国际,12.98,-0.61,-0.08,0.0,0.91,0.81,1.99,2.35亿,19.82亿,257.32亿,9.27
33,34,601225,陕西煤业,24.79,-0.64,-0.16,0.0,0.32,0.79,1.56,7.62亿,96.95亿,2403.39亿,11.31
