,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,600580,卧龙电驱,18.9,6.3,1.12,1.12,20.73,2.37,12.21,50.77亿,13.03亿,246.20亿,28.93
1,2,600416,湘电股份,11.27,3.97,0.43,-0.09,2.33,2.65,5.07,3.47亿,13.25亿,149.37亿,66.76
2,3,002249,大洋电机,6.06,3.94,0.23,-0.17,7.72,2.85,6.17,8.47亿,18.28亿,110.79亿,16.53
3,4,000922,佳电股份,11.33,2.53,0.28,0.0,1.77,1.69,3.26,1.17亿,5.87亿,66.52亿,24.43
4,5,300626,华瑞股份,9.64,2.01,0.19,-0.1,2.69,0.74,3.49,0.46亿,1.78亿,17.15亿,78.34
5,6,002196,方正电机,5.78,1.94,0.11,-0.17,3.59,0.61,4.41,1.02亿,4.90亿,28.30亿,240291.00
6,7,603344,星德胜,25.08,1.87,0.46,0.0,10.56,1.2,3.37,1.29亿,0.49亿,12.20亿,26.46
7,8,300907,康平科技,21.73,1.83,0.39,0.05,1.18,0.79,3.94,0.25亿,0.96亿,20.86亿,23.06
8,9,002801,微光股份,25.4,1.68,0.42,0.04,1.89,1.17,3.24,0.56亿,1.16亿,29.41亿,18.84
9,10,002576,通达动力,17.3,1.41,0.24,0.12,21.97,1.51,8.15,6.23亿,1.62亿,28.03亿,48.47
10,11,301502,华阳智能,47.09,1.14,0.53,0.11,15.13,0.93,3.42,1.01亿,0.14亿,6.72亿,80.02
11,12,002892,科力尔,16.36,0.61,0.1,0.12,7.29,0.75,4.37,4.76亿,3.96亿,64.87亿,107.72
12,13,603320,迪贝电气,14.72,0.55,0.08,0.0,1.1,0.55,1.98,0.21亿,1.32亿,19.49亿,25.82
13,14,603489,八方股份,26.24,0.0,0.0,0.0,1.61,0.56,3.09,1.01亿,2.35亿,61.67亿,90.23
14,15,603988,中电电机,25.99,-0.12,-0.03,0.0,4.39,0.84,4.65,2.64亿,2.35亿,61.13亿,--
15,16,002823,凯中精密,14.52,-0.28,-0.04,0.14,2.21,0.91,1.79,0.70亿,2.16亿,31.42亿,30.84
16,17,603819,神力股份,13.66,-0.66,-0.09,-0.07,2.46,1.01,3.85,0.73亿,2.18亿,29.74亿,--
17,18,301023,江南奕帆,49.8,-0.76,-0.38,0.0,2.6,0.78,3.17,0.39亿,0.30亿,14.85亿,29.02
18,19,301226,祥明智能,23.97,-1.16,-0.28,-0.13,3.95,0.82,2.72,0.47亿,0.49亿,11.76亿,96.17
19,20,300660,江苏雷利,41.2,-2.04,-0.86,0.07,4.91,0.86,4.18,6.50亿,3.19亿,131.49亿,40.97
20,21,003021,兆威机电,75.48,-2.58,-2.0,0.0,4.06,0.81,5.74,6.38亿,2.06亿,155.64亿,85.43
21,22,603728,鸣志电器,57.89,-4.66,-2.83,0.0,2.98,0.93,3.84,7.34亿,4.19亿,242.49亿,384.74
