,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,600983,惠而浦,10.67,10.0,0.97,0.0,3.49,7.04,6.7,2.82亿,7.66亿,81.78亿,115.57
1,2,002418,康盛股份,3.06,4.08,0.12,0.33,9.59,1.79,9.86,3.31亿,11.36亿,34.77亿,--
2,3,000521,长虹美菱,8.91,3.01,0.26,0.0,4.36,1.73,3.93,3.35亿,8.75亿,77.98亿,12.97
3,4,603677,奇精机械,14.3,2.73,0.38,-0.63,2.63,1.11,8.05,0.71亿,1.92亿,27.48亿,39.83
4,5,600690,海尔智家,29.24,2.31,0.66,0.14,0.65,1.16,2.97,11.76亿,62.55亿,1828.82亿,13.58
5,6,000921,海信家电,27.68,1.88,0.51,0.0,1.08,0.93,2.98,2.71亿,9.12亿,252.40亿,10.30
6,7,000333,美的集团,72.85,1.58,1.13,-0.06,0.66,1.24,2.26,33.19亿,68.89亿,5019.00亿,13.20
7,8,002290,禾盛新材,17.56,1.56,0.27,-0.17,1.63,0.92,4.05,0.70亿,2.47亿,43.42亿,38.08
8,9,603112,华翔股份,13.47,1.35,0.18,0.0,0.53,0.77,2.18,0.31亿,4.36亿,58.77亿,13.93
9,10,000404,长虹华意,7.55,1.34,0.1,0.13,1.71,0.87,2.42,0.89亿,6.93亿,52.32亿,10.48
10,11,002011,盾安环境,11.13,1.27,0.14,0.0,2.21,1.43,3.28,2.23亿,9.16亿,101.99亿,13.71
11,12,002668,TCL智家,11.26,1.26,0.14,0.18,1.37,0.88,1.98,1.66亿,10.84亿,122.07亿,11.10
12,13,603150,万朗磁塑,28.96,1.22,0.35,0.04,2.71,1.23,1.92,0.42亿,0.54亿,15.50亿,17.34
13,14,001387,雪祺电气,15.62,1.03,0.16,-0.13,10.16,1.15,4.08,0.70亿,0.44亿,6.94亿,38.17
14,15,002420,毅昌科技,6.36,0.79,0.05,0.0,2.93,0.88,1.43,0.73亿,3.95亿,25.11亿,27.22
15,16,601956,东贝集团,5.51,0.73,0.04,0.18,1.74,0.92,2.01,0.59亿,6.19亿,34.09亿,24.85
16,17,002050,三花智控,24.86,0.65,0.16,-0.04,2.23,0.86,4.78,20.12亿,36.70亿,912.47亿,30.23
17,18,002676,顺威股份,6.93,0.29,0.02,0.0,4.33,0.63,5.5,2.13亿,7.20亿,49.89亿,87.67
18,19,300279,和晶科技,7.27,0.28,0.02,0.14,6.16,0.91,3.59,2.04亿,4.58亿,33.30亿,50.43
19,20,603726,朗迪集团,17.32,0.23,0.04,0.06,2.23,0.71,2.6,0.70亿,1.84亿,31.87亿,18.14
20,21,300160,秀强股份,6.1,0.0,0.0,0.16,1.8,1.04,1.8,0.83亿,7.59亿,46.32亿,19.45
21,22,000651,格力电器,42.27,-0.12,-0.05,-0.05,0.7,1.0,1.3,16.32亿,55.15亿,2331.38亿,8.09
22,23,603578,三星新材,13.6,-0.15,-0.02,0.0,1.68,1.5,2.28,0.41亿,1.80亿,24.53亿,65.63
23,24,603075,热威股份,20.05,-0.2,-0.04,0.0,3.42,0.8,1.49,0.27亿,0.40亿,8.02亿,26.46
24,25,000016,深康佳A,5.2,-0.38,-0.02,0.0,4.22,0.67,3.06,3.49亿,15.97亿,83.02亿,--
25,26,301280,珠城科技,45.66,-0.57,-0.26,0.35,8.19,0.97,3.48,0.99亿,0.26亿,12.06亿,24.77
26,27,300217,东方电热,5.69,-0.7,-0.04,0.0,4.92,0.61,2.79,3.42亿,12.27亿,69.81亿,22.56
