,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,603798,康普顿,9.08,10.06,0.83,0.0,1.77,1.25,10.06,0.40亿,2.56亿,23.29亿,30.37
1,2,600506,统一股份,19.88,10.02,1.81,0.0,12.76,0.78,9.41,3.67亿,1.48亿,29.36亿,107.47
2,3,002476,宝莫股份,4.4,5.77,0.24,0.0,3.5,1.73,9.38,0.94亿,6.12亿,26.93亿,86.43
3,4,000698,沈阳化工,3.47,3.58,0.12,0.0,2.47,0.62,5.08,0.67亿,7.86亿,27.26亿,--
4,5,000637,茂化实华,3.82,3.52,0.13,0.26,2.12,0.95,5.42,0.30亿,3.68亿,14.06亿,--
5,6,002221,东华能源,10.05,3.5,0.34,-0.1,1.58,1.51,4.63,2.30亿,14.61亿,146.82亿,90.50
6,7,300135,宝利国际,4.15,3.23,0.13,0.0,3.21,1.02,3.73,1.22亿,9.22亿,38.25亿,411.27
7,8,600800,渤海化学,3.15,2.94,0.09,-0.32,2.36,0.94,5.23,0.83亿,11.10亿,34.96亿,--
8,9,300839,博汇股份,7.07,2.61,0.18,0.14,1.25,0.85,5.22,0.21亿,2.40亿,16.98亿,--
9,10,300055,万邦达,5.04,2.23,0.11,0.2,1.05,0.73,3.45,0.33亿,6.33亿,31.89亿,620.71
10,11,600688,上海石化,3.06,2.0,0.06,0.0,0.56,1.42,2.33,1.24亿,73.29亿,224.26亿,709.33
11,12,002408,齐翔腾达,5.26,1.54,0.08,0.0,0.49,0.94,2.32,0.71亿,27.51亿,144.71亿,57.08
12,13,000985,大庆华科,19.0,1.28,0.24,-0.73,1.54,0.65,3.68,0.38亿,1.30亿,24.63亿,59.34
13,14,002377,国创高新,3.39,1.19,0.04,0.59,3.99,0.57,5.97,1.24亿,9.07亿,30.74亿,--
14,15,002493,荣盛石化,9.15,0.66,0.06,-0.11,0.16,1.07,1.1,1.39亿,94.98亿,869.09亿,79.26
15,16,002986,宇新股份,12.53,0.64,0.08,0.16,1.49,0.56,2.09,0.56亿,3.00亿,37.60亿,13.73
16,17,000059,华锦股份,4.91,0.61,0.03,0.0,0.79,1.17,2.66,0.62亿,15.99亿,78.53亿,--
17,18,000703,恒逸石化,6.13,0.33,0.02,0.0,0.3,0.88,1.15,0.68亿,36.47亿,223.58亿,73.00
18,19,600346,恒力石化,15.28,0.13,0.02,0.0,0.16,0.77,1.44,1.77亿,70.39亿,1075.57亿,15.80
19,20,000819,岳阳兴长,17.17,-0.23,-0.04,-0.12,0.97,0.72,1.51,0.58亿,3.49亿,59.89亿,65.69
20,21,600028,中国石化,6.65,-0.3,-0.02,0.0,0.14,0.7,2.1,8.75亿,948.42亿,6306.98亿,13.7
21,22,601857,中国石油,8.92,-0.56,-0.05,0.0,0.09,0.72,2.9,12.91亿,1619.22亿,14443.40亿,9.24
