,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,600527,江南高纤,2.59,10.21,0.24,0.0,9.7,0.82,11.06,4.29亿,17.32亿,44.85亿,111.75
1,2,000955,欣龙控股,6.27,4.85,0.29,-0.16,28.15,3.47,15.05,9.36亿,5.38亿,33.74亿,--
2,3,600448,华纺股份,3.18,4.61,0.14,0.32,4.73,1.31,5.26,0.93亿,6.30亿,20.03亿,595.29
3,4,002098,浔兴股份,8.68,3.09,0.26,0.0,1.17,0.9,4.51,0.36亿,3.58亿,31.07亿,13.57
4,5,600987,航民股份,7.4,2.63,0.19,0.14,1.36,1.22,3.75,1.02亿,10.21亿,75.54亿,11.92
5,6,000850,华茂股份,4.7,2.4,0.11,0.0,2.4,0.97,3.49,1.06亿,9.43亿,44.34亿,21.87
6,7,603055,台华新材,11.79,2.25,0.26,0.09,0.68,1.21,3.3,0.70亿,8.85亿,104.39亿,12.73
7,8,002674,兴业科技,10.06,2.13,0.21,0.1,1.28,1.43,2.13,0.37亿,2.89亿,29.06亿,20.07
8,9,605055,迎丰股份,5.52,2.03,0.11,-0.18,1.05,0.51,2.77,0.25亿,4.40亿,24.29亿,63.65
9,10,601599,浙文影业,4.2,1.94,0.08,0.24,3.92,1.01,4.85,1.90亿,11.61亿,48.74亿,26.78
10,11,600493,凤竹纺织,5.94,1.89,0.11,0.0,3.16,1.1,2.57,0.51亿,2.72亿,16.16亿,19.36
11,12,002083,孚日股份,5.14,1.78,0.09,0.2,2.53,0.86,2.38,1.22亿,9.46亿,48.60亿,10.84
12,13,603889,新澳股份,7.08,1.58,0.11,0.14,0.76,1.17,1.86,0.38亿,7.16亿,50.72亿,10.48
13,14,000726,鲁泰A,6.9,1.32,0.09,0.0,1.26,0.74,2.2,0.51亿,5.89亿,40.61亿,14.69
14,15,603073,彩蝶实业,16.29,0.99,0.16,-0.06,3.5,0.81,1.86,0.29亿,0.51亿,8.29亿,21.48
15,16,002394,联发股份,8.1,0.87,0.07,-0.12,2.15,0.61,1.37,0.56亿,3.23亿,26.19亿,15.06
16,17,002144,宏达高科,11.21,0.72,0.08,0.0,2.51,0.71,1.98,0.38亿,1.37亿,15.32亿,22.68
17,18,002003,伟星股份,12.64,0.56,0.07,0.08,1.04,0.53,1.91,1.33亿,10.10亿,127.70亿,17.77
18,19,300819,聚杰微纤,14.83,0.34,0.05,-0.07,3.01,0.56,3.11,0.60亿,1.35亿,19.99亿,28.68
19,20,605189,富春染织,13.75,0.29,0.04,-0.22,0.72,0.65,1.24,0.15亿,1.50亿,20.59亿,14.89
20,21,300577,开润股份,24.71,0.28,0.07,0.04,2.04,0.35,2.11,0.71亿,1.40亿,34.65亿,13.86
21,22,601339,百隆东方,5.57,0.18,0.01,0.0,1.35,0.55,2.34,1.13亿,15.00亿,83.53亿,15.18
22,23,600156,华升股份,5.79,0.17,0.01,0.0,5.66,0.48,4.5,1.32亿,4.02亿,23.28亿,--
23,24,605180,华生科技,13.39,0.15,0.02,0.08,1.52,0.53,1.95,0.34亿,1.69亿,22.63亿,35.96
24,25,300877,金春股份,15.67,0.06,0.01,-0.26,1.39,0.85,2.68,0.26亿,1.20亿,18.80亿,111.66
25,26,301066,万事利,17.36,-0.52,-0.09,0.0,10.77,0.52,4.07,3.57亿,1.89亿,32.77亿,88.34
26,27,300979,华利集团,71.92,-1.11,-0.81,-0.13,0.15,0.75,2.2,1.23亿,11.67亿,839.30亿,22.14
27,28,002042,华孚时尚,4.69,-1.47,-0.07,0.43,3.96,0.75,4.83,3.17亿,17.01亿,79.76亿,125.21
28,29,603130,云中马,22.05,-1.52,-0.34,-0.09,3.58,0.46,2.5,0.41亿,0.51亿,11.26亿,33.84
29,30,873527,夜光明,17.25,-5.63,-1.03,0.0,9.81,0.53,6.07,0.63亿,0.36亿,6.25亿,71.10
