,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,837023,芭薇股份,19.44,10.77,1.89,0.0,26.39,1.92,24.33,1.74亿,0.34亿,6.66亿,43.06
1,2,832982,锦波生物,215.5,4.67,9.61,0.0,1.48,2.06,10.04,1.42亿,0.46亿,98.90亿,27.51
2,3,300740,水羊股份,13.68,3.71,0.49,-0.07,3.71,1.24,5.76,1.78亿,3.57亿,48.89亿,42.23
3,4,300132,青松股份,5.59,3.52,0.19,0.0,3.94,1.26,6.11,1.11亿,5.08亿,28.40亿,67.86
4,5,605009,豪悦护理,41.47,3.47,1.39,0.15,1.81,1.35,4.57,1.15亿,1.55亿,64.14亿,16.4
5,6,300955,嘉亨家化,16.83,3.31,0.54,0.24,4.71,2.5,8.41,0.46亿,0.59亿,9.90亿,573.95
6,7,300896,爱美客,212.9,3.22,6.64,-0.03,1.79,1.26,4.9,7.89亿,2.08亿,443.82亿,30.46
7,8,688363,华熙生物,59.26,2.7,1.56,-0.02,0.6,1.1,3.55,1.68亿,4.82亿,285.44亿,59.13
8,9,603193,润本股份,22.3,2.25,0.49,0.23,2.93,0.81,3.99,0.67亿,1.03亿,23.04亿,25.94
9,10,300856,科思股份,26.79,1.86,0.49,-0.04,1.45,1.08,3.27,1.25亿,3.26亿,87.31亿,13.27
10,11,603630,拉芳家化,13.69,1.86,0.25,0.0,2.75,0.52,5.36,0.83亿,2.25亿,30.83亿,42.32
11,12,002511,中顺洁柔,7.3,1.67,0.12,0.0,0.94,1.13,2.23,0.86亿,12.65亿,92.37亿,132.18
12,13,300957,贝泰妮,49.28,1.5,0.73,-0.04,0.92,1.05,2.64,1.90亿,4.24亿,208.75亿,37.75
13,14,600315,上海家化,17.74,1.37,0.24,0.06,0.73,0.85,2.11,0.86亿,6.72亿,119.25亿,54.97
14,15,300888,稳健医疗,37.15,1.36,0.5,-0.03,2.6,0.75,3.52,1.69亿,1.76亿,65.20亿,29.34
15,16,600223,福瑞达,7.15,1.27,0.09,0.14,1.04,0.88,2.69,0.75亿,10.17亿,72.68亿,31.85
16,17,300886,华业香料,22.28,1.27,0.28,0.0,2.55,1.01,3.36,0.24亿,0.43亿,9.68亿,69.93
17,18,301108,洁雅股份,28.28,1.04,0.29,0.11,1.95,1.05,2.14,0.19亿,0.35亿,9.97亿,49.66
18,19,603983,丸美股份,29.49,1.03,0.3,0.1,0.37,0.52,2.47,0.44亿,4.01亿,118.25亿,37.14
19,20,603605,珀莱雅,92.22,0.91,0.83,0.04,0.58,0.71,2.06,2.12亿,3.95亿,364.64亿,27.43
20,21,301009,可靠股份,9.85,0.82,0.08,0.1,2.26,0.56,2.05,0.29亿,1.31亿,12.86亿,91.00
21,22,300849,锦盛新材,13.34,0.76,0.1,-0.22,2.9,1.14,1.51,0.47亿,1.21亿,16.20亿,1717.09
22,23,603059,倍加洁,24.09,0.63,0.15,0.0,0.98,0.55,2.59,0.24亿,1.00亿,24.20亿,43.47
23,24,300658,延江股份,6.1,0.33,0.02,0.16,3.25,0.54,1.81,0.45亿,2.25亿,13.75亿,45.83
24,25,001328,登康口腔,30.41,0.3,0.09,0.1,2.2,0.51,2.08,0.29亿,0.43亿,13.09亿,33.30
25,26,301371,敷尔佳,36.48,-0.08,-0.03,-0.03,2.66,0.54,1.23,0.57亿,0.59亿,21.38亿,21.31
26,27,002243,力合科创,9.09,-0.11,-0.01,0.11,2.27,0.47,3.08,2.47亿,12.04亿,109.46亿,60.93
27,28,600249,两面针,5.88,-0.34,-0.02,0.0,6.99,0.49,5.59,2.25亿,5.50亿,32.34亿,28.87
28,29,001206,依依股份,17.12,-0.87,-0.15,-0.06,6.48,0.6,2.14,1.18亿,1.06亿,18.20亿,15.73
29,30,003006,百亚股份,24.86,-1.15,-0.29,-0.2,1.03,1.58,3.5,1.10亿,4.29亿,106.56亿,33.56
30,31,301059,金三江,11.43,-1.29,-0.15,0.09,1.23,0.66,2.59,0.29亿,2.07亿,23.63亿,52.60
31,32,000615,ST美谷,3.91,-2.0,-0.08,-0.76,6.87,0.97,7.27,2.12亿,7.62亿,29.81亿,--
32,33,603238,诺邦股份,11.75,-3.45,-0.42,0.0,3.15,1.53,3.78,0.66亿,1.78亿,20.86亿,22.55
