,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,300200,高盟新材,8.71,2.35,0.2,0.0,1.58,1.27,4.23,0.58亿,4.23亿,36.88亿,25.47
1,2,603041,美思德,10.95,1.86,0.2,0.46,0.79,0.76,3.07,0.16亿,1.83亿,20.05亿,19.37
2,3,300848,美瑞新材,16.75,1.58,0.26,-0.06,1.43,1.24,2.91,0.57亿,2.39亿,40.10亿,102.75
3,4,600230,沧州大化,11.09,1.56,0.17,0.27,0.79,0.77,2.47,0.36亿,4.14亿,45.91亿,162.14
4,5,603192,汇得科技,15.51,1.37,0.21,0.0,0.54,0.63,2.68,0.12亿,1.39亿,21.51亿,21.60
5,6,301216,万凯新材,10.43,1.26,0.13,0.0,1.08,1.11,2.52,0.32亿,2.85亿,29.69亿,--
6,7,301090,华润材料,7.33,1.24,0.09,0.14,0.68,0.81,2.07,0.31亿,6.25亿,45.83亿,--
7,8,834261,一诺威,9.87,0.3,0.03,0.0,0.5,0.72,1.73,0.09亿,1.71亿,16.88亿,19.20
8,9,002165,红宝丽,4.63,0.22,0.01,-0.22,4.36,0.59,3.25,1.48亿,7.28亿,33.69亿,55.39
9,10,600309,万华化学,72.99,-0.12,-0.09,0.0,0.53,1.08,1.07,12.13亿,31.40亿,2291.70亿,15.49
