,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,002163,海南发展,9.92,4.97,0.47,0.0,4.16,0.95,8.04,3.31亿,8.04亿,79.71亿,--
1,2,603007,*ST花王,9.12,4.95,0.43,0.0,0.0,0.0,0.0,0.00亿,5.00亿,45.58亿,--
2,3,002047,宝鹰股份,3.28,4.79,0.15,-0.3,3.92,0.59,8.95,1.71亿,13.41亿,43.99亿,--
3,4,002775,文科股份,3.59,4.06,0.14,0.28,2.85,0.92,6.96,0.46亿,4.48亿,16.09亿,271.59
4,5,603030,全筑股份,2.9,3.94,0.11,0.35,2.0,0.84,5.74,0.76亿,13.17亿,38.19亿,--
5,6,600193,创兴资源,3.36,3.38,0.11,0.0,6.16,1.2,7.38,0.88亿,4.25亿,14.29亿,--
6,7,300621,维业股份,9.92,2.58,0.25,0.0,2.63,0.94,5.07,0.51亿,1.96亿,19.46亿,116.28
7,8,002375,亚厦股份,4.0,2.56,0.1,0.0,1.19,1.0,3.85,0.63亿,13.27亿,53.07亿,15.89
8,9,603316,诚邦股份,4.93,2.5,0.12,0.0,2.55,0.64,4.57,0.33亿,2.64亿,13.03亿,--
9,10,002663,普邦股份,2.07,2.48,0.05,-0.48,2.89,0.66,6.44,0.84亿,13.96亿,28.91亿,--
10,11,002830,名雕股份,12.71,2.42,0.3,-0.08,2.24,0.62,4.67,0.19亿,0.67亿,8.50亿,78.95
11,12,605303,园林股份,7.89,2.33,0.18,0.0,2.05,0.95,6.49,0.26亿,1.61亿,12.72亿,--
12,13,002620,瑞和股份,3.71,2.2,0.08,0.27,2.58,0.44,4.41,0.30亿,3.15亿,11.69亿,--
13,14,603828,ST柯利达,2.88,2.13,0.06,0.0,0.99,1.38,6.03,0.17亿,5.96亿,17.16亿,76.00
14,15,002789,建艺集团,9.76,2.09,0.2,-0.2,7.09,0.83,5.86,0.91亿,1.31亿,12.83亿,280.18
15,16,301098,金埔园林,8.15,2.0,0.16,0.0,2.23,0.67,2.88,0.27亿,1.47亿,12.00亿,69.88
16,17,603137,恒尚节能,10.85,1.88,0.2,-0.09,1.93,0.72,3.57,0.15亿,0.74亿,8.00亿,17.01
17,18,605178,时空科技,14.78,1.86,0.27,0.0,2.42,0.49,3.65,0.35亿,0.99亿,14.67亿,--
18,19,002431,棕榈股份,2.22,1.83,0.04,0.0,1.78,0.42,5.05,0.72亿,18.13亿,40.24亿,--
19,20,002482,广田集团,2.23,1.83,0.04,0.0,1.32,0.91,5.94,1.12亿,37.43亿,83.46亿,--
20,21,605287,德才股份,12.54,1.37,0.17,0.0,1.34,0.75,2.99,0.17亿,1.00亿,12.53亿,16.79
21,22,002081,金螳螂,3.74,1.35,0.05,-0.27,0.72,1.02,2.98,0.71亿,26.43亿,98.86亿,15.91
22,23,002713,东易日盛,4.42,1.14,0.05,0.68,5.24,0.67,4.58,0.95亿,4.11亿,18.18亿,--
23,24,601886,江河集团,5.57,1.09,0.06,-0.18,0.92,1.23,2.36,0.58亿,11.33亿,63.11亿,10.93
24,25,000010,美丽生态,2.8,1.08,0.03,0.0,4.26,0.6,5.05,0.64亿,5.26亿,14.73亿,--
25,26,300506,*ST名家,3.52,0.86,0.03,0.0,0.85,0.62,3.44,0.17亿,5.76亿,20.29亿,--
26,27,002200,ST交投,6.08,0.66,0.04,0.0,0.48,0.67,1.82,0.05亿,1.84亿,11.20亿,--
27,28,300649,杭州园林,11.15,0.36,0.04,0.0,2.88,0.99,5.13,0.34亿,1.06亿,11.83亿,--
28,29,002989,中天精装,20.92,0.19,0.04,0.0,0.83,0.65,3.02,0.31亿,1.79亿,37.48亿,--
29,30,600234,*ST科新,5.68,-0.53,-0.03,-0.18,0.85,0.63,5.25,0.13亿,2.63亿,14.91亿,97.45
30,31,300536,*ST农尚,6.17,-0.64,-0.04,-0.16,2.08,0.68,3.7,0.38亿,2.93亿,18.09亿,--
31,32,002822,ST中装,4.08,-0.97,-0.04,-0.24,1.05,0.46,2.43,0.23亿,5.24亿,21.36亿,--
32,33,300949,奥雅股份,43.79,-1.17,-0.52,0.0,13.24,0.97,10.27,2.06亿,0.34亿,15.02亿,--
33,34,603955,大千生态,18.75,-1.73,-0.33,-0.43,5.74,1.01,3.83,1.48亿,1.36亿,25.45亿,124.59
34,35,605289,罗曼股份,24.34,-1.85,-0.46,-0.04,2.68,0.84,3.06,0.72亿,1.08亿,26.37亿,126.74
35,36,001267,汇绿生态,8.08,-3.23,-0.27,0.37,5.01,2.29,8.98,3.19亿,7.75亿,62.64亿,179.91
36,37,002963,豪尔赛,13.77,-3.44,-0.49,-1.57,21.77,4.32,12.27,3.81亿,1.23亿,16.94亿,250.19
37,38,603388,ST元成,2.72,-4.89,-0.14,0.0,2.75,1.33,4.55,0.25亿,3.26亿,8.86亿,--
38,39,002856,美芝股份,9.31,-5.87,-0.58,0.0,12.31,0.64,4.85,1.42亿,1.21亿,11.27亿,--
