,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,300352,北信源,7.4,17.09,1.08,-0.14,32.49,6.61,14.08,28.92亿,12.22亿,90.42亿,--
1,2,300020,*ST银江,3.47,16.05,0.48,-0.57,13.64,1.8,16.72,3.47亿,7.67亿,26.60亿,--
2,3,300624,万兴科技,81.88,12.77,9.27,1.24,42.98,4.13,15.43,58.88亿,1.71亿,140.21亿,--
3,4,688327,云从科技,14.81,11.02,1.47,0.07,14.01,2.66,15.67,15.16亿,7.52亿,111.37亿,--
4,5,603528,多伦科技,10.18,10.05,0.93,0.0,0.78,0.2,0.0,0.56亿,7.06亿,71.86亿,128.34
5,6,603189,网达软件,19.64,10.03,1.79,0.0,9.24,1.45,11.15,4.67亿,2.70亿,52.94亿,369.94
6,7,603859,能科科技,37.31,9.99,3.39,0.0,11.07,1.32,10.44,9.65亿,2.45亿,91.30亿,58.22
7,8,002362,汉王科技,28.07,9.99,2.55,0.0,1.95,0.13,0.0,1.14亿,2.08亿,58.27亿,--
8,9,600571,信雅达,16.43,9.97,1.49,0.0,14.83,2.0,5.02,11.01亿,4.58亿,75.21亿,--
9,10,300288,朗玛信息,17.84,9.25,1.51,0.23,19.95,3.31,15.74,9.13亿,2.57亿,45.77亿,110.34
10,11,300399,天利科技,31.58,9.16,2.65,0.03,38.05,2.41,29.45,23.03亿,1.98亿,62.40亿,--
11,12,688435,英方软件,39.28,9.11,3.28,-0.03,11.71,3.45,18.61,2.09亿,0.46亿,18.13亿,--
12,13,603039,泛微网络,53.2,6.7,3.34,0.19,3.79,2.0,10.33,5.23亿,2.61亿,138.64亿,120.59
13,14,300167,*ST迪威,2.41,6.64,0.15,0.0,7.53,1.4,7.96,0.63亿,3.57亿,8.60亿,--
14,15,300047,天源迪科,14.8,6.63,0.92,0.0,19.17,2.27,8.57,15.67亿,5.50亿,81.36亿,219.60
15,16,688244,永信至诚,31.03,5.37,1.58,0.0,5.3,1.59,8.29,0.80亿,0.49亿,15.36亿,--
16,17,300226,上海钢联,26.65,5.21,1.32,0.0,11.22,1.91,10.97,9.11亿,3.06亿,81.66亿,50.11
17,18,600225,*ST卓朗,1.25,5.04,0.06,0.0,8.53,3.59,5.04,3.62亿,34.09亿,42.61亿,--
18,19,837748,路桥信息,28.11,5.01,1.34,0.0,10.44,2.67,24.24,2.01亿,0.62亿,17.53亿,--
19,20,688787,海天瑞声,93.4,4.94,4.4,-0.32,10.31,1.61,11.24,5.96亿,0.60亿,56.34亿,1115.36
20,21,003029,吉大正元,26.23,4.92,1.23,0.0,8.39,1.18,8.72,3.77亿,1.71亿,44.82亿,--
21,22,603918,金桥信息,15.53,4.65,0.69,0.0,20.36,1.51,7.01,11.64亿,3.66亿,56.88亿,--
22,23,300561,汇金科技,45.68,4.36,1.91,0.0,37.06,0.96,16.47,30.00亿,1.80亿,82.38亿,--
23,24,002609,捷顺科技,9.47,4.29,0.39,-0.11,15.3,2.35,11.67,6.55亿,4.59亿,43.51亿,106.87
24,25,300520,科大国创,28.5,4.13,1.13,0.07,15.69,0.82,6.17,12.31亿,2.77亿,79.05亿,--
25,26,300231,银信科技,14.89,3.98,0.57,0.07,20.91,0.77,8.03,10.67亿,3.48亿,51.77亿,96.40
26,27,600728,佳都科技,5.53,3.95,0.21,0.0,7.43,1.51,3.76,8.78亿,21.43亿,118.50亿,--
27,28,688152,麒麟信安,69.64,3.94,2.64,-0.03,6.99,1.33,6.18,1.50亿,0.31亿,21.63亿,--
28,29,300419,ST浩丰,5.63,3.88,0.21,-0.18,6.99,1.36,4.43,1.45亿,3.68亿,20.70亿,262.67
29,30,688095,福昕软件,82.3,3.85,3.05,0.12,6.91,1.97,11.23,5.13亿,0.91亿,75.25亿,145.94
30,31,002322,理工能科,13.77,3.85,0.51,-0.15,3.26,2.29,5.66,1.63亿,3.65亿,50.26亿,20.99
31,32,002657,中科金财,23.91,3.64,0.84,0.0,25.9,1.31,11.14,20.66亿,3.36亿,80.42亿,--
32,33,300454,深信服,65.28,3.62,2.28,0.0,2.89,1.63,5.91,5.15亿,2.76亿,180.42亿,--
33,34,688088,虹软科技,38.0,3.54,1.3,-0.03,3.58,1.74,7.55,5.39亿,4.01亿,152.44亿,129.50
34,35,300078,思创医惠,4.15,3.49,0.14,0.0,9.04,1.1,5.49,4.12亿,11.07亿,45.93亿,--
35,36,300925,法本信息,24.92,3.4,0.82,-0.04,9.56,1.17,6.02,7.82亿,3.31亿,82.38亿,72.90
36,37,002232,启明信息,22.95,3.24,0.72,0.0,9.43,1.09,6.12,8.71亿,4.09亿,93.76亿,--
37,38,300188,国投智能,16.45,3.2,0.51,0.0,4.66,1.57,5.02,5.94亿,7.82亿,128.63亿,--
38,39,300369,绿盟科技,8.92,3.12,0.27,0.11,4.92,1.56,5.67,3.47亿,7.98亿,71.20亿,--
39,40,688246,嘉和美康,32.07,3.12,0.97,0.0,2.91,1.1,6.95,0.93亿,1.01亿,32.37亿,--
40,41,301315,威士顿,56.28,3.12,1.7,0.05,28.28,0.78,7.93,5.78亿,0.37亿,20.82亿,123.95
41,42,688365,光云科技,9.74,3.07,0.29,0.1,4.86,1.64,8.15,2.00亿,4.26亿,41.48亿,--
42,43,000555,神州信息,12.29,3.02,0.36,0.08,3.7,1.33,5.45,4.40亿,9.72亿,119.49亿,--
43,44,300311,任子行,7.66,2.96,0.22,0.0,10.26,1.1,7.8,4.20亿,5.37亿,41.17亿,--
44,45,300096,ST易联众,3.86,2.93,0.11,0.26,4.49,1.48,4.8,0.73亿,4.29亿,16.55亿,--
45,46,300235,方直科技,13.36,2.93,0.38,0.08,15.8,0.9,7.93,4.30亿,2.03亿,27.14亿,134.66
46,47,300687,赛意信息,21.61,2.81,0.59,-0.09,12.81,2.03,9.75,8.83亿,3.25亿,70.32亿,70.22
47,48,300300,ST峡创,3.31,2.79,0.09,-0.3,4.04,0.83,5.28,0.88亿,6.67亿,22.07亿,--
48,49,600756,浪潮软件,16.18,2.79,0.44,0.0,4.41,1.02,2.92,2.29亿,3.24亿,52.44亿,--
49,50,688509,正元地信,4.83,2.77,0.13,0.21,6.97,1.78,8.51,1.30亿,3.85亿,18.59亿,--
50,51,839790,联迪信息,37.49,2.68,0.98,0.0,21.07,1.07,28.16,4.41亿,0.54亿,20.38亿,218.19
51,52,600850,电科数字,24.5,2.64,0.63,0.0,2.24,1.24,3.65,3.32亿,6.10亿,149.43亿,41.49
52,53,300598,诚迈科技,56.72,2.6,1.44,-0.05,6.36,1.56,6.37,7.83亿,2.17亿,123.04亿,--
53,54,688201,信安世纪,10.91,2.54,0.27,0.0,4.58,1.43,4.98,1.51亿,3.03亿,33.01亿,--
54,55,301316,慧博云通,20.63,2.54,0.51,0.0,6.67,1.33,5.57,3.32亿,2.43亿,50.10亿,162.11
55,56,000034,神州数码,34.87,2.53,0.86,0.0,3.65,1.1,3.62,7.01亿,5.53亿,192.74亿,19.60
56,57,300212,易华录,27.52,2.5,0.67,-0.07,4.61,1.59,6.7,8.80亿,6.98亿,192.10亿,--
57,58,300556,丝路视觉,22.87,2.46,0.55,0.04,18.75,1.26,4.79,4.37亿,1.03亿,23.51亿,--
58,59,688695,中创股份,35.97,2.39,0.84,-0.06,8.48,0.95,4.36,0.58亿,0.19亿,6.88亿,236.42
59,60,833030,立方控股,23.6,2.39,0.55,0.0,10.11,1.4,9.76,1.38亿,0.56亿,13.20亿,--
60,61,603636,南威软件,12.04,2.38,0.28,0.0,4.93,0.95,5.61,3.44亿,5.80亿,69.88亿,--
61,62,300344,立方数科,6.09,2.35,0.14,0.16,11.18,1.0,10.76,4.39亿,6.39亿,38.93亿,--
62,63,300496,中科创达,55.69,2.33,1.27,0.0,4.62,1.36,4.32,9.38亿,3.67亿,204.40亿,126.43
63,64,688225,亚信安全,23.33,2.33,0.53,0.0,3.04,1.18,7.37,1.34亿,1.91亿,44.57亿,--
64,65,688296,和达科技,13.23,2.32,0.3,-0.3,1.8,1.26,5.41,0.25亿,1.07亿,14.21亿,415.28
65,66,600734,实达集团,4.44,2.3,0.1,0.0,6.42,1.2,5.07,6.04亿,21.26亿,94.40亿,198.48
66,67,301208,中亦科技,38.8,2.21,0.84,0.05,13.21,1.42,6.43,2.24亿,0.44亿,17.09亿,64.51
67,68,688326,经纬恒润,89.7,2.16,1.9,-0.26,2.62,1.51,9.27,1.88亿,0.79亿,71.29亿,--
