,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,601028,玉龙股份,13.49,-1.53,-0.21,0.07,5.7,1.02,4.38,6.05亿,7.83亿,105.63亿,27.49
1,2,001337,四川黄金,22.43,-2.05,-0.47,0.05,1.75,0.76,1.44,1.14亿,2.88亿,64.70亿,35.86
2,3,000975,山金国际,16.92,-2.08,-0.36,-0.12,3.79,3.63,3.01,15.94亿,24.87亿,420.82亿,20.40
3,4,600988,赤峰黄金,16.88,-2.31,-0.4,0.0,2.79,0.99,1.5,7.84亿,16.64亿,280.87亿,19.06
4,5,600547,山东黄金,24.42,-2.44,-0.61,-0.08,0.78,0.98,1.36,6.93亿,36.14亿,882.65亿,39.66
5,6,600489,中金黄金,12.71,-2.68,-0.35,-0.08,1.05,0.8,1.69,6.53亿,48.47亿,616.09亿,17.48
6,7,002237,恒邦股份,10.7,-2.73,-0.3,-0.19,1.77,1.18,2.0,1.73亿,9.10亿,97.42亿,19.83
7,8,601069,西部黄金,12.82,-3.03,-0.4,-0.08,1.65,0.9,2.35,1.46亿,6.84亿,87.69亿,68.59
8,9,000506,*ST中润,3.11,-3.12,-0.1,-0.32,4.68,1.46,6.54,1.36亿,9.29亿,28.88亿,--
9,10,002155,湖南黄金,18.16,-3.81,-0.72,0.06,5.29,0.73,2.97,11.63亿,12.02亿,218.27亿,24.55
10,11,002716,湖南白银,4.05,-4.03,-0.17,0.5,7.78,1.29,3.79,7.01亿,22.10亿,89.52亿,69.47
11,12,300139,晓程科技,17.12,-5.47,-0.99,0.0,11.84,0.88,3.42,4.80亿,2.34亿,40.00亿,86.55
