,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,603312,西典新能,35.09,5.03,1.68,0.0,12.61,3.73,9.97,1.53亿,0.35亿,12.24亿,28.76
1,2,301012,扬电科技,25.25,4.99,1.2,0.08,13.6,3.78,7.65,3.92亿,1.14亿,28.74亿,50.34
2,3,300617,安靠智电,28.25,3.21,0.88,0.04,4.0,2.72,8.07,1.58亿,1.41亿,39.72亿,26.07
3,4,301386,未来电器,23.52,1.95,0.45,-0.04,18.26,2.13,4.9,1.84亿,0.43亿,10.10亿,38.30
4,5,601567,三星医疗,32.9,1.64,0.53,-1.73,1.01,1.73,4.91,4.71亿,14.03亿,461.59亿,19.18
5,6,603016,新宏泰,34.13,1.16,0.39,0.0,2.05,0.98,5.1,1.04亿,1.48亿,50.57亿,72.69
6,7,300001,特锐德,22.77,0.84,0.19,0.0,2.62,1.76,5.71,6.14亿,10.28亿,234.06亿,40.38
7,8,920111,聚星科技,26.6,-0.04,-0.01,0.0,5.31,0.47,2.78,0.53亿,0.37亿,9.81亿,42.42
8,9,301291,明阳电气,44.46,-0.04,-0.02,0.5,2.34,0.78,3.6,1.33亿,1.28亿,56.94亿,23.89
9,10,600312,平高电气,18.0,-0.11,-0.02,0.45,2.23,1.96,3.66,5.47亿,13.57亿,244.25亿,21.38
10,11,834062,科润智控,8.39,-0.12,-0.01,0.0,4.1,0.73,5.83,0.46亿,1.29亿,10.86亿,44.88
11,12,601616,广电电气,4.11,-0.24,-0.01,0.24,3.03,1.35,2.43,1.07亿,8.54亿,35.09亿,54.88
12,13,601877,正泰电器,22.98,-0.26,-0.06,0.39,0.86,1.59,2.87,4.28亿,21.49亿,493.83亿,10.59
13,14,002927,泰永长征,13.74,-0.29,-0.04,0.15,3.48,0.78,4.43,1.06亿,2.21亿,30.32亿,42.83
14,15,002168,ST惠程,3.29,-0.6,-0.02,0.0,4.63,2.24,7.25,1.21亿,7.84亿,25.80亿,--
15,16,002358,森源电气,4.95,-0.8,-0.04,0.2,3.37,0.97,4.21,1.57亿,9.29亿,46.00亿,26.43
16,17,600885,宏发股份,31.82,-0.9,-0.29,-0.16,0.69,1.06,2.15,2.28亿,10.43亿,331.78亿,19.60
17,18,300932,三友联众,16.34,-1.09,-0.18,0.06,3.9,0.56,3.63,1.04亿,1.63亿,26.61亿,54.46
18,19,601179,中国西电,7.64,-1.16,-0.09,-0.39,1.1,1.17,1.81,4.35亿,51.26亿,391.62亿,37.33
19,20,688676,金盘科技,32.02,-1.2,-0.39,-0.16,1.77,1.08,2.53,2.62亿,4.57亿,146.47亿,27.21
20,21,603861,白云电器,9.9,-1.39,-0.14,0.2,1.49,0.88,2.49,0.64亿,4.36亿,43.21亿,26.79
21,22,600379,宝光股份,10.42,-1.42,-0.15,0.29,1.28,0.61,2.46,0.44亿,3.30亿,34.41亿,37.37
22,23,603070,万控智造,13.52,-1.46,-0.2,-0.07,9.45,0.75,3.5,1.11亿,0.86亿,11.59亿,63.85
23,24,002028,思源电气,72.5,-1.5,-1.1,-1.09,5.44,3.46,3.26,24.11亿,6.05亿,438.42亿,28.30
24,25,301359,东南电子,25.45,-1.55,-0.4,0.0,4.38,0.73,1.93,0.29亿,0.26亿,6.67亿,49.10
25,26,605066,天正电气,6.22,-1.58,-0.1,0.16,1.26,0.79,2.37,0.40亿,5.02亿,31.25亿,22.79
26,27,600192,长城电工,6.57,-1.65,-0.11,-0.3,2.71,1.6,4.04,0.80亿,4.42亿,29.02亿,--
27,28,002350,北京科锐,6.67,-1.77,-0.12,0.0,2.83,0.82,3.09,1.01亿,5.29亿,35.29亿,1420.28
28,29,002346,柘中股份,10.0,-1.86,-0.19,0.3,0.56,0.78,2.16,0.22亿,3.93亿,39.34亿,--
29,30,831396,许昌智能,11.51,-1.88,-0.22,0.0,8.04,0.52,6.65,0.89亿,0.94亿,10.84亿,59.94
30,31,002452,长高电新,7.82,-2.0,-0.16,0.0,2.88,0.77,2.0,1.17亿,5.16亿,40.34亿,20.10
31,32,600468,百利电气,5.18,-2.08,-0.11,-0.19,1.82,0.69,3.21,1.04亿,10.88亿,56.34亿,41.04
32,33,301295,美硕科技,23.4,-2.09,-0.5,-0.13,4.11,0.83,1.97,0.28亿,0.29亿,6.73亿,65.89
33,34,000533,顺钠股份,4.64,-2.11,-0.1,0.22,2.56,0.83,2.53,0.82亿,6.85亿,31.78亿,33.72
34,35,603829,洛凯股份,14.83,-2.11,-0.32,-0.07,1.18,0.75,1.85,0.28亿,1.60亿,23.73亿,21.20
35,36,002441,众业达,8.2,-2.15,-0.18,0.0,1.97,0.9,3.22,0.65亿,3.99亿,32.72亿,23.94
36,37,301361,众智科技,27.67,-2.16,-0.61,0.07,5.6,0.84,2.23,0.45亿,0.29亿,8.05亿,46.83
37,38,603097,江苏华辰,22.74,-2.19,-0.51,-0.04,7.07,0.62,2.8,0.65亿,0.40亿,9.10亿,43.62
38,39,002270,华明装备,16.77,-2.27,-0.39,-0.36,0.81,0.91,2.68,1.04亿,7.59亿,127.32亿,22.83
39,40,688517,金冠电气,14.48,-2.36,-0.35,0.0,1.4,0.8,2.5,0.28亿,1.37亿,19.78亿,22.40
40,41,837046,亿能电力,13.8,-2.4,-0.34,0.0,4.74,0.64,4.67,0.34亿,0.51亿,7.10亿,80.20
41,42,300141,和顺电气,9.68,-2.42,-0.24,0.0,1.96,0.82,2.82,0.48亿,2.53亿,24.46亿,--
42,43,300062,中能电气,6.17,-2.68,-0.17,0.0,5.43,0.96,3.0,1.31亿,3.86亿,23.84亿,--
43,44,300477,合纵科技,3.6,-2.7,-0.1,0.28,4.11,0.55,2.7,1.39亿,9.35亿,33.68亿,--
44,45,301120,新特电气,10.08,-2.7,-0.28,-0.1,4.0,0.98,2.99,0.64亿,1.57亿,15.87亿,247.10
45,46,300283,温州宏丰,6.56,-2.96,-0.2,0.15,3.32,0.91,2.66,0.68亿,3.07亿,20.17亿,--
46,47,300444,双杰电气,7.53,-2.96,-0.23,0.0,4.85,0.73,3.35,2.19亿,5.92亿,44.60亿,38.80
47,48,002112,三变科技,11.98,-3.23,-0.4,0.08,4.81,0.47,2.67,1.52亿,2.62亿,31.40亿,30.00
48,49,600550,保变电气,9.04,-3.42,-0.32,0.0,2.38,1.05,3.42,4.01亿,18.42亿,166.47亿,147.94
49,50,002706,良信股份,7.08,-3.54,-0.26,-0.14,2.46,1.07,3.41,1.61亿,9.15亿,64.76亿,19.20
50,51,301388,欣灵电气,26.1,-3.76,-1.02,0.0,18.69,0.47,3.28,1.35亿,0.27亿,7.14亿,188.54
51,52,300670,大烨智能,6.98,-4.25,-0.31,0.0,5.04,1.25,5.08,0.80亿,2.25亿,15.68亿,1406.09
52,53,600525,长园集团,5.34,-4.81,-0.27,0.0,1.76,1.29,4.28,1.26亿,13.15亿,70.20亿,--
53,54,300423,昇辉科技,8.91,-5.01,-0.47,-0.45,16.17,2.05,4.48,4.77亿,3.32亿,29.62亿,204.19
54,55,002298,中电兴发,6.48,-5.81,-0.4,0.0,13.29,0.79,4.94,5.72亿,6.54亿,42.36亿,--
