,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,002467,二六三,5.92,5.34,0.30,0.00,15.63,2.27,9.43,12.66亿,13.63亿,80.71亿,94.67
1,2,002148,北纬科技,6.96,4.98,0.33,0.00,25.71,1.78,7.69,8.20亿,4.49亿,31.28亿,215.94
2,3,603559,*ST通脉,8.24,4.97,0.39,0.00,0.00,0.00,0.00,0.00亿,4.01亿,33.07亿,--
3,4,300025,华星创业,14.16,4.73,0.64,0.00,7.86,0.92,7.91,4.76亿,4.32亿,61.14亿,--
4,5,300081,恒信东方,7.41,4.07,0.29,0.00,7.63,1.07,7.58,3.40亿,6.05亿,44.81亿,--
5,6,603602,纵横通信,16.94,3.86,0.63,-0.06,10.17,2.10,7.66,3.99亿,2.29亿,38.83亿,137.46
6,7,300113,顺网科技,17.20,3.18,0.53,0.18,9.41,1.01,7.62,8.55亿,5.29亿,90.97亿,42.21
7,8,301380,挖金客,48.60,2.97,1.40,0.00,14.18,1.13,6.78,2.07亿,0.30亿,14.66亿,73.10
8,9,301382,蜂助手,28.45,2.71,0.75,0.00,7.86,0.84,6.82,3.05亿,1.37亿,38.89亿,51.30
9,10,300513,恒实科技,9.55,2.36,0.22,0.32,2.74,0.73,6.22,0.74亿,2.81亿,26.88亿,--
10,11,603881,数据港,19.59,2.24,0.43,0.00,10.45,1.74,8.25,12.40亿,5.99亿,117.28亿,83.70
11,12,300050,世纪鼎利,5.65,1.07,0.06,0.00,5.61,0.87,5.19,1.75亿,5.45亿,30.77亿,--
12,13,000815,美利云,11.52,0.88,0.10,0.00,7.20,1.26,8.32,5.82亿,6.95亿,80.09亿,--
13,14,300597,吉大通信,8.90,0.79,0.07,0.11,2.76,0.70,2.94,0.67亿,2.71亿,24.15亿,216.77
14,15,603322,超讯通信,39.40,0.46,0.18,0.00,5.53,1.14,3.08,3.46亿,1.58亿,62.09亿,183.15
15,16,000839,中信国安,3.19,0.32,0.01,-0.31,1.05,0.74,2.52,1.32亿,39.20亿,125.04亿,62.58
16,17,300292,吴通控股,5.09,0.20,0.01,-0.20,3.82,0.68,3.15,2.18亿,11.16亿,56.80亿,64.24
17,18,600941,中国移动,114.60,0.19,0.22,0.14,0.71,0.48,1.07,6.15亿,7.59亿,869.38亿,16.66
18,19,600289,*ST信通,--,--,--,--,--,--,--,--,5.66亿,10.13亿,29.46
19,20,600050,中国联通,5.37,-0.37,-0.02,0.00,0.95,0.68,1.11,16.03亿,312.80亿,1679.74亿,15.36
20,41,300442,润泽科技,54.5,-4.1,-2.33,0.02,10.07,0.73,5.3,34.13亿,6.14亿,334.75亿,46.48
21,42,300383,光环新网,13.9,-4.14,-0.6,-0.22,9.61,0.87,6.9,24.55亿,17.94亿,249.33亿,51.9
22,43,301428,世纪恒通,39.31,-4.52,-1.86,0.54,17.42,0.7,5.27,4.24亿,0.61亿,24.06亿,44.31
23,44,300959,线上线下,52.64,-9.27,-5.38,0.17,26.14,0.96,6.34,7.35亿,0.52亿,27.52亿,252.92
24,45,300921,南凌科技,29.5,-10.61,-3.5,-0.1,27.06,0.76,6.97,6.52亿,0.79亿,23.43亿,506.59
25,21,002115,三维通信,7.29,-0.41,-0.03,0.0,12.42,0.51,3.42,6.88亿,7.52亿,54.84亿,--
26,22,002544,普天科技,22.39,-0.45,-0.1,0.0,0.9,0.71,2.45,1.37亿,6.79亿,152.06亿,626.16
27,23,603206,嘉环科技,16.86,-0.65,-0.11,0.0,6.5,0.55,2.53,0.96亿,0.87亿,14.70亿,51.23
28,24,601728,中国电信,7.17,-0.83,-0.06,0.0,0.51,0.85,2.21,7.34亿,202.53亿,1452.12亿,16.80
29,25,300578,会畅通讯,20.43,-0.97,-0.2,0.0,2.82,0.72,2.76,1.13亿,1.94亿,39.65亿,132.10
30,26,002123,梦网科技,11.59,-1.02,-0.12,0.17,6.2,0.76,4.27,4.99亿,6.87亿,79.61亿,228.58
31,27,300846,首都在线,13.44,-1.1,-0.15,0.0,7.63,0.87,5.59,4.10亿,3.90亿,52.45亿,--
32,28,300310,宜通世纪,7.77,-1.15,-0.09,0.13,8.36,0.82,4.96,4.51亿,6.92亿,53.75亿,211.25
33,29,000889,ST中嘉,2.51,-1.18,-0.03,0.0,2.73,0.82,5.91,0.61亿,8.70亿,21.83亿,--
34,30,301139,元道通信,23.1,-1.32,-0.31,-0.09,3.7,0.68,3.03,0.62亿,0.72亿,16.57亿,45.11
35,31,603003,*ST龙宇,4.74,-1.46,-0.07,0.0,2.5,0.69,3.33,0.45亿,3.76亿,17.84亿,--
36,32,002929,润建股份,34.3,-1.66,-0.58,0.15,8.56,0.65,2.47,6.28亿,2.13亿,73.16亿,25.03
37,33,603220,中贝通信,23.52,-2.0,-0.48,0.0,5.23,0.64,3.46,5.41亿,4.34亿,102.07亿,52.99
38,34,300560,中富通,14.95,-2.1,-0.32,0.0,3.68,0.6,3.93,1.05亿,1.87亿,27.95亿,195.51
39,35,600804,*ST鹏博,1.78,-2.2,-0.04,0.0,2.65,0.86,7.14,0.67亿,13.93亿,24.79亿,--
40,36,838924,广脉科技,16.09,-2.25,-0.37,0.0,5.44,0.67,5.22,0.56亿,0.63亿,10.06亿,56.33
41,37,300895,铜牛信息,33.8,-2.57,-0.89,0.0,3.22,0.85,4.73,1.53亿,1.38亿,46.70亿,--
42,38,300603,立昂技术,10.97,-2.66,-0.3,0.18,10.14,0.99,5.15,4.08亿,3.60亿,39.48亿,692.06
43,39,300738,奥飞数据,14.57,-3.77,-0.57,0.0,12.32,1.18,5.02,17.78亿,9.68亿,141.04亿,99.87
44,40,603887,城地香江,15.28,-4.02,-0.64,-0.13,11.47,0.53,5.4,10.59亿,5.95亿,90.96亿,--
