,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,600487,亨通光电,18.03,0.78,0.14,0.45,4.59,3.5,3.86,20.55亿,24.67亿,444.75亿,14.41
1,2,300913,兆龙互连,37.05,-0.72,-0.27,0.14,7.62,1.65,8.04,6.22亿,2.12亿,78.64亿,80.27
2,3,601869,长飞光纤,28.0,-1.24,-0.35,-0.14,0.58,0.99,1.83,0.67亿,4.06亿,113.78亿,27.78
3,4,600522,中天科技,15.62,-1.39,-0.22,0.0,1.32,1.04,2.15,7.10亿,34.13亿,533.10亿,17.30
4,5,002491,通鼎互联,4.84,-1.43,-0.07,0.21,1.67,0.95,2.65,0.96亿,11.76亿,56.94亿,550.14
5,6,688143,长盈通,25.4,-1.47,-0.38,0.04,3.89,1.42,3.84,0.95亿,0.95亿,24.01亿,--
6,7,000070,ST特信,5.98,-2.13,-0.13,-0.17,1.83,1.12,1.96,0.98亿,8.89亿,53.14亿,912.77
7,8,603042,华脉科技,13.82,-3.15,-0.45,0.15,7.48,0.97,2.87,1.68亿,1.61亿,22.19亿,--
8,9,300563,神宇股份,52.6,-3.24,-1.76,0.17,11.86,0.9,6.49,7.91亿,1.23亿,64.72亿,104.06
9,10,600105,永鼎股份,5.7,-3.55,-0.21,0.0,5.32,0.71,2.88,4.37亿,14.24亿,81.18亿,106.25
10,11,000586,汇源通信,10.58,-3.64,-0.4,0.19,3.75,0.79,3.46,0.77亿,1.93亿,20.47亿,--
