,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,300420,五洋自控,4.25,12.43,0.47,0.0,30.05,2.22,25.13,13.75亿,11.16亿,47.45亿,--
1,2,688622,禾信仪器,62.55,12.4,6.9,0.08,3.58,1.25,14.2,1.51亿,0.70亿,43.78亿,--
2,3,688056,莱伯泰科,34.25,10.7,3.31,0.12,3.98,5.25,14.32,0.93亿,0.67亿,23.10亿,49.37
3,4,000816,智慧农业,3.26,10.13,0.3,0.0,6.6,1.85,9.8,3.05亿,14.37亿,46.83亿,113.37
4,5,600172,黄河旋风,5.56,10.1,0.51,0.0,1.23,0.15,0.0,0.87亿,12.76亿,70.96亿,--
5,6,002530,金财互联,10.96,10.04,1.0,0.0,15.67,0.83,4.62,11.83亿,6.95亿,76.19亿,2001.87
6,7,002520,日发精机,9.1,10.04,0.83,0.0,11.02,1.24,4.84,6.46亿,6.45亿,58.69亿,--
7,8,002058,威尔泰,14.48,10.03,1.32,0.0,5.9,2.86,10.87,1.18亿,1.43亿,20.72亿,--
8,9,603278,大业股份,12.73,10.03,1.16,0.0,34.85,16.65,4.15,15.14亿,3.42亿,43.51亿,--
9,10,603270,金帝股份,27.25,10.01,2.48,0.0,25.73,1.57,3.88,3.83亿,0.55亿,14.93亿,53.66
10,11,603667,五洲新春,29.45,10.01,2.68,0.0,36.63,6.58,10.01,38.54亿,3.66亿,107.85亿,82.37
11,12,002122,汇洲智能,3.96,10.0,0.36,0.0,4.08,0.59,5.83,3.15亿,19.88亿,78.71亿,86.50
12,13,002347,泰尔股份,10.01,10.0,0.91,0.0,31.67,1.09,10.88,15.29亿,4.93亿,49.39亿,--
13,14,600243,青海华鼎,5.52,9.96,0.5,0.0,4.18,0.67,0.0,1.01亿,4.39亿,24.22亿,--
14,15,002175,东方智造,4.98,9.93,0.45,0.0,30.89,1.02,13.91,18.75亿,12.77亿,63.58亿,140.65
15,16,300417,南华仪器,15.69,9.87,1.41,0.19,28.11,2.65,22.27,3.66亿,0.87亿,13.63亿,85.55
16,17,688628,优利德,38.8,7.36,2.66,-0.15,2.84,3.42,8.0,1.21亿,1.11亿,43.13亿,21.36
17,18,300809,华辰装备,31.62,6.36,1.89,0.06,20.9,1.29,7.43,4.96亿,0.76亿,23.88亿,103.56
18,19,603662,柯力传感,66.2,6.29,3.92,-0.54,19.87,1.33,15.27,35.20亿,2.81亿,185.91亿,73.36
19,20,301160,翔楼新材,61.48,6.15,3.56,0.0,13.01,1.7,11.78,3.40亿,0.43亿,26.55亿,26.59
20,21,002131,利欧股份,5.69,5.96,0.32,-1.9,45.26,2.16,7.26,153.46亿,58.51亿,332.94亿,--
21,22,300203,聚光科技,18.13,5.53,0.95,-0.06,6.62,2.65,8.03,5.51亿,4.48亿,81.29亿,51.86
22,23,002046,国机精工,16.57,5.34,0.84,0.3,18.59,1.41,15.38,15.98亿,5.26亿,87.13亿,32.14
23,24,300145,中金环境,3.86,5.18,0.19,0.0,7.18,2.22,7.63,5.18亿,19.05亿,73.51亿,22.08
24,25,839725,惠丰钻石,40.18,5.07,1.94,0.0,29.1,1.49,31.02,5.17亿,0.42亿,16.91亿,393.68
25,26,300091,金通灵,3.27,4.81,0.15,0.31,9.78,1.29,9.94,4.22亿,13.35亿,43.65亿,--
26,27,002896,中大力德,38.44,4.74,1.74,0.0,19.15,1.54,13.87,11.07亿,1.51亿,58.11亿,76.55
27,28,688112,鼎阳科技,31.89,4.25,1.3,-0.13,2.16,3.34,4.97,1.10亿,1.59亿,50.77亿,41.55
28,29,300667,必创科技,19.81,4.04,0.77,0.0,4.48,1.82,4.04,1.51亿,1.73亿,34.20亿,--
29,30,002132,恒星科技,3.22,3.54,0.11,0.0,3.8,1.6,3.86,1.70亿,13.99亿,45.06亿,181.87
30,31,603100,川仪股份,22.37,3.47,0.75,0.0,2.06,1.44,4.58,2.35亿,5.08亿,113.73亿,15.44
31,32,002445,中南文化,2.69,3.46,0.09,0.0,8.77,2.32,8.46,5.59亿,23.81亿,64.06亿,135.54
32,33,000530,冰山冷热,5.75,3.23,0.18,0.17,13.75,2.35,7.54,4.80亿,6.00亿,34.50亿,38.45
33,34,002843,泰嘉股份,20.15,3.12,0.61,-0.05,6.46,1.33,6.5,3.25亿,2.51亿,50.63亿,58.17
34,35,601002,晋亿实业,4.88,2.95,0.14,0.0,2.7,1.49,5.06,1.24亿,9.54亿,46.58亿,42.88
35,36,002342,巨力索具,3.9,2.9,0.11,0.0,3.16,1.51,4.22,1.17亿,9.55亿,37.23亿,--
36,37,300165,天瑞仪器,4.32,2.86,0.12,0.23,9.59,1.72,6.43,1.74亿,4.21亿,18.17亿,--
37,38,688455,科捷智能,12.28,2.85,0.34,0.16,2.04,1.03,4.44,0.32亿,1.30亿,15.95亿,--
38,39,002849,威星智能,20.99,2.74,0.56,0.0,3.65,0.95,5.92,1.44亿,1.90亿,39.86亿,52.43
39,40,300720,海川智能,20.0,2.56,0.5,-0.05,3.86,0.85,6.26,1.30亿,1.73亿,34.66亿,79.57
40,41,002819,东方中科,31.55,2.5,0.77,-0.1,4.5,0.9,3.54,3.32亿,2.35亿,74.22亿,--
41,42,301129,瑞纳智能,27.85,2.46,0.67,0.04,17.82,1.03,4.23,1.76亿,0.36亿,10.00亿,--
42,43,600421,华嵘控股,9.72,2.42,0.23,0.0,2.65,0.9,2.95,0.50亿,1.96亿,19.01亿,--
43,44,688337,普源精电,45.51,2.25,1.0,-0.2,4.51,2.02,6.54,1.37亿,0.66亿,29.92亿,110.17
44,45,688115,思林杰,47.38,2.2,1.02,0.0,3.83,1.05,7.42,0.77亿,0.42亿,19.97亿,480.26
45,46,688610,埃科光电,40.24,2.03,0.8,0.0,4.57,0.74,4.49,0.44亿,0.24亿,9.67亿,128.14
46,47,002272,川润股份,10.63,2.02,0.21,0.0,16.99,1.42,8.35,6.81亿,3.80亿,40.35亿,--
47,48,000811,冰轮环境,10.99,1.85,0.2,0.0,2.67,1.72,3.34,2.19亿,7.46亿,81.97亿,13.28
48,49,605060,联德股份,16.56,1.72,0.28,-0.12,0.53,0.9,2.89,0.21亿,2.41亿,39.84亿,20.48
49,50,688059,华锐精密,49.0,1.7,0.82,0.0,1.95,1.2,3.98,0.59亿,0.62亿,30.51亿,29.69
50,51,301272,英华特,38.28,1.62,0.61,0.11,2.71,1.17,2.55,0.32亿,0.31亿,11.99亿,30.72
51,52,603277,银都股份,24.25,1.59,0.38,0.04,0.39,1.8,3.69,0.39亿,4.21亿,101.97亿,16.12
52,53,603090,宏盛股份,19.27,1.48,0.28,0.0,1.91,0.94,2.9,0.36亿,1.00亿,19.27亿,30.26
53,54,300066,三川智慧,4.88,1.46,0.07,0.0,4.36,0.86,4.16,2.12亿,10.06亿,49.09亿,53.24
54,55,002639,雪人股份,7.34,1.38,0.1,-0.14,9.23,1.9,3.59,4.47亿,6.51亿,47.75亿,126.66
55,56,000039,中集集团,8.12,1.37,0.11,0.0,1.07,1.05,1.75,1.99亿,23.01亿,186.87亿,17.96
56,57,430685,新芝生物,14.25,1.35,0.19,0.0,10.06,2.0,10.1,0.80亿,0.55亿,7.79亿,45.17
57,58,834407,驰诚股份,30.19,1.34,0.4,0.0,11.88,0.79,15.41,0.90亿,0.26亿,7.80亿,85.54
58,59,688333,铂力特,48.5,1.29,0.62,0.04,2.0,0.99,5.16,2.60亿,2.72亿,131.81亿,370.38
59,60,603308,应流股份,13.9,1.17,0.16,-0.14,1.38,1.13,4.08,1.29亿,6.79亿,94.39亿,31.21
60,61,002943,宇晶股份,20.51,1.13,0.23,0.0,3.03,1.33,3.21,0.74亿,1.21亿,24.83亿,98.89
61,62,002931,锋龙股份,14.31,1.13,0.16,0.0,3.4,0.77,2.9,0.90亿,1.87亿,26.71亿,1853.81
62,63,301317,鑫磊股份,23.7,1.11,0.26,-0.04,4.21,0.69,4.99,0.45亿,0.45亿,10.62亿,78.29
63,64,600992,贵绳股份,16.99,1.07,0.18,0.0,3.13,1.07,2.74,1.29亿,2.45亿,41.64亿,--
64,65,002760,凤形股份,20.11,1.0,0.2,0.0,1.14,0.77,2.61,0.25亿,1.08亿,21.72亿,114.03
65,66,603700,宁水集团,11.07,1.0,0.11,0.0,1.38,0.88,1.55,0.31亿,2.03亿,22.50亿,47.95
66,67,301377,鼎泰高科,21.15,1.0,0.21,-0.05,5.8,1.42,3.58,0.87亿,0.71亿,15.02亿,37.77
67,68,300259,新天科技,4.08,0.99,0.04,0.0,2.82,1.43,3.22,1.34亿,11.70亿,47.72亿,30.98
68,69,301311,昆船智能,20.8,0.97,0.2,0.0,5.68,1.11,2.86,1.02亿,0.87亿,18.15亿,--
69,70,002150,通润装备,12.95,0.94,0.12,-0.08,1.85,0.82,2.42,0.85亿,3.57亿,46.28亿,32.85
70,71,688211,中科微至,32.18,0.88,0.28,0.03,0.64,0.84,2.19,0.13亿,0.65亿,20.92亿,--
71,72,300567,精测电子,69.1,0.88,0.6,-0.09,3.33,1.0,4.01,4.61亿,2.03亿,140.12亿,172.78
72,73,603187,海容冷链,11.57,0.87,0.1,-0.09,1.03,0.83,1.74,0.46亿,3.86亿,44.70亿,12.33
73,74,603201,常润股份,18.62,0.87,0.16,-0.05,3.49,0.82,2.71,0.42亿,0.65亿,12.06亿,14.42
74,75,002444,巨星科技,28.23,0.86,0.24,-0.04,1.12,0.94,2.07,3.63亿,11.51亿,324.93亿,13.15
75,76,605056,咸亨国际,13.59,0.82,0.11,0.0,1.35,1.41,2.89,0.74亿,4.07亿,55.27亿,43.32
76,77,600114,东睦股份,17.77,0.79,0.14,0.0,5.93,0.97,3.12,6.44亿,6.16亿,109.53亿,29.69
77,78,000777,中核科技,17.91,0.79,0.14,0.0,1.7,0.64,1.86,1.16亿,3.83亿,68.67亿,44.51
78,79,002158,汉钟精机,19.93,0.76,0.15,0.0,2.53,0.74,2.83,2.67亿,5.34亿,106.35亿,11.08
79,80,300370,安控科技,4.07,0.74,0.03,-0.25,19.86,0.97,10.89,10.50亿,13.25亿,53.92亿,--
80,81,603339,四方科技,12.99,0.7,0.09,0.08,1.38,1.04,2.4,0.55亿,3.09亿,40.20亿,16.34
81,82,300441,鲍斯股份,8.98,0.67,0.06,0.0,2.3,0.97,2.8,1.28亿,6.27亿,56.30亿,6.17
82,83,603611,诺力股份,19.76,0.66,0.13,-0.15,4.12,0.59,3.72,2.08亿,2.58亿,50.90亿,10.52
83,84,301032,新柴股份,10.81,0.65,0.07,0.09,2.62,0.92,2.51,0.45亿,1.59亿,17.15亿,41.81
84,85,300306,远方信息,12.74,0.63,0.08,-0.16,3.34,1.06,1.66,0.67亿,1.58亿,20.07亿,47.26
85,86,688648,中邮科技,25.6,0.59,0.15,-0.04,2.08,0.55,2.71,0.35亿,0.66亿,16.93亿,--
86,87,301151,冠龙节能,17.24,0.58,0.1,0.0,6.24,0.61,1.87,0.60亿,0.56亿,9.64亿,97.78
87,88,603082,北自科技,38.17,0.58,0.22,-0.26,14.63,0.7,4.4,1.79亿,0.32亿,12.38亿,38.14
88,89,600202,哈空调,5.25,0.57,0.03,0.19,3.04,0.9,2.68,0.61亿,3.83亿,20.13亿,1054.99
