,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,000809,*ST和展,3.31,5.08,0.16,0.0,1.95,1.52,6.35,0.53亿,8.25亿,27.30亿,--
1,2,300904,威力传动,65.13,0.59,0.38,0.0,12.55,1.02,3.86,1.82亿,0.22亿,14.32亿,220.85
2,3,002487,大金重工,23.11,0.26,0.06,0.0,1.89,1.24,2.56,2.76亿,6.31亿,145.81亿,39.20
3,4,300772,运达股份,14.75,-0.34,-0.05,0.0,1.91,0.95,3.04,1.95亿,6.95亿,102.51亿,29.10
4,5,002531,天顺风能,8.96,-0.44,-0.04,0.0,1.28,1.14,2.0,2.06亿,17.87亿,160.10亿,41.41
5,6,601615,明阳智能,14.42,-0.48,-0.07,0.0,1.05,0.8,2.69,3.49亿,22.71亿,327.55亿,30.39
6,7,301040,中环海陆,16.28,-0.73,-0.12,0.49,3.7,1.09,3.23,0.43亿,0.71亿,11.62亿,--
7,8,688349,三一重能,33.19,-1.04,-0.35,-0.03,1.1,0.64,2.3,0.69亿,1.88亿,62.49亿,44.58
8,9,603985,恒润股份,14.55,-1.16,-0.17,0.0,5.86,0.9,4.01,3.80亿,4.41亿,64.14亿,--
9,10,600072,中船科技,13.54,-1.31,-0.18,0.45,2.17,1.37,1.6,3.18亿,10.83亿,146.68亿,--
10,11,301063,海锅股份,18.2,-1.35,-0.25,0.06,2.15,0.88,1.95,0.33亿,0.85亿,15.52亿,61.86
11,12,002202,金风科技,10.81,-1.55,-0.17,0.0,0.99,0.92,2.1,3.67亿,33.94亿,366.92亿,19.11
12,13,601218,吉鑫科技,3.64,-1.62,-0.06,0.28,2.42,0.84,2.97,0.86亿,9.76亿,35.53亿,73.43
13,14,603218,日月股份,13.87,-1.63,-0.23,-0.22,2.4,1.36,3.05,3.43亿,10.27亿,142.43亿,21.17
14,15,300850,新强联,22.18,-1.9,-0.43,0.05,2.73,0.8,2.83,1.49亿,2.45亿,54.44亿,--
15,16,300129,泰胜风能,7.77,-2.02,-0.16,0.0,2.67,0.99,1.89,1.38亿,6.65亿,51.63亿,36.50
16,17,301456,盘古智能,25.94,-2.15,-0.57,0.04,3.04,0.67,2.75,0.45亿,0.57亿,14.66亿,51.98
17,18,301155,海力风电,61.88,-2.24,-1.42,-0.03,1.59,0.94,2.78,1.16亿,1.17亿,72.65亿,116.23
18,19,603507,振江股份,24.88,-2.28,-0.58,0.0,1.53,0.81,2.0,0.71亿,1.84亿,45.85亿,20.86
19,20,301163,宏德股份,24.12,-2.43,-0.6,0.0,5.44,0.83,2.59,0.44亿,0.33亿,8.07亿,77.13
20,21,600458,时代新材,14.21,-2.6,-0.38,-0.28,1.56,0.83,4.18,1.79亿,8.03亿,114.08亿,28.84
21,22,301232,飞沃科技,29.1,-2.61,-0.78,-0.07,4.79,1.43,3.71,0.62亿,0.44亿,12.73亿,--
22,23,300443,金雷股份,24.19,-2.93,-0.73,-0.17,1.6,0.72,3.21,0.95亿,2.43亿,58.73亿,38.95
23,24,300569,天能重工,5.3,-3.11,-0.17,0.0,1.85,1.05,2.74,1.01亿,10.18亿,53.96亿,705.61
24,25,603063,禾望电气,19.17,-3.13,-0.62,-0.05,3.55,0.85,3.69,3.05亿,4.43亿,84.97亿,25.16
25,26,300185,通裕重工,2.99,-3.24,-0.1,-0.33,3.06,0.71,2.91,3.39亿,36.73亿,109.82亿,159.81
26,27,688660,电气风电,8.66,-4.1,-0.37,0.0,2.99,0.82,4.21,3.49亿,13.33亿,115.47亿,--
27,28,300690,双一科技,24.87,-4.82,-1.26,0.04,8.22,0.68,4.55,2.30亿,1.10亿,27.39亿,48.06
