,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,001313,粤海饲料,8.6,9.97,0.78,0.0,12.24,3.15,9.08,2.24亿,2.18亿,18.76亿,--
1,2,688156,路德环境,13.8,3.45,0.46,-0.07,1.71,1.24,5.55,0.23亿,1.01亿,13.90亿,--
2,3,002548,金新农,4.49,2.28,0.1,-0.22,4.39,1.74,5.24,1.59亿,8.04亿,36.12亿,97.28
3,4,002100,天康生物,6.79,1.65,0.11,0.15,1.96,1.0,1.8,1.80亿,13.65亿,92.70亿,12.29
4,5,603151,邦基科技,11.78,1.46,0.17,0.0,2.73,1.08,1.46,0.26亿,0.81亿,9.52亿,34.76
5,6,002385,大北农,4.61,1.32,0.06,0.0,1.45,0.77,1.98,2.21亿,33.13亿,152.72亿,112.01
6,7,002567,唐人神,5.44,1.3,0.07,-0.18,3.32,0.99,2.05,2.57亿,14.32亿,77.87亿,23.04
7,8,000876,新希望,9.5,1.17,0.11,0.0,0.47,0.83,1.7,2.01亿,45.00亿,427.47亿,210.41
8,9,603609,禾丰股份,8.65,1.17,0.1,0.35,0.56,0.88,2.22,0.45亿,9.19亿,79.53亿,20.63
9,10,002891,中宠股份,32.31,0.5,0.16,-0.03,1.14,0.51,1.59,1.08亿,2.94亿,95.03亿,25.28
10,11,603363,*ST傲农,4.04,0.25,0.01,0.0,3.67,1.02,3.47,1.10亿,7.37亿,29.79亿,--
11,12,002696,百洋股份,5.72,0.17,0.01,0.18,1.92,0.87,2.28,0.38亿,3.44亿,19.68亿,--
12,13,300673,佩蒂股份,16.25,0.0,0.0,-0.06,4.09,0.53,2.46,1.07亿,1.62亿,26.32亿,19.59
13,14,000702,正虹科技,8.22,0.0,0.0,0.0,2.92,0.8,3.04,0.64亿,2.67亿,21.92亿,--
14,15,603668,天马科技,12.09,-0.17,-0.02,-0.25,1.2,1.02,1.73,0.72亿,5.02亿,60.73亿,65.62
15,16,301498,乖宝宠物,65.67,-0.2,-0.13,0.26,0.96,0.53,2.99,1.13亿,1.79亿,117.56亿,41.88
16,17,002311,海大集团,45.6,-0.39,-0.18,-0.11,0.26,0.63,1.75,1.99亿,16.63亿,758.11亿,15.70
17,18,001366,播恩集团,12.32,-0.96,-0.12,0.08,9.17,0.86,3.46,0.64亿,0.56亿,6.86亿,--
18,19,832419,路斯股份,17.11,-4.89,-0.88,0.0,4.43,0.57,5.22,0.72亿,0.94亿,16.02亿,22.37
