,code,name,momentum_d,momentum_w,day_5,day_10,day_20,industry1,concept,price_change_per,score
0,830964,润农节水,38.46,489.67,18.85,23.82,23.64,"种植业与林业,农业服务,农业综合",农机,4.47,2.9299999999999997
1,831087,秋乐种业,33.04,280.75,6.57,15.32,18.89,"种植业与林业,种子生产","玉米,转基因,大豆",2.67,1.17
2,838275,驱动力,25.22,352.08,4.44,8.71,14.63,"养殖业,农业服务,动物保健",宠物经济,-1.36,2.2
3,002069,獐子岛,50.96,92.77,1.92,-0.8,-1.85,"养殖业,水产养殖",,-0.8,1.1
4,832023,田野股份,18.78,236.29,7.89,11.27,10.81,"农产品加工,果蔬加工",,2.7,1.8
5,600811,东方集团,40.56,477.27,-7.49,6.6,-5.83,"农产品加工,粮油加工","农业种植,化肥,电子身份证,预制菜,粮食概念,新型城镇化",-0.47,1.2
6,600397,安源煤业,86.86,212.37,6.42,21.02,13.25,煤炭开采加工,煤炭概念,2.82,3.3
7,601011,宝泰隆,42.13,150.66,5.17,3.26,-2.06,"煤炭开采加工,焦炭加工",,-1.72,2.2
8,002629,仁智股份,60.99,239.1,7.64,2.92,23.25,"油气开采及服务,油服工程",页岩气,0.0,3.3
9,603727,博迈科,18.84,80.5,1.19,0.39,9.07,油气开采及服务,,-0.16,0.8
10,000818,航锦科技,215.72,215.86,23.07,81.16,161.06,"化学原料,氯碱","铜缆高速连接,军民融合,芯片概念,创投,氢能源,环氧丙烷,军工",-5.75,2.5
11,430489,佳先股份,36.44,638.94,8.13,10.93,9.96,"化学原料,其他化学原料","节能环保,国企改革,可降解塑料,光刻胶",4.13,1.2
12,300641,正丹股份,31.38,961.36,-2.1,-3.17,-7.7,"化学制品,其他化学制品","2024年报预增,深股通,锂电池概念",0.43,1.2
13,002917,金奥博,155.9,140.53,6.01,4.18,-9.72,"化学制品,民爆用品","一带一路,节能环保,空气能热泵,民爆概念",0.26,1.1
14,605488,福莱新材,236.02,470.23,56.25,80.17,162.38,"化工合成材料,膜材料","2024年报预增,苹果概念,消费电子概念",9.42,3.3
15,600889,南京化纤,31.45,469.92,2.9,-3.53,5.22,"化工合成材料,粘胶",,-0.88,0.8
16,600126,杭钢股份,166.6,207.67,10.14,77.31,155.62,"钢铁,普钢","特钢概念,国资云,汽车拆解概念,沪股通",10.04,2.5700000000000003
17,839719,宁新新材,34.62,254.36,7.92,16.38,7.12,"钢铁,冶钢原料",,1.14,1.53
18,831152,昆工科技,97.82,196.42,42.05,55.4,64.2,"金属新材料,其他金属新材料",超级电容,15.27,2.5
19,000795,英洛华,38.54,208.08,2.41,-5.74,-7.19,"金属新材料,磁性材料",,-0.78,1.5699999999999998
20,603038,华立股份,16.29,431.89,1.77,3.73,5.43,"建筑材料,其他建材",净水概念,-1.36,1.2
21,833580,科创新材,53.91,278.83,17.66,17.46,32.89,"建筑材料,耐火材料",,-0.5,1.1300000000000001
22,000032,深桑达A,87.78,90.33,18.77,55.74,76.07,"建筑装饰,专业工程",绿色电力,10.01,1.4300000000000002
23,836149,旭杰科技,59.6,450.94,3.45,21.55,18.09,"建筑装饰,工程咨询服务","房屋检测,光伏建筑一体化,装配式建筑",0.71,1.2
24,300718,长盛轴承,296.79,870.39,67.16,54.76,169.64,"通用设备,金属制品,工程机械","专精特新,特斯拉概念,风电,机器人概念,长三角一体化,深股通,核电",1.03,2.9699999999999998
25,300817,双飞集团,72.56,123.78,70.9,66.89,105.33,"通用设备,金属制品",专精特新,20.0,1.0
26,002779,中坚科技,130.82,405.3,43.74,39.14,78.98,"专用设备,其他专用设备",,10.0,1.37
27,834475,三友科技,49.89,523.81,1.89,-0.76,17.01,"专用设备,其他专用设备",,-0.32,1.2
28,688622,禾信仪器,144.44,446.11,-2.26,0.54,16.11,"仪器仪表,仪器仪表Ⅲ","碳中和,食品安全,量子科技,医疗器械概念,PM2.5",-0.17,1.93
29,002175,东方智造,206.45,412.65,8.68,13.83,21.66,"仪器仪表,仪器仪表Ⅲ","高端装备,西部大开发,物业管理,智能物流,新能源汽车",-1.31,1.9000000000000001
30,834770,艾能聚,41.33,687.97,9.13,2.16,15.38,"电力设备,光伏设备","光伏概念,绿色电力",1.68,1.2
31,833523,德瑞锂电,191.02,218.23,9.14,11.01,16.19,"电力设备,电池",,1.53,1.1
32,430139,华岭股份,37.99,627.66,9.13,14.33,20.01,"半导体及元件,集成电路封测","中芯国际概念,MCU芯片,先进封装,汽车芯片",4.6,1.2
33,688620,安凯微,146.63,146.63,-2.04,-8.57,72.28,"半导体及元件,集成电路设计",小米概念,2.19,1.1
34,300489,光智科技,13.81,511.51,1.93,0.61,3.62,"光学光电子,光学元件","独角兽概念,第三代半导体,氢能源,黑龙江自贸区,军工",0.81,1.2
35,300296,利亚德,82.27,140.05,9.12,14.84,23.75,"光学光电子,LED","第三代半导体,MicroLED概念",0.92,1.1
36,688800,瑞可达,46.9,302.57,3.44,-0.61,-2.96,其他电子,"铜缆高速连接,高压快充",1.33,1.9000000000000001
37,688103,国力股份,42.72,89.33,23.35,30.47,38.02,其他电子,培育钻石,4.78,1.37
38,300822,贝仕达克,193.05,305.16,-2.79,-9.97,-3.07,"消费电子,消费电子零部件及组装","粤港澳大湾区,智能家居,锂电池概念,人民币贬值受益,跨境电商,宠物经济",0.46,1.9000000000000001
39,832876,慧为智能,95.87,306.63,10.36,7.43,58.75,"消费电子,消费电子零部件及组装",,9.61,1.5699999999999998
40,601777,力帆科技,60.75,138.36,13.84,21.8,45.26,"汽车整车,乘用车",,3.9,2.1
